P0	P10	P20	P30	P40	P60	P90	P120	fit.cluster
YER043C	7297	6036	7014	7988	8494	5170	7291	6835	1
YBR248C	332	279	0	209	374	134	225	246	5
YNR043W	1608	1854	1299	1276	1633	1575	1824	2009	5
YDR165W	134	84	98	111	152	52	63	148	5
YCR053W	5354	4078	3485	4059	4141	3083	3043	2665	5
YPL212C	235	153	156	182	80	0	94	211	5
YML056C	2669	2230	651	576	1873	1426	404	310	5
YLL018C	3705	2853	2964	3909	3579	2258	3802	3508	5
YHR170W	0	78	0	10	74	41	50	59	5
YGR094W	2649	2086	2365	2642	2738	1822	2406	2430	5
YER165W	2307	2337	2689	2648	2687	2389	2596	2473	5
YDR378C	969	653	549	697	122	0	0	329	5
YER057C	1995	2385	2022	909	3813	2561	1280	2279	5
YNL259C	1008	1149	0	341	1363	711	659	1442	5
YOL143C	5178	3846	4114	3567	5305	3387	3398	3670	5
YPL041C	0	510	284	161	139	0	0	425	5
YGR181W	870	404	746	541	156	0	828	234	5
YGL242C	2989	2275	2000	2519	2314	1665	2081	1398	5
YOR202W	1820	1434	1818	1168	1056	770	526	1076	5
YBR011C	19734	21849	18020	19232	21890	19421	18111	15288	2
YJL184W	872	581	627	218	616	322	641	620	5
YMR074C	0	576	0	217	1260	365	0	263	5
YAL044C	3958	3050	3728	3107	2817	2714	2743	3095	5
YLR351C	298	145	183	189	166	215	196	172	5
YGR267C	341	107	0	0	113	0	0	48	5
YDL078C	708	439	246	298	230	0	170	0	5
YER152C	32	0	0	15	0	0	16	0	5
YDL086W	394	617	523	183	619	329	445	670	5
YBL091C	135	0	0	124	53	0	0	38	5
YOL058W	1171	699	820	576	746	344	466	289	5
YER089C	338	228	269	185	351	264	237	292	5
YPL028W	7054	6594	4733	6304	7169	5794	6250	7220	1
YDL042C	356	0	268	444	203	0	308	144	5
YDR167W	560	0	583	0	398	666	440	322	5
YPR074C	8980	8275	6907	9316	9114	7430	7452	8615	1
YPL262W	1641	1426	887	1319	1466	1203	1131	1464	5
YDL185W	1345	933	800	1054	936	879	665	1186	5
YAL051W	37	0	37	50	10	28	0	19	5
YER091C	2702	2462	2258	2150	3255	2039	2112	1768	5
YHR108W	253	180	294	0	81	288	118	0	5
YDR207C	0	66	51	0	20	8	48	42	5
YDR027C	25	0	0	14	0	0	11	0	5
YGR204W	4186	2952	3377	3503	3398	2040	3152	2503	5
YDL040C	188	117	120	188	253	38	139	181	5
YLR398C	52	39	15	23	94	3	0	7	5
YNL267W	26	0	31	14	13	0	0	10	5
YMR080C	161	0	125	0	0	10	88	47	5
YJR138W	61	171	84	107	94	56	87	0	5
YBR034C	137	124	0	0	325	0	167	138	5
YOR294W	167	361	0	0	805	140	237	557	5
YPR110C	0	42	0	126	18	0	258	50	5
YOR310C	244	281	289	0	331	1215	597	543	5
YEL046C	763	1082	680	1640	2617	1681	2375	2075	5
YJR007W	0	78	0	0	155	64	96	125	5
YLR196W	55	47	335	177	164	34	102	0	5
YNL141W	538	695	614	780	987	667	981	990	5
YDR120C	103	118	269	63	131	0	233	0	5
YMR049C	16	29	0	20	85	34	122	144	5
YDL167C	0	13	0	0	17	10	0	38	5
YOR243C	70	45	128	96	157	80	85	100	5
YMR205C	963	1076	993	1379	2323	1257	1817	1292	5
YDR101C	156	193	0	136	394	202	346	322	5
YKL176C	0	202	0	0	366	0	0	278	5
YMR108W	85	53	90	0	192	151	47	188	5
YCL037C	89	75	0	67	102	0	224	0	5
YMR247C	0	116	0	0	143	0	168	275	5
YOR210W	889	671	177	703	1304	772	1134	967	5
YJR047C	635	525	136	689	1030	635	974	855	5
YDR050C	23510	25018	16229	17850	36916	28907	22172	28516	2
YDR071C	1185	987	368	468	1813	968	434	1048	5
YER156C	109	0	19	0	62	0	32	105	5
YOL086C	63661	66378	39377	58639	86151	63902	43036	57747	4
YKL060C	90033	120386	65548	86200	145071	117997	93948	104415	6
YHR013C	601	0	395	786	0	631	423	0	5
YKL040C	550	485	384	278	827	417	533	572	5
YDL236W	939	709	192	586	980	572	535	383	5
YBR118W	4702	4271	3471	4254	4218	6166	3526	6371	5
YLR059C	281	0	160	167	0	0	141	297	5
YPR016C	604	882	179	0	831	358	709	702	5
YOR323C	1352	981	700	716	1269	880	479	722	5
YOR128C	671	614	333	536	675	660	366	484	5
YHR018C	732	596	263	236	959	450	456	479	5
YAR073W	592	435	31	243	427	266	1490	295	5
YGL245W	1192	1112	592	1294	1419	1332	1066	2073	5
YIL015W	331	274	174	284	412	219	232	446	5
YGL202W	5740	5033	3660	4410	5940	4736	3567	3570	5
YLR027C	2211	1530	1239	1247	2537	1574	1595	1471	5
YBR263W	2006	1264	1009	1253	1763	1515	1415	1365	5
YML126C	3544	3006	2169	3644	2984	3150	2479	3805	5
YGR054W	466	430	197	375	614	438	304	304	5
YDR341C	635	591	119	360	824	516	387	497	5
YFL022C	1436	1427	550	390	1761	1060	877	1231	5
YER069W	151	121	47	79	63	102	80	72	5
YGL027C	131	152	35	60	200	183	0	65	5
YDR443C	12	29	8	0	27	0	22	0	5
YOL081W	30	0	12	22	42	0	30	0	5
YMR194W	15114	14882	19144	17331	16039	9285	16353	11642	1
YOL039W	8246	6236	5990	5973	10892	8157	4979	6002	1
YDL081C	21702	18834	16132	23526	15238	28117	9737	21510	2
YLR264W	22153	21008	19881	24253	25013	15752	15799	18400	2
YER131W	13763	12393	21198	18941	17383	16186	18930	19672	1
YBL087C	22374	20239	24553	23996	23327	21597	17473	17423	2
YOL040C	106340	116449	104858	120680	107205	103439	92820	86195	6
YDR382W	242	264	282	188	551	366	425	537	5
YGR118W	57331	55271	42021	50314	65891	58566	54025	52335	4
YLR287C-A	1810	1850	1504	1601	3530	1020	2685	2261	5
YDL075W	12461	13289	12273	10634	12815	7304	9661	8772	1
YBL092W	8195	6355	5766	5575	5776	3869	4228	2981	5
YLR061W	21223	21943	19217	20161	19748	16514	16396	16606	2
YOL127W	15486	15797	16504	16466	15946	13097	15767	12553	1
YLR325C	11706	9210	12350	8497	12365	5588	9067	5040	1
YOR234C	2217	2080	1794	1396	2105	857	1282	863	5
YJL136C	25457	34077	29627	18918	31926	29209	25430	16835	2
YKR057W	10447	11817	12768	18848	20399	11029	9544	18759	1
YPL143W	17523	13803	18640	13980	13162	9336	13404	10155	1
YDR064W	18036	18064	14447	15622	17480	10288	12213	9498	1
YKL056C	8610	9901	8744	8324	9947	8663	7855	6552	1
YGL103W	8361	8559	12336	9208	10652	6145	8554	6281	1
YNL301C	14751	13449	15158	13072	15606	9595	12802	6986	1
YIL133C	4591	3722	4630	4609	4778	3603	4237	3040	5
YBL002W	7631	7220	8356	8020	7758	6920	5758	6509	1
YCR031C	9613	5729	9543	9824	9921	11636	11228	9967	1
YHR010W	12739	11315	10745	10801	10077	6412	10007	8187	1
YGL030W	17261	19037	10888	11511	16144	8944	9933	8514	1
YOR276W	572	569	531	388	554	263	649	542	5
YGR034W	5416	5851	8976	5286	5595	2640	4135	3677	5
YGR027C	2517	1372	881	1517	3613	1866	2692	1641	5
YJR014W	703	336	502	631	851	437	813	589	5
YBR189W	12938	12124	11249	11534	12743	9104	9326	7122	1
YNL069C	7206	7053	7978	5936	7491	5274	6021	5375	1
YOR369C	5117	3053	3603	2765	3726	2899	1978	1473	5
YJL190C	19397	17288	14017	14469	16474	10947	9226	8461	1
YHR203C	25589	24557	17235	19561	24127	18577	15618	16186	2
YER074W	25447	24370	18750	15325	22016	12415	16067	9519	1
YGR085C	5662	4526	5406	5249	5693	3548	4190	2478	5
YLR340W	516	400	472	685	686	1338	515	1019	5
YBR048W	13931	15077	13237	14193	14767	8604	10563	9207	1
YNR050C	2029	1882	1169	1033	2765	1686	1341	1310	5
YOR021C	249	153	109	191	181	172	166	176	5
YML073C	1091	954	557	619	1017	440	426	446	5
YER056C-A	17943	15192	19622	12948	19976	9986	15362	8979	1
YDL083C	17318	19382	14074	14036	17640	14459	12141	9770	1
YKL216W	5535	5001	4795	4590	6559	4274	3845	4238	5
YNL067W	784	474	1121	415	652	435	741	289	5
YDR447C	31525	33636	39034	33501	31507	21346	24545	20033	2
YOR063W	17112	15261	17995	16376	18201	13054	17361	13609	1
YMR242C	11315	11172	11950	9981	11900	7004	10272	7772	1
YLR448W	7928	7743	6156	6282	9595	4416	6363	5401	1
YBL072C	28176	28333	27796	27428	32008	17937	23116	18282	2
YHL001W	747	329	1248	711	87	205	444	0	5
YER055C	3902	3217	3049	2101	3165	1887	1891	1152	5
YNL255C	1435	1113	2142	1428	326	1432	1761	0	5
YKL006W	58389	63742	63765	49886	41517	34013	38178	29047	4
YBL027W	17581	20131	22309	21207	21663	18969	20665	20655	2
YKL081W	265	219	130	200	394	255	345	564	5
YLR048W	17240	21121	0	17403	0	0	10315	9031	1
YDR450W	12090	14283	7169	7620	15634	10905	6513	3772	1
YNL302C	53074	76691	57812	60395	58625	60630	51027	54139	4
YOR293W	5485	3019	4214	3954	4977	2080	4367	2222	5
YDL082W	6364	7000	6619	25996	7146	5659	5749	5065	1
YLR150W	9011	9688	13702	9341	9988	8091	8387	6877	1
YAL003W	32124	38444	31521	31821	40667	44772	24202	28135	2
YOR095C	853	560	333	533	755	578	677	486	5
YMR142C	31331	32098	34012	30590	26116	18276	23785	19412	2
YBR191W	19499	29416	0	17929	21819	16228	22570	19417	1
YDR399W	3468	3183	2753	3761	4172	3606	2673	3526	5
YPL273W	889	1186	768	1410	1468	1416	1054	1596	5
YGR180C	392	268	329	425	447	484	381	661	5
YML063W	764	760	1563	990	1996	1104	2060	1170	5
YPL117C	2793	3465	3162	3489	4008	2960	4235	3304	5
YGR285C	1158	1617	2389	1745	2045	1178	2130	2462	5
YLR029C	11332	11157	8898	7058	9656	4661	7061	6043	1
