P0	P10	P20	P30	P40	P60	P90	P120	fit.cluster
YPL271W	1051	863	1279	1607	752	1467	1784	1569	5
YNL004W	116	70	0	139	234	0	0	82	5
YMR042W	62	0	336	0	0	38	335	0	5
YGL187C	180	0	0	642	267	742	395	185	5
YLR271W	268	375	0	0	684	513	0	0	5
YNR046W	865	729	3882	1197	1050	610	996	478	5
YGR114C	0	873	1991	1380	0	0	1787	0	5
YIL051C	5864	4637	4396	4192	6070	4806	4774	5667	5
YPR062W	0	0	1168	664	1179	841	830	0	5
YDL055C	2095	2743	2230	2136	5927	3242	5201	4421	5
YMR303C	29	0	0	0	147	46	59	0	5
YFL014W	0	0	48	575	3950	4184	4275	5886	5
YLR167W	3190	2199	4976	3412	3680	1828	3063	2412	5
YLR074C	0	187	0	0	211	0	0	0	5
YEL026W	2558	2116	1006	5031	3320	3755	4362	6635	5
YGL106W	0	177	0	0	299	203	0	0	5
YLR038C	477	1232	675	0	1813	1219	1916	1375	5
YDR397C	324	533	0	0	838	358	598	366	5
YDR279W	0	40	0	0	35	0	0	0	5
YGR187C	34	8	0	0	33	0	0	0	5
YFL045C	4684	4351	3295	4134	5879	5146	3024	3884	5
YBR252W	156	66	0	0	33	0	0	0	5
YDR304C	7207	5721	8259	7014	5984	3392	5888	5038	1
YLR208W	412	440	0	157	619	511	507	571	5
YER159C	979	437	0	634	1016	677	1261	773	5
YJR069C	264	70	441	0	301	174	160	144	5
YHR029C	110	0	0	0	358	351	299	524	5
YOR136W	1840	1443	1777	1606	2025	1209	1626	1216	5
YEL003W	0	79	0	0	80	0	0	0	5
YDR308C	384	203	364	93	330	0	0	0	5
YOL067C	28	109	0	0	98	0	42	0	5
YML004C	56	82	218	0	134	0	0	35	5
YCR051W	1321	957	847	547	732	1347	729	773	5
YLR009W	0	202	361	0	246	104	0	94	5
YNL244C	246	302	842	111	285	492	592	919	5
YBR053C	7	42	0	0	38	42	11	0	5
YLR075W	33326	35644	37287	46616	39946	41350	40933	44369	2
YNL037C	2259	2108	2255	2341	2469	2566	1468	1608	5
YDL004W	1914	1793	3110	1728	2078	1294	1258	1403	5
YDR487C	6255	5623	7351	6141	7062	7954	8113	8694	1
YHL033C	418	151	136	103	430	151	0	15183	5
YGR214W	95	0	16173	0	19896	15070	0	0	1
YDR381W	450	158	1655	2461	713	262	2195	2931	5
YIR034C	570	0	0	985	0	0	164	199	5
YML079W	136	59	0	0	230	325	20	86	5
YPR191W	38	98	0	127	176	151	217	310	5
YMR073C	0	61	0	0	0	58	0	72	5
YDR068W	0	95	21	0	63	122	0	0	5
YKL024C	0	63	0	0	0	59	110	1011	5
YAR015W	191	118	0	70	141	157	314	367	5
YNL113W	674	319	0	104	1000	1157	1133	1615	5
YLR200W	2018	1585	1490	2374	1989	1694	2980	3532	5
YMR083W	133	207	118	197	288	44	256	738	5
YDL168W	131	162	0	23	412	431	229	503	5
YBL021C	150	0	0	290	593	0	0	0	5
YMR200W	0	87	182	0	0	501	0	0	5
YHL034C	164	132	230	373	512	81	233	259	5
YLR178C	0	0	43	0	685	253	316	525	5
YDL201W	17	0	0	57	179	48	0	0	5
YGL246C	0	24	101	76	0	0	39	153	5
YNL055C	123	0	0	0	234	236	0	0	5
YNL032W	0	0	152	0	42	0	263	148	5
YMR079W	603	363	236	641	576	895	463	988	5
YJR070C	1649	1146	488	1201	1779	1345	1402	1659	5
YJL177W	84	175	561	326	56	0	61	29	5
YKR076W	0	0	29	150	292	263	368	327	5
YPL171C	0	0	85	440	719	384	687	268	5
YHR144C	44	0	0	0	193	0	135	0	5
YHR193C	2891	3085	4534	3876	4381	2389	3381	3557	5
YNL036W	0	506	0	0	1247	504	0	0	5
YDR012W	723	649	796	295	43492	199	519	359	1
YDR408C	104	349	500	0	238	0	0	0	5
YCL009C	482	0	427	0	0	0	159	367	5
YER009W	459	1016	437	1328	4727	5073	312	3381	5
YLR025W	0	67	0	0	90	0	0	0	5
YPR035W	3351	2630	2284	1950	2586	1149	1473	746	5
YJL140W	105	0	0	71	130	0	130	152	5
YKL093W	0	70	105	0	14	0	0	0	5
YOR120W	0	0	62	154	752	927	704	693	5
YHR063C	0	109	65	13	89	69	0	0	5
YGL148W	386	88	66	255	435	468	1231	4231	5
YML068W	0	241	0	379	390	383	170	203	5
YOL140W	0	10	0	0	0	13	0	0	5
YOL147C	511	0	0	0	554	139	0	0	5
YPL037C	976	1336	1130	923	2534	1443	2267	2922	5
YHR132C	0	335	0	0	552	130	0	406	5
YHR179W	18220	16895	18173	21481	20503	22203	20675	21857	2
YOL041C	586	455	915	855	618	288	632	497	5
YBR028C	0	0	172	241	0	0	215	0	5
YCR060W	110	289	0	0	81	0	0	0	5
YNL064C	350	233	396	378	565	418	301	613	5
YBL015W	0	27	44	0	84	83	78	52	5
YLR238W	234	0	0	163	158	0	0	0	5
YLR195C	0	0	37	0	545	338	378	450	5
YHR064C	734	543	384	655	961	631	899	1426	5
YHR208W	1979	2640	1418	2510	3018	1940	2642	2292	5
YDL066W	1350	1167	1465	1056	1459	1198	1109	1187	5
YOR104W	610	797	860	1246	1002	481	1174	781	5
YMR217W	160	104	0	0	0	229	0	0	5
YPL043W	0	30	0	0	0	5	0	0	5
YGR193C	48	0	0	0	122	0	0	35	5
YPL004C	0	73	207	0	56	0	0	0	5
YLR180W	409	0	280	116	445	1159	445	2013	5
YNR019W	0	38	0	0	17	0	0	0	5
YBR078W	0	55	0	0	0	111	0	0	5
YLR163C	0	56	0	9	33	0	73	116	5
YJL016W	105	138	58	0	28	136	0	0	5
YDR044W	23	317	0	0	568	368	47	284	5
YBR127C	542	429	367	544	725	806	973	2142	5
YGR124W	3673	4844	4513	6240	6364	4852	6795	6986	5
YML080W	106	0	0	0	74	37	105	0	5
YDR444W	46	0	0	23	60	14	0	0	5
YGL252C	0	52	52	0	137	0	61	0	5
YGR279C	1594	1636	2278	2012	2188	1679	2564	2285	5
YDL188C	163	135	0	188	377	128	307	90	5
YDL065C	0	36	0	0	7	0	0	0	5
YMR295C	237	448	159	136	312	1101	277	742	5
YNR015W	156	0	95	106	0	0	0	67	5
YNL007C	2359	2198	3131	4062	2621	2805	3001	2489	5
YBR162C	179	191	202	409	201	409	232	0	5
YOL068C	0	110	0	0	0	59	0	0	5
YGR276C	0	9	0	0	0	8	0	0	5
YMR044W	121	112	85	294	0	125	127	0	5
YGR019W	0	0	59	0	367	340	338	523	5
YOR204W	29	29	0	17	63	158	0	295	5
YNL061W	0	0	143	79	88	0	224	193	5
YPL158C	0	0	56	0	0	27	36	30	5
YBL045C	0	560	575	483	756	640	0	0	5
YER003C	4483	3467	3697	4095	5016	4943	4248	5799	5
YNR053C	44	11	0	51	27	0	0	0	5
YKR063C	0	11	72	77	0	0	110	0	5
YKL172W	125	0	0	78	69	0	0	0	5
YJR121W	901	680	679	1212	2267	1386	2195	1891	5
YLR134W	258	188	507	381	784	356	342	463	5
YKL195W	0	48	107	0	67	0	0	0	5
YBR196C	13877	11670	10729	11696	12492	10888	8169	9255	1
YDR188W	94	0	0	0	139	0	0	222	5
YDR432W	230	0	265	75	0	0	0	361	5
YHR216W	65	28	181	0	30	22	0	0	5
YOR155C	87	0	108	19	0	0	0	90	5
YBR130C	0	19	0	0	19	0	0	0	5
YER090W	158	122	124	121	131	157	256	304	5
YBL020W	134	139	115	150	250	334	193	329	5
YOR375C	3513	2607	3703	2756	3319	2532	2709	2860	5
YML002W	159	175	212	232	264	0	0	0	5
YDR312W	95	0	135	0	29	0	0	0	5
YMR290C	0	42	0	58	0	0	0	125	5
YLR304C	2280	2389	1897	2180	3794	2217	2712	2194	5
YMR313C	32	0	72	0	222	0	0	0	5
YNL104C	0	184	0	185	104	56	144	548	5
YGL253W	7517	7682	6044	8552	9522	8631	7175	7855	1
YDL226C	120	43	126	64	148	72	216	205	5
YLR044C	60772	61731	56708	83899	79186	75167	90185	152956	6
YGR041W	17	22	0	0	39	0	0	0	5
YKR027W	0	80	129	267	0	102	149	267	5
YOR123C	0	35	262	125	110	153	76	304	5
YML094W	140	0	409	95	0	93	86	291	5
YOR233W	9	0	0	0	10	0	104	29	5
YGR086C	51	112	191	227	238	170	17	0	5
YDL153C	0	24	103	0	31	28	6	0	5
YLR336C	12	0	0	131	0	25	0	17	5
YDR113C	7	0	30	0	37	0	0	10	5
YDR299W	0	0	35	31	197	46	53	124	5
YDL229W	24473	24611	26221	33802	36809	22415	32037	34931	2
YDR390C	470	693	0	778	0	381	0	0	5
YMR167W	621	586	680	751	567	496	405	461	5
YBR135W	521	327	0	274	394	551	268	565	5
YAR014C	0	32	63	54	0	23	0	95	5
YLL008W	0	0	10	0	0	38	0	0	5
YPL093W	189	130	139	194	142	114	137	123	5
YPL181W	22	0	30	37	36	0	0	0	5
YOL019W	50	23	0	37	116	0	0	0	5
YKL029C	425	247	300	225	448	335	214	262	5
YDR129C	176	206	287	133	183	94	123	81	5
YBL099W	444	382	687	1009	1151	1057	1333	1438	5
YJL080C	0	13	33	29	7	0	25	38	5
YKR048C	158	183	283	115	235	228	122	182	5
YAL031C	0	0	56	0	0	233	97	0	5
YLR369W	0	0	159	156	107	0	256	148	5
YCR011C	15	0	14	0	0	0	56	58	5
YJL041W	29	72	0	0	112	32	69	106	5
YPR154W	349	231	803	195	568	390	380	345	5
YAL053W	355	327	586	481	347	0	378	367	5
YLR427W	77	59	0	56	0	0	16	0	5
YHR047C	0	113	39	119	450	179	191	302	5
YBR295W	83	55	132	147	35	0	0	44	5
YNL085W	90	54	0	62	99	83	124	132	5
YAL011W	0	58	0	0	28	0	0	0	5
YOR206W	0	0	18	102	84	0	32	58	5
YNL127W	6	0	4	36	0	18	0	0	5
YER070W	17	0	13	7	0	55	0	0	5
YAR007C	0	0	385	0	323	0	0	400	5
YNL023C	4	0	36	0	0	0	14	0	5
YGL234W	86	11	0	0	0	109	48	61	5
YPR162C	0	28	75	0	73	28	0	0	5
YMR302C	0	69	32	0	39	0	0	0	5
YJR109C	163	94	91	123	145	120	94	136	5
YCR057C	6	0	0	53	18	0	0	21	5
YDL073W	0	14	14	0	13	0	0	0	5
YMR189W	187	17	172	130	88	25	47	139	5
YML034W	0	0	25	5	0	0	38	0	5
YGL093W	0	57	0	0	44	0	0	0	5
YLR410W	0	0	17	20	0	28	27	0	5
YPR175W	0	0	68	0	33	0	0	31	5
YER157W	0	42	28	0	0	38	0	126	5
YDR379W	61	31	0	81	0	71	22	0	5
YPR181C	0	54	0	0	49	27	0	193	5
YNL247W	377	438	237	550	834	423	676	876	5
YLR389C	41	0	0	25	85	78	69	123	5
YOR198C	1260	956	860	1402	1317	1525	1304	1564	5
YJL165C	14	15	0	0	0	6	0	41	5
YMR031C	0	26	0	0	63	15	0	0	5
YIL031W	18	0	0	0	74	0	79	58	5
YFR040W	12	0	0	0	20	0	10	0	5
YPL180W	37	31	0	73	31	0	0	48	5
YPR088C	0	0	48	0	0	51	47	47	5
YAL043C	0	22	42	0	0	25	25	0	5
YDL102W	0	25	0	19	0	15	0	0	5
YHR119W	0	0	23	0	0	4	0	0	5
YPR184W	0	0	7	15	8	15	0	14	5
YJL176C	0	0	4	9	0	0	10	0	5
YDR017C	52	15	16	35	103	23	74	21	5
YNL106C	0	0	72	0	57	32	0	0	5
YDR069C	75	78	85	173	99	83	8	0	5
YBR115C	10	0	65	6	6	0	12	27	5
YNL257C	30	0	25	0	26	12	0	0	5
YPR115W	0	0	19	17	0	23	20	0	5
YLR357W	0	68	57	0	43	0	0	0	5
YJL095W	58	0	0	0	82	39	0	0	5
YPL022W	37	0	0	36	4	0	48	0	5
YDR430C	11	0	64	64	0	0	44	0	5
YMR019W	35	0	0	30	0	226	0	0	5
YDR074W	64	0	313	0	147	29	153	0	5
YIL125W	148	104	222	140	163	99	146	239	5
YPL174C	22	0	0	0	49	0	35	0	5
YDR097C	0	0	71	90	78	0	167	91	5
YMR128W	22	0	18	0	58	0	0	0	5
YMR012W	2	0	0	0	23	15	0	0	5
YIL151C	44	0	0	0	39	0	0	22	5
YGR140W	0	0	21	88	22	34	0	16	5
YCL014W	26	24	0	48	64	7	0	0	5
YPL009C	9	77	11	22	0	78	76	0	5
YOR291W	0	0	15	33	13	17	0	0	5
YDL112W	0	6	0	0	0	9	0	0	5
YBR218C	606	235	314	412	717	427	102	682	5
YER176W	6	13	72	106	31	56	0	53	5
YCR073C	0	0	44	0	0	11	0	0	5
YDR093W	0	15	0	48	0	8	0	0	5
YOR336W	0	11	0	11	18	0	4	0	5
YKR086W	0	0	23	0	12	42	0	35	5
YER164W	0	0	11	0	14	0	17	0	5
YER166W	0	7	43	0	77	13	0	22	5
YML072C	32	76	0	0	89	121	0	0	5
YOR124C	0	0	46	0	0	28	0	0	5
YAL002W	91	44	0	0	0	13	61	10	5
YLR071C	32	0	0	0	39	0	48	0	5
YER093C	0	0	206	0	0	185	0	0	5
YLR247C	14	0	0	20	0	0	0	10	5
YBL066C	32	67	0	0	4	71	0	0	5
YDL195W	56	99	50	18	163	66	77	233	5
YKL014C	0	64	31	0	0	0	36	0	5
YBR081C	0	22	16	35	38	32	60	26	5
YIL159W	0	0	3	0	66	38	70	27	5
YMR273C	22	0	5	0	39	0	0	0	5
YLL048C	13	15	42	15	31	0	0	0	5
YPR010C	82	44	9	104	66	51	181	141	5
YOR304W	0	6	0	0	14	4	6	0	5
YBL079W	34	9	48	11	24	11	48	0	5
YJR033C	20	25	26	66	55	0	0	0	5
YCR084C	154	149	235	152	222	132	202	226	5
YPL167C	7	21	19	28	40	14	0	0	5
YGL122C	160	193	205	182	299	112	211	267	5
YFL008W	51	52	93	87	0	38	47	35	5
YLL021W	0	11	0	0	14	0	0	0	5
YER132C	154	184	99	256	276	203	0	0	5
YMR259C	0	0	28	29	38	62	60	0	5
YDL140C	13	87	0	25	109	105	99	166	5
YLR305C	17	8	0	0	0	26	16	19	5
YDR293C	0	12	21	4	0	31	9	0	5
YLR383W	0	0	18	0	10	0	0	21	5
YOR188W	0	0	34	0	0	39	40	0	5
YJR140C	0	5	17	0	0	10	0	0	5
YKL182W	243	386	150	492	1227	713	1198	1335	5
YDR334W	0	0	13	0	0	17	0	0	5
YFL007W	0	29	0	46	41	24	0	11	5
YNL250W	6	0	0	0	17	0	15	0	5
YLR342W	11	18	0	0	19	0	0	0	5
YNR016C	0	0	25	15	0	18	0	0	5
YGR032W	0	0	22	0	0	16	0	0	5
YHR165C	32	40	0	2	0	0	41	47	5
YBR140C	10	27	0	0	26	0	24	0	5
YDR150W	0	6	28	22	8	0	0	14	5
YIL129C	32	45	56	46	0	3	0	22	5
YLR430W	23	50	0	37	23	11	0	0	5
YBL004W	0	0	15	17	8	0	0	7	5
YDR170C	17	0	19	0	17	13	29	0	5
YNL262W	16	11	12	49	33	11	42	12	5
YPL082C	0	14	0	0	0	9	29	0	5
YCL019W	0	20	0	6	0	0	0	32	5
YLR087C	4	0	24	27	14	0	28	16	5
YOR191W	6	10	0	0	39	0	0	0	5
YLR454W	9	19	21	43	18	16	0	0	5
YOR326W	0	0	77	30	0	0	118	97	5
YDR457W	4	0	0	0	11	10	7	0	5
YIL149C	11	0	27	0	29	0	2	0	5
YOR290C	0	17	0	21	53	11	0	7	5
YKL203C	0	13	0	0	15	20	34	0	5
YKR095W	25	22	16	26	34	30	66	65	5
YLL040C	6	9	0	25	12	14	0	0	5
YCR093W	16	0	45	11	33	0	0	11	5
YIR006C	74	138	223	139	192	148	44	89	5
YHR099W	63	72	90	128	66	72	64	75	5
YKR054C	14	11	10	26	17	0	19	13	5
YLR106C	15	20	25	26	36	5	35	17	5
YPL242C	0	0	0	3	0	0	0	0	5
YLR070C	0	0	0	0	49	0	0	0	5
YPL266W	0	0	32	0	0	0	0	0	5
YML097C	0	0	0	0	70	0	0	0	5
YGL166W	0	0	0	0	53	0	0	0	5
YDR477W	0	0	0	0	8	0	0	0	5
YLR114C	0	0	0	54	0	0	0	0	5
YEL025C	0	0	0	0	5	0	0	0	5
YBR007C	0	0	0	0	77	0	0	0	5
YLL019C	0	0	29	0	0	0	0	0	5
YNL201C	0	0	0	0	32	0	0	0	5
YML017W	0	60	0	0	0	0	0	0	5
YBL086C	0	0	0	95	0	0	0	0	5
YGL035C	0	0	0	43	0	0	0	0	5
YAL054C	0	0	0	0	0	24	0	0	5
YPR002W	0	0	0	0	0	75	0	0	5
YNL172W	0	7	0	0	0	0	0	0	5
YJL057C	0	0	0	22	0	0	0	0	5
YHR034C	0	0	0	0	0	29	0	0	5
YGL008C	0	0	0	0	0	80	0	0	5
YGR257C	0	0	0	0	10	0	0	0	5
YPL222W	0	0	0	0	0	64	0	0	5
YNR030W	0	0	66	0	0	0	0	0	5
YHR158C	0	0	0	0	0	8	0	0	5
YDR369C	0	0	38	0	0	0	0	0	5
YDR141C	0	0	0	0	0	5	0	0	5
YPL072W	0	28	0	0	0	0	0	0	5
YDL035C	0	49	0	0	0	0	0	0	5
YPL064C	0	0	0	0	31	0	0	0	5
YBL106C	0	0	0	30	0	0	0	0	5
YEL032W	0	0	7	0	0	0	0	0	5
YKL020C	0	0	0	0	44	0	0	0	5
YBR235W	0	0	0	0	0	35	0	0	5
YDR062W	0	0	0	0	29	0	0	0	5
YLR064W	0	53	0	0	0	0	0	0	5
YKL066W	0	0	673	0	0	0	0	0	5
YDR311W	0	0	0	0	7	0	0	0	5
YBR212W	0	0	0	80	352	89	233	98	5
YIR007W	0	0	0	65	20	0	0	26	5
YML129C	180	0	0	0	274	0	0	0	5
YBR084W	0	0	0	59	3	37	0	0	5
YDR128W	72	0	0	0	0	4	0	0	5
YOL138C	6	16	22	0	0	0	0	0	5
YBR275C	0	0	0	0	17	12	9	30	5
YJR096W	0	0	0	0	138	100	106	231	5
YKL128C	182	0	0	19	0	0	0	0	5
YNL212W	15	0	0	0	0	0	0	52	5
YNL186W	38	0	0	0	80	0	0	0	5
YHR009C	0	0	0	0	56	0	30	0	5
YOR109W	0	0	0	70	0	5	0	0	5
YJL005W	11	0	0	0	21	0	0	0	5
YAL029C	0	0	0	25	36	0	13	13	5
YGL173C	0	0	0	52	0	81	131	152	5
YKR056W	0	0	153	28	0	0	0	0	5
YOL009C	0	0	90	142	0	0	0	0	5
YDL132W	0	10	0	0	0	0	24	0	5
YMR086W	0	0	0	16	86	0	0	20	5
YPR186C	0	63	0	0	0	0	0	50	5
YMR109W	0	0	0	36	24	0	0	0	5
YGR099W	0	21	0	0	0	0	39	17	5
YOR386W	0	0	89	36	0	0	0	29	5
YKL080W	48	0	0	0	0	122	0	27	5
YEL043W	0	0	11	36	24	0	0	0	5
YIL092W	0	17	0	0	0	0	39	76	5
YMR170C	0	0	0	0	40	0	19	145	5
YKL197C	0	0	29	5	30	0	0	0	5
YOL059W	0	32	0	138	0	0	0	0	5
YNL163C	25	0	0	0	92	0	0	0	5
YOL111C	0	0	156	0	0	0	0	191	5
YFR016C	0	0	0	11	73	47	0	27	5
YPL048W	7	0	0	0	0	0	0	111	5
YGR008C	0	0	0	0	1701	1214	1939	1934	5
YGL156W	37	29	12	29	0	0	0	0	5
YML103C	0	0	15	0	0	0	27	0	5
YLR129W	0	0	0	22	19	0	0	0	5
YJL123C	0	0	29	9	0	0	0	0	5
YOR165W	0	0	8	24	0	0	0	0	5
YBR079C	11	0	0	0	0	0	0	4	5
YMR020W	0	0	0	0	0	24	60	0	5
YLR309C	0	0	0	0	64	0	105	0	5
YER105C	0	0	0	49	13	69	0	35	5
YGL163C	0	5	0	0	0	0	0	26	5
YDL160C	0	0	0	0	76	0	0	132	5
YOL056W	184	35	92	0	0	0	0	0	5
YGL159W	0	0	122	0	0	0	0	21	5
YHL021C	0	0	0	0	69	106	49	139	5
YIL115C	4	0	0	0	0	0	23	0	5
YEL055C	5	0	0	0	0	0	18	0	5
YDR516C	0	0	0	21	61	0	70	130	5
YOR273C	0	34	0	0	0	0	45	0	5
YDR497C	0	0	64	0	0	0	43	0	5
YGL164C	0	14	0	0	0	0	92	0	5
YMR185W	0	22	0	12	0	0	0	0	5
YJL042W	8	0	0	0	0	16	0	0	5
YLL034C	0	0	14	39	0	0	0	45	5
YLR310C	0	0	0	27	0	0	3	0	5
YJR066W	0	0	0	16	13	0	14	12	5
YBR279W	5	0	0	0	25	0	0	0	5
YGR148C	195	80	584	211	0	0	0	0	5
YMR305C	0	0	0	0	0	42	0	25	5
YMR315W	0	0	0	0	0	69	400	1143	5
YJL207C	0	0	13	0	0	0	3	0	5
YGL133W	0	0	48	0	11	0	0	0	5
YFR019W	0	0	0	23	59	24	21	25	5
YKL135C	0	0	0	8	92	0	0	0	5
YKL210W	0	0	0	0	39	108	271	303	5
YDR495C	0	0	0	0	0	3	0	14	5
YOR230W	0	0	0	0	42	98	199	371	5
YER021W	0	0	0	74	0	0	25	0	5
YPL040C	29	0	0	95	0	0	0	0	5
YLR105C	58	0	0	64	0	0	0	0	5
YMR258C	76	0	0	0	98	0	0	0	5
YMR129W	0	0	0	0	92	0	0	9	5
YJL112W	35	0	0	0	0	0	28	0	5
YLR293C	196	0	0	0	0	187	0	117	5
YLR175W	0	0	0	0	143	13	0	120	5
YIL077C	0	0	80	0	204	0	0	0	5
YNL102W	0	0	0	3	0	0	6	39	5
YDR085C	0	0	20	0	0	0	18	0	5
YBR073W	0	0	81	35	0	0	0	0	5
YNL243W	0	0	0	0	54	0	0	131	5
YBR199W	0	0	0	12	112	0	0	0	5
YNR059W	0	0	0	0	0	12	111	0	5
YDL223C	0	0	0	0	0	0	4	11	5
YMR231W	0	0	0	36	10	0	0	0	5
YBR126C	0	0	0	0	140	113	59	266	5
YHR066W	0	86	0	30	0	0	0	0	5
YER025W	0	0	0	0	13	51	0	317	5
YNL321W	79	0	0	0	95	0	0	0	5
YGL137W	9	0	0	0	47	0	0	0	5
YDL240W	0	0	0	0	14	0	0	38	5
YML010W	0	22	28	0	0	0	0	52	5
YGL195W	0	0	0	16	0	0	8	2	5
YMR229C	0	0	0	0	13	0	9	0	5
YGL037C	0	0	0	0	616	466	1358	1976	5
YBR002C	0	0	0	0	13	0	0	73	5
YMR137C	143	0	13	0	0	0	0	0	5
YGR159C	0	0	0	10	37	0	0	0	5
YDL143W	0	0	0	0	54	27	0	0	5
YFR015C	0	0	0	130	146	0	62	0	5
YML091C	0	0	0	13	0	0	0	9	5
YBR033W	0	0	6	0	20	0	0	0	5
YJL109C	0	0	10	0	10	0	0	0	5
YDR107C	76	0	0	0	0	18	0	0	5
YGR163W	0	0	0	232	0	81	137	0	5
YML131W	0	0	0	73	223	192	754	570	5
YOR157C	0	0	0	0	28	57	0	77	5
YPR008W	0	0	10	0	0	0	0	33	5
YAL048C	0	0	0	0	130	82	190	0	5
YMR112C	294	82	662	0	0	0	0	0	5
YNL074C	19	12	323	0	0	0	0	0	5
YKL209C	13	0	0	33	0	0	0	0	5
YGR088W	0	0	0	64	88	25	79	0	5
YNL112W	0	0	0	269	164	60	0	185	5
YKL078W	0	0	25	69	6	0	0	0	5
YNL220W	0	0	0	0	23	58	177	305	5
YEL060C	0	0	0	0	87	56	83	0	5
YGL026C	81	0	0	0	0	0	0	35	5
YHR204W	20	0	0	134	0	0	0	0	5
YLR422W	0	0	0	0	0	5	25	0	5
YKR009C	0	0	60	35	0	0	0	31	5
YPL127C	0	0	0	194	0	0	0	479	5
YOL055C	121	0	0	0	0	42	0	0	5
YOL130W	0	0	0	0	39	0	27	11	5
YPL116W	35	0	0	0	0	7	0	0	5
YBR067C	0	0	0	0	0	71	839	0	5
YGR244C	0	0	0	0	0	40	152	115	5
YBR049C	17	0	0	0	0	0	59	0	5
YLR148W	0	0	0	0	0	32	80	0	5
YLR382C	0	9	0	0	0	0	14	0	5
YJR065C	0	0	0	0	0	56	0	262	5
YDR249C	0	0	188	63	0	0	0	0	5
YLR067C	2	10	0	0	0	0	0	0	5
YNL054W	0	0	0	16	68	0	0	94	5
YOR061W	0	0	0	0	0	42	0	203	5
YHR164C	28	0	16	0	0	0	0	0	5
YAL024C	0	0	0	0	27	0	8	0	5
YOL021C	0	0	7	0	0	0	0	34	5
YNL313C	0	0	0	0	49	0	29	68	5
YEL031W	0	0	0	42	0	22	0	0	5
YOL060C	0	0	0	235	40	0	0	41	5
YER014W	0	0	0	51	15	70	29	0	5
YCL050C	0	0	0	0	58	43	0	720	5
YBR169C	19	21	0	0	0	0	0	0	5
YLR189C	0	0	0	9	15	0	0	0	5
YJL159W	0	0	0	0	165	131	251	555	5
YOR320C	6	0	0	9	0	0	0	0	5
YOL087C	0	0	0	27	0	0	53	0	5
YNL084C	0	0	0	0	27	0	0	36	5
YGL111W	33	0	0	71	0	0	0	0	5
YKL215C	0	0	0	0	0	11	0	52	5
YER022W	0	52	0	0	0	0	0	14	5
YOR001W	0	0	0	0	30	0	16	0	5
YCR033W	0	37	0	16	0	0	0	0	5
YER172C	0	0	0	0	18	0	5	0	5
YDR406W	0	0	0	0	15	0	0	17	5
YHR023W	0	6	0	0	0	0	9	0	5
YDR486C	0	0	0	0	186	0	0	450	5
YLR330W	0	0	22	31	43	0	0	0	5
YDR337W	0	0	0	0	55	0	0	76	5
YNL273W	0	0	0	0	0	6	0	22	5
YNR008W	0	0	0	44	25	13	0	0	5
YDR217C	0	0	7	13	0	0	0	16	5
YBR245C	0	0	0	0	20	0	0	12	5
YGL158W	35	0	0	0	140	0	0	0	5
YGL201C	0	0	0	0	16	41	29	0	5
YGR282C	0	0	0	0	213	212	0	257	5
YMR089C	0	10	35	0	0	0	0	0	5
YIL002C	0	0	0	48	0	0	19	0	5
YGR184C	10	37	0	0	0	0	0	0	5
YNL197C	0	0	59	0	160	0	0	0	5
YIL083C	0	0	0	338	110	0	0	0	5
YER133W	0	0	0	0	0	0	66	249	5
YNL271C	0	0	0	0	40	18	14	0	5
YJL083W	0	0	18	60	0	0	0	0	5
YML049C	0	0	0	0	18	55	0	0	5
YNL087W	0	0	0	55	52	36	19	0	5
YOR278W	106	0	0	0	0	0	0	135	5
YJR060W	0	0	0	0	50	65	0	256	5
YML081W	0	0	0	78	21	0	0	52	5
YDL029W	0	0	0	0	93	0	89	267	5
YGR234W	0	0	0	120	0	69	173	313	5
YCR004C	0	0	0	0	380	680	0	491	5
YKL193C	0	0	0	0	0	0	28	72	5
YER120W	0	0	0	131	0	0	66	0	5
YDR019C	0	0	0	0	140	113	0	61	5
YHR113W	0	0	41	35	0	0	0	0	5
YGL099W	60	0	0	0	0	0	0	39	5
YOR368W	0	0	0	0	189	255	0	14	5
YGR250C	0	0	0	21	0	40	0	0	5
YKR084C	0	0	18	0	0	0	43	0	5
YGL014W	58	0	0	0	0	0	100	0	5
YDR098C	0	0	0	0	267	240	54	0	5
YGR170W	0	23	57	0	0	0	0	0	5
YKL211C	0	0	0	0	0	0	38	175	5
YLR110C	0	0	0	0	23452	0	0	42811	1
YGR070W	0	0	0	0	26	54	0	0	5
YKL096W	0	0	0	0	636	646	537	377	5
YKR006C	0	0	0	0	0	32	0	52	5
YNR031C	0	0	0	55	23	0	0	0	5
YJL200C	0	0	0	0	0	0	27	196	5
YDL103C	0	0	0	0	63	0	124	147	5
YNL059C	21	0	0	0	18	0	0	0	5
YPL058C	0	0	0	0	61	23	0	23	5
YJR126C	91	0	46	142	0	0	0	0	5
YKL114C	20	0	0	0	0	0	21	0	5
YNL327W	0	0	0	0	161	0	278	386	5
YPR011C	0	0	0	0	156	40	0	0	5
YPL176C	0	0	0	0	0	27	53	0	5
YML016C	36	0	79	42	0	0	0	0	5
YIL126W	0	0	99	0	35	0	0	0	5
YOR033C	0	0	0	0	15	0	0	10	5
YGR271W	0	0	0	0	25	0	12	0	5
YBR145W	0	0	0	0	185	57	0	154	5
YDR038C	49	0	0	0	34	0	0	0	5
YGR272C	0	0	0	0	62	111	228	26	5
