"diam$X"	"R0"	"R10"	"R20"	"R30"	"R40"	"R60"	"R90"
"1"	"YGL068W"	2.27	4.2	4.56	4.56	4.38	2.97	2.6
"2"	"YKL085W"	7.01	22.15	26.71	20.96	17.26	8.81	7.01
"3"	"YFL017C"	1.55	0	2.28	1.94	1.92	1.66	2.03
"4"	"YKL067W"	3.08	7.26	7.84	7.21	6.24	5.35	4.06
"5"	"YER042W"	1.67	3.48	4.34	3.6	2.23	3.24	2.44
"6"	"YDR353W"	9.39	42.24	40.24	33.14	32.69	23.76	13.65
"7"	"YHR005C-A"	4.6	6.83	7.07	7.07	6.83	5.66	4.03
"8"	"YKL150W"	2.23	6.9	9.63	8.44	7.3	4.52	3.6
"9"	"YKL035W"	5.16	24.73	45.83	42.47	26.14	8.27	7.51
"10"	"YGR167W"	2.38	4.83	5.4	4.8	4.18	3.26	2.72
"11"	"YBL050W"	1.36	2.65	2.62	2.54	2.29	2.04	1.56
"12"	"YHR137W"	0.43	1.42	2.78	2.96	2.18	0.66	0.35
"13"	"YLR258W"	2.43	17.89	29.06	22.33	16.35	4.86	4.96
"14"	"YBR203W"	0.54	1.22	1.58	1.16	1.07	0.76	0.6
"15"	"YBL030C"	8.65	13.67	11.82	10.8	11.42	7.85	8.13
"16"	"YPR069C"	4.64	6.09	5.6	4.71	4.42	4.24	4.3
"17"	"YIL063C"	1.4	1.27	1.36	1.19	1.34	1	1.41
"18"	"YGL105W"	7.62	10.34	8.4	8.22	8.63	8.63	7.31
"19"	"YGL229C"	0.55	0.92	0.96	0.84	0.77	0.34	0.47
"20"	"YDR180W"	1.13	1.46	1.34	1.14	1.33	1.18	0.95
"21"	"YDR011W"	4.09	6.03	5.95	4.97	5.43	4.54	4.7
"22"	"YBR208C"	1.16	0.84	1.17	0.98	0.95	0.9	0.77
"23"	"YNL242W"	0.6	0.71	0.69	0	0.64	0.51	0.43
"24"	"YDL058W"	1.42	1.28	1.37	1.16	1.17	0.88	1.1
"25"	"YJR104C"	21.39	105.34	122.69	121.84	98.97	71.45	40.19
"26"	"YDR533C"	1.89	32.55	44.46	59.49	71.24	62.88	32.78
"27"	"YOR285W"	7.34	22.57	0	41.83	44.21	25.93	15.74
"28"	"YGR209C"	16.2	94.85	123.44	134.14	71.89	101.66	58.8
"29"	"YPL170W"	1.39	2.37	2.32	2.72	2.18	2.18	1.7
"30"	"YCL035C"	4	8.05	11.23	12.63	10.62	8.28	6.54
"31"	"YLR109W"	20.55	86.89	100.5	97.75	109.22	78.85	50.95
"32"	"YDR032C"	5.84	20.9	30.81	41.5	40.65	41.5	20.32
"33"	"YDR272W"	1.81	3.43	4.31	4.2	4.14	3.22	2.48
"34"	"YDR513W"	2.96	19.23	20.19	18.45	16.51	8.14	4.91
"35"	"YMR090W"	1.45	10.28	26.74	17.52	22.33	19.71	6.73
"36"	"YOR020C"	8.89	35.79	45.3	49.23	43.45	29.47	20.13
"37"	"YBL041W"	3.72	7.29	8.09	7.82	6.31	8.61	5.45
"38"	"YBR149W"	4.09	12.06	16.82	21.59	21.74	13.76	7.17
"39"	"YMR318C"	7.07	38.38	48.58	60.23	53.16	54.28	33.88
"40"	"YMR038C"	1.69	4.91	3.35	2.98	3.35	3.44	3.42
"41"	"YIR037W"	4.17	9.38	14.42	15.35	21.56	15.78	7.89
"42"	"YKL142W"	2.32	7.57	11.24	9.86	7.84	6.03	4.03
"43"	"YCL018W"	38.65	52.43	54.66	80.03	99.9	129.11	77.84
"44"	"YOL151W"	2.4	43.81	34.85	21.9	24.99	20.16	15.92
"45"	"YHR106W"	1.01	1.92	1.92	1.88	1.93	1.53	1.24
"46"	"YNL156C"	2.13	4.25	5.2	5.16	5.81	5.05	3.18
"47"	"YOR122C"	9.79	17.53	17.29	19.45	18.79	17.29	13.85
"48"	"YFR052W"	2.88	6.34	7.64	7.08	8.08	7.54	4.71
"49"	"YFR050C"	4.05	8.8	10.1	9.3	10.17	11.06	6.18
"50"	"YNL274C"	0.76	10.25	18.61	17.24	13.72	5.93	3.29
"51"	"YGR232W"	3.32	5.86	6.41	6.63	6.92	5.43	4.03
"52"	"YPL061W"	4.7	35.33	36.57	37.08	40.3	15.38	20.15
"53"	"YPL091W"	2.18	5.11	5.33	5.26	4.94	3.3	2.98
"54"	"YML070W"	1.31	1.88	2.89	3.71	4.03	3.25	2.28
"55"	"YJL068C"	1.11	2.11	2.76	3.26	3.72	3.64	1.95
"56"	"YPL154C"	13.31	39.79	56.67	75.29	76.88	57.06	33
"57"	"YHR104W"	1.05	4.91	8.08	8.43	8.97	4.33	3.28
"58"	"YEL071W"	2.33	3.18	3.89	4.17	5.58	4.93	1.91
"59"	"YOL064C"	1.41	1.89	2.04	2.02	2.21	2.23	1.63
"60"	"YLR354C"	6.4	17.49	21.24	23.41	28.42	27.84	19.96
"61"	"YCL044C"	0.42	0.56	0.76	0.97	1.11	1.05	0.94
"62"	"YLR438W"	0.82	1.56	2.54	3.06	2.65	1.44	1.45
"63"	"YLR259C"	10.09	28.34	38.99	41.21	38.72	26.63	24.84
"64"	"YNL134C"	4.01	78.51	101.46	88.94	95.99	95.33	71.75
"65"	"YMR072W"	3.98	6.37	6.11	5.32	6.15	5.98	5.28
"66"	"YKL103C"	0.71	4.1	7.65	7.87	8.85	4.88	2.12
"67"	"YFL039C"	39.01	62.07	55.17	62.94	66.07	64.71	54.79
"68"	"YNL241C"	1.53	6.14	7.67	8.33	7.01	4	2.79
"69"	"YAL012W"	8.94	19.16	20.96	18	16.45	16	12.29
