"diam$X"	"R0"	"R10"	"R20"	"R30"	"R40"	"R60"	"R90"
"70"	"YOR374W"	1.23	19.28	32.42	43.67	31.53	10.84	4.4
"71"	"YLR216C"	4.37	18.08	24.02	17.95	12.78	15.85	14.38
"72"	"YOR142W"	2.13	4.12	5.25	5.67	5.22	2.98	2.76
"73"	"YDL124W"	3.94	31.06	54.83	48.4	48.74	48.74	19.25
"74"	"YER136W"	2.82	3.72	4.84	4.65	5.84	4.74	4.07
"75"	"YNL239W"	1.69	2.37	3.02	4.12	4.8	3.98	2.93
"76"	"YBL075C"	1.61	3.85	5.37	4.3	4.18	4.04	4.01
"77"	"YDL126C"	6.23	10.13	17.03	18.25	20.82	20.82	12.47
"78"	"YJL034W"	9.74	23.49	30.78	28.92	36.6	59.05	51.77
"79"	"YMR250W"	0.68	5.1	10.13	11.88	9.85	2.93	1.53
"80"	"YOL049W"	1.84	3.35	3.59	3.37	3.08	2.7	2.68
"81"	"YMR002W"	3.61	7.96	9.74	10.51	10.8	7.75	5.59
"82"	"YPL106C"	9.45	12.82	14.94	13.28	15.25	21.42	21.12
"83"	"YMR196W"	0.93	3.29	7.77	8.04	7.5	2.51	1.34
"84"	"YOR042W"	1.76	2.87	3.5	3.01	3.31	2.51	2.33
"85"	"YJR010W"	0.54	0.95	1.29	1.38	1.74	1.84	0.91
"86"	"YGR136W"	1.8	3.49	3.74	3.1	3.26	3.69	2.61
"87"	"YAL005C"	9.78	22.31	29.24	18.63	19.56	23.1	20.39
"88"	"YDR168W"	2.23	2.82	4.13	4.13	4.33	3.57	2.94
"89"	"YMR092C"	1.59	2.42	3.35	3.1	3.44	2.54	2.27
"90"	"YLR028C"	2.44	2.83	3.34	3.7	4.11	3.89	3.6
"91"	"YLL024C"	22.55	55.91	57.09	38.45	42.96	49.01	49.7
"92"	"YBL058W"	2.78	5.97	6.48	6.95	7.14	5.12	3.31
"93"	"YCL057W"	1.45	2.37	3.19	3.56	4.12	3.21	2.19
"94"	"YDR001C"	2.97	8.35	11.98	12.75	12.84	6.46	4.57
"95"	"YJR045C"	6.13	14.37	18.57	16.17	16.62	12.6	11.2
"96"	"YDR099W"	4.84	8.78	9.28	9.41	10.66	9.21	6.89
"97"	"YKL010C"	1.2	1.03	1.2	1.23	1.33	1.14	1.33
"98"	"YGL006W"	1.5	2.78	3.42	3.35	3.4	2.11	1.69
"99"	"YGL062W"	0.95	1.05	1.52	2.02	2.15	1.48	1.28
"100"	"YPL085W"	1.57	0.83	1.45	1.39	1.48	1.39	1.34
"101"	"YJR063W"	2.57	1.52	0.97	1.21	1.31	2.55	2.55
"102"	"YPL239W"	2.41	2.18	1.64	1.26	1.61	2.44	2.98
"103"	"YBL003C"	19.58	30.72	24.1	14.33	12.74	20.98	24.44
"104"	"YPR187W"	4.43	4.4	2.75	2.51	2.46	3.48	3.34
"105"	"YKL009W"	5.6	2.63	1.34	1.85	1.8	4.87	4.77
"106"	"YLL045C"	30.6	37.67	22.87	13.5	13.14	25.03	28.75
"107"	"YBR088C"	4.22	3.24	2.58	1.9	3.54	3.59	3.88
"108"	"YLR017W"	2.63	1.85	1.32	1.26	1.74	2.84	3.05
"109"	"YLR172C"	1.78	1.57	0.96	0.8	0.86	1.45	1.86
"110"	"YAL038W"	74.36	93.48	71.33	63.85	66.1	102.29	70.84
"111"	"YHR068W"	7.01	6.86	5.46	4.28	5.06	7.36	7.15
"112"	"YLR244C"	3.46	2.54	1.94	1.7	2.12	3.56	3.32
"113"	"YJR105W"	4.98	6.57	4.77	4.64	5.01	5.33	5.22
"114"	"YGL232W"	1.84	2	1.66	1.46	1.46	1.55	1.66
"115"	"YKR043C"	3.58	3.46	2.25	1.67	2.1	3.61	3.95
"116"	"YOR184W"	3.44	3.69	2.82	2.56	2.86	3.28	3.28
"117"	"YER043C"	18.8	15.81	11.65	12.57	14.65	20.71	19.33
"118"	"YBR248C"	1.34	0.84	0.66	0.63	0.79	0.82	1.19
"119"	"YNR043W"	2.33	1.84	1.5	1.45	1.84	2.5	2.29
"120"	"YDR165W"	2.92	1.43	0.76	0.91	1.2	2.25	2.42
"121"	"YCR053W"	5.55	4.51	3.49	3.16	4.06	4.38	4.9
"122"	"YPL212C"	1.71	1.04	0.75	0.69	0.89	1	1.49
"123"	"YML056C"	5.95	3.69	1.96	1.31	2.09	5.26	5.29
"124"	"YLL018C"	6.41	6.06	4.96	4.53	5.2	6.36	6.36
"125"	"YHR170W"	3.25	1.1	0.59	0.59	0.94	2.46	2.41
"126"	"YGR094W"	3.93	2.36	1.89	1.81	2.17	3.11	3.42
"127"	"YER165W"	4.84	4.07	3.11	2.76	3.67	6.08	4.52
"128"	"YDR378C"	1.89	2.97	2.3	2.22	1.76	2.14	2.19
"129"	"YER057C"	3.08	4.3	3.51	3.44	4.06	4.42	3.39
"130"	"YNL259C"	2.89	4.33	4.7	4.24	4.24	5.04	3.79
"131"	"YOL143C"	5.3	9.42	7.92	6.3	6.57	5.88	4.71
"132"	"YPL041C"	0.75	0.77	0.8	0.91	1	1	0.91
"133"	"YGR181W"	2.82	5.15	3.85	3.8	3.7	3.04	3.11
"134"	"YGL242C"	2.8	4.62	5.02	4.31	4.05	3.4	3.22
"135"	"YOR202W"	1.44	1.5	1.32	1.19	1.29	1.45	1.07
"136"	"YBR011C"	9.78	13.36	11.88	10.56	12.64	13.36	11.72
"137"	"YJL184W"	1.13	1.21	1.12	1.08	1.1	1.37	1.52
"138"	"YMR074C"	2.67	4.71	4.52	4.34	4.37	4.16	3.2
"139"	"YAL044C"	5.07	7.52	6.5	6.78	7.32	7.42	6.33
"140"	"YLR351C"	2.48	2.93	2.62	2.73	2.91	3.61	3.61
"141"	"YGR267C"	3.07	3.94	3.43	2.77	2.95	3.16	2.99
"142"	"YDL078C"	2.97	5.07	5.55	5.67	4.54	4.35	3.49
"143"	"YER152C"	1.44	1.41	1.44	1.95	2.07	2.41	2.08
"144"	"YDL086W"	3.25	4.35	4.47	5.24	6.07	5.43	4.26
"145"	"YBL091C"	2.99	4	4.29	3.63	3.71	3.76	3.12
"146"	"YOL058W"	2.9	3.11	2.92	2.92	2.82	3.35	3.2
"147"	"YER089C"	2.12	2.58	2.56	3.05	2.69	2.41	2.82
"148"	"YPL028W"	6.41	8.06	7.95	7.06	6.97	7.06	7.68
"149"	"YDL042C"	1.16	1.03	1.02	1.03	1.08	0.94	1.08
"150"	"YDR167W"	1.55	1.93	1.71	1.51	1.56	1.76	1.61
"151"	"YPR074C"	9.45	11.64	10.56	10.64	11.09	11.32	9.32
"152"	"YPL262W"	2.03	2.82	2.59	2.34	2.34	2.57	2.63
"153"	"YDL185W"	5.11	3.82	4.04	5.33	5.79	5.37	5.33
"154"	"YAL051W"	1.33	1.33	1.41	1.32	1.23	1.21	1.08
"155"	"YER091C"	2.85	4.62	4.14	4.56	5.53	3.73	2.91
"156"	"YHR108W"	1.7	1.67	1.62	1.33	1.69	1.63	1.59
"157"	"YDR207C"	0.5	0.51	0.52	0.48	0.51	0.46	0.45
"158"	"YDR027C"	1.1	1.09	1.32	0.82	1.11	0.82	0.72
"159"	"YGR204W"	4.33	3.9	3.9	4.33	5.36	4.94	4.54
"160"	"YDL040C"	2.44	2.21	2.37	2.08	2.42	2.27	2.24
"161"	"YLR398C"	1.01	0.97	1.04	0.97	0.95	0.87	0.9
"162"	"YNL267W"	1.06	1.14	1.05	0.99	1.21	0.8	0.98
"163"	"YMR080C"	1.27	0.78	0.71	0.86	0.9	1.19	1.12
"164"	"YJR138W"	0.8	0.68	0.72	0.74	0.65	0.57	0.73
"165"	"YBR034C"	3.05	1.43	0.91	1.22	1.56	3.22	2.23
"166"	"YOR294W"	1.93	0.52	0.37	0.43	0.66	1.43	1.66
"167"	"YPR110C"	5.24	2.93	1.8	1.31	2.04	4.44	4.17
"168"	"YOR310C"	9.72	3.89	1.95	1.56	2.81	5.25	7.22
"169"	"YEL046C"	3.9	2.78	1.76	1.79	2.06	3.04	2.68
"170"	"YJR007W"	5.73	4.08	3.68	3.6	4.29	5.98	4.35
"171"	"YLR196W"	3.05	0.91	0.55	0.61	1.13	2.28	2.53
"172"	"YNL141W"	2.79	0.56	0.25	0.28	0.36	1.79	2.09
"173"	"YDR120C"	2.56	0.92	0.54	0.67	0.84	1.31	2.08
"174"	"YMR049C"	2.39	0.53	0.36	0.33	0.55	1.24	1.68
"175"	"YDL167C"	0.87	0.28	0.18	0.22	0.35	0.62	0.71
"176"	"YOR243C"	1.61	0.72	0.42	0.48	0.72	1.13	1.37
"177"	"YMR205C"	4.74	3.21	2.5	3.13	3.47	5.37	3.47
"178"	"YDR101C"	2.56	0.77	0.43	0.59	0.77	1.82	2.05
"179"	"YKL176C"	1.07	0.67	0.59	0.69	0.72	0.83	0.99
"180"	"YMR108W"	2.56	1.97	1.25	1.1	1.59	2.51	2.54
"181"	"YCL037C"	1.23	0.36	0.26	0.27	0.44	0.66	0.73
"182"	"YMR247C"	1.5	1.03	1.03	1.05	1.02	1.15	1.51
"183"	"YOR210W"	5.99	6.5	4.38	3.58	3.53	5.03	5.21
"184"	"YJR047C"	7.92	10.81	8.25	7.04	7.18	6.99	7.7
"185"	"YDR050C"	30.67	49.14	34.27	33.8	34.27	43.37	30.67
"186"	"YDR071C"	5.98	10.19	9.71	8	7.78	8.93	6.45
"187"	"YER156C"	2.9	1.97	1.28	1.28	1.73	3.33	2.7
"188"	"YOL086C"	42.69	64.71	46.39	50.77	50.77	69.35	43.89
"189"	"YKL060C"	153.36	206.61	139.18	141.12	154.43	213.9	141.12
"190"	"YHR013C"	1.72	2.4	1.87	1.61	1.62	1.72	1.71
"191"	"YKL040C"	1.5	2.28	1.57	1.71	1.7	1.96	1.95
"192"	"YDL236W"	2.1	2.52	2.14	1.77	2.31	3.39	2.7
"193"	"YBR118W"	25.3	36.28	25.48	20.55	20.27	29.26	29.88
"194"	"YLR059C"	0.94	0.83	0.68	0.69	0.8	1.05	1.02
"195"	"YPR016C"	3.82	2.7	1.63	1.77	1.91	2.68	2.41
"196"	"YOR323C"	3.7	3.86	3.41	3.34	3.7	4.37	3.97
"197"	"YOR128C"	2.68	1.6	1.64	1.91	2.14	1.84	2.06
"198"	"YHR018C"	1.94	2.38	2.41	2.73	3.2	2.16	2.33
"199"	"YAR073W"	1.62	1.21	0.81	0.61	0.83	1.86	1.51
"200"	"YGL245W"	8.98	8.56	7.82	7.19	8.09	9.36	8.92
"201"	"YIL015W"	1.5	1.19	1.24	1.43	1.74	1.4	1.29
"202"	"YGL202W"	4.71	5.61	5.05	5.27	5.12	5.38	5.41
"203"	"YLR027C"	5.79	6.66	5.41	5.56	6.56	6.94	6.38
"204"	"YBR263W"	2.53	2.36	2.06	1.8	2	2.75	2.6
"205"	"YML126C"	7.31	7.36	5.54	5.62	6.73	7.52	9
"206"	"YGR054W"	1.73	1.07	1.06	1.56	1.53	1.57	1.49
"207"	"YDR341C"	4.79	3.25	1.87	1.44	1.78	3.08	3.68
"208"	"YFL022C"	3.38	3.4	3.04	2.63	3.77	4.33	4.39
"209"	"YER069W"	0.74	0.49	0.59	0.65	0	0.64	0.93
"210"	"YGL027C"	1.26	1.11	1.25	1.2	1.39	1.27	1.26
"211"	"YDR443C"	0.91	0.77	0.82	0.78	0.98	0.69	0.78
"212"	"YOL081W"	1.74	1.66	1.73	1.72	1.6	1.7	1.13
"213"	"YMR194W"	17.39	18.77	11.32	8.88	8.52	10.41	9.72
"214"	"YOL039W"	36.82	48.24	32.72	20.57	17.66	23.63	28.29
"215"	"YDL081C"	27.31	37.05	20.7	13.37	12.57	15.26	19.99
"216"	"YLR264W"	21.78	27.95	19.36	13.31	12.16	13.04	16.5
"217"	"YER131W"	17.49	26.69	16.78	9.44	7.88	13.26	13.82
"218"	"YBL087C"	33.07	41.56	27.42	16.53	14.9	21.51	26.49
"219"	"YOL040C"	55.49	74.25	47.32	28.33	27.75	43.84	41.19
"220"	"YDR382W"	84.12	113.33	69.76	46.99	40.35	52.14	66.46
"221"	"YGR118W"	49.25	70.13	43.77	27.51	27.51	37.84	38.91
"222"	"YLR287C-A"	30.97	48.94	35.58	28.11	27.34	35.82	25.33
"223"	"YDL075W"	41.32	49.48	29.42	18.24	16.1	21.54	27.64
"224"	"YBL092W"	28.78	41.56	26.49	17	13.52	19.52	23.87
"225"	"YLR061W"	30.84	24.37	17.84	13.24	16.08	22.89	22.58
"226"	"YOL127W"	23.7	33.29	20.21	13.52	9.97	16.88	17.96
"227"	"YLR325C"	30.55	37.61	19.88	14.06	15.6	20.72	20.72
"228"	"YOR234C"	24.11	25.13	15.91	11.09	10.64	16.35	18.27
"229"	"YJL136C"	36.43	39.05	24.37	15.86	16.19	20.35	24.71
"230"	"YKR057W"	37.68	44.81	26.83	18.07	16.98	21.49	27.97
"231"	"YPL143W"	29.58	36.41	21.65	15.85	15.1	20.06	22.89
"232"	"YDR064W"	27.31	27.5	16.7	16.13	14.24	0	13.38
"233"	"YKL056C"	29.46	33.84	20.26	15.35	13.84	23.27	26.73
"234"	"YGL103W"	32.85	36.2	27.25	21.38	18.74	18.74	27.63
"235"	"YNL301C"	14.3	17.36	10.61	7.15	6.58	8.44	9.84
"236"	"YIL133C"	22.3	23.4	12.46	8.69	10.05	16.1	16.55
"237"	"YBL002W"	10.55	15.77	11.79	7.89	7.51	11.95	14.02
"238"	"YCR031C"	36.79	44.98	26.19	18.78	18.78	23.94	25.3
"239"	"YHR010W"	37.3	45.6	24.61	18.65	17.89	24.61	28.27
"240"	"YGL030W"	29.71	38.12	22.2	15.17	13.95	20.15	21.45
"241"	"YOR276W"	5.46	7.01	4.66	3.55	3.6	5.09	4.82
"242"	"YGR034W"	30.79	36.86	20.31	14.77	13.59	19.35	23.99
"243"	"YGR027C"	51.64	83.9	53.1	34.55	28.85	38.33	41.95
"244"	"YJR014W"	3.42	3.22	2.63	2.4	2.8	3.19	2.92
"245"	"YBR189W"	13.47	15.37	9.14	6.33	6.33	8.07	9.59
"246"	"YNL069C"	20.84	25.65	16.46	11.01	11.01	15.47	17.28
"247"	"YOR369C"	53.8	80.98	45.24	27.47	20.39	29.64	35.5
"248"	"YJL190C"	36.45	47.77	29.2	16.43	14.6	21.83	27.25
"249"	"YHR203C"	41.58	52.27	27.06	16.66	17.85	27.44	31.51
"250"	"YER074W"	20.44	25.69	14.76	8.78	8.59	11.26	14.35
"251"	"YGR085C"	45.73	61.61	34.18	22.87	19.63	33.94	38.99
"252"	"YLR340W"	39.32	41.27	24.04	17.35	14.19	19.25	27.99
"253"	"YBR048W"	12.64	13.93	8.52	5.7	5.39	7.46	9.32
"254"	"YNR050C"	4.42	3.98	3.15	2.47	2.47	2.84	3.35
"255"	"YOR021C"	4.99	3.94	2.25	1.69	2.04	3.88	4.34
"256"	"YML073C"	29.82	38.53	22.13	14.01	14.3	20.51	21.53
"257"	"YER056C-A"	13.39	19.88	11.9	7.38	6.56	7.48	9.67
"258"	"YDL083C"	25.78	29.61	16.54	10.32	12.11	16.2	15.22
"259"	"YKL216W"	8.93	4.65	1.25	0.72	0.81	2.23	6.05
"260"	"YNL067W"	13.82	19.41	15.88	7.89	7.72	14.82	14.51
"261"	"YDR447C"	33.98	30.62	19.38	12.27	11.52	18.72	22.42
"262"	"YOR063W"	37.51	41.33	24.4	14.61	15.77	28.03	28.43
"263"	"YMR242C"	30.05	36.74	17.99	11.39	12.04	19.83	22
"264"	"YLR448W"	21.93	21.93	12.25	8.78	8.97	13.4	17.32
"265"	"YBL072C"	41.1	54.98	28.86	18.52	18.14	25.12	30.5
"266"	"YHL001W"	19.5	23.19	13.88	9.55	10.16	13.23	15.84
"267"	"YER055C"	8.22	6.23	3.94	2.79	3.86	4.92	4.43
"268"	"YNL255C"	4.12	4.41	2.64	1.89	2.18	4.09	4.15
"269"	"YKL006W"	27.12	30.72	17.89	11.64	11.4	17.05	20.84
"270"	"YBL027W"	29	42.46	24.39	16.2	14.5	21.23	22.29
"271"	"YKL081W"	27.58	21.49	13.23	10.24	10.24	13.51	19.91
"272"	"YLR048W"	20.23	21.38	11.54	7.51	7.3	10.33	14.61
"273"	"YDR450W"	21.98	29.61	20.5	10.99	10.54	14.7	15.87
"274"	"YNL302C"	27.65	31.1	19.96	18.24	13.73	12.03	18.24
"275"	"YOR293W"	18.03	21.89	11.89	7.74	7.22	10.07	11.73
"276"	"YDL082W"	19.52	24.37	14.79	8.38	9.17	12.7	13.43
"277"	"YLR150W"	28.06	36.77	24.94	16.57	14.03	15.14	20.26
"278"	"YAL003W"	25.55	32.12	26.27	16.86	16.4	19.91	23.84
"279"	"YOR095C"	3.04	1.49	0.58	0.55	0.7	2.16	2.47
"280"	"YMR142C"	14.17	19.22	11.35	6.94	6.65	9.09	9.48
"281"	"YBR191W"	49.18	64.89	38.85	23.59	22.63	34.54	37.27
"282"	"YDR399W"	7.37	2.28	0.96	1.1	1.7	4.12	3.76
"283"	"YPL273W"	3.23	3.16	1.78	1.2	1.49	2.38	2.74
"284"	"YGR180C"	9.43	11.22	7.56	5.2	5.2	6.81	8.04
"285"	"YML063W"	23.66	33.69	18.69	10.88	9.22	14.87	15.39
"286"	"YPL117C"	2.59	2.34	1.61	1.37	1.59	2.52	2.21
"287"	"YGR285C"	12.32	12.07	7.53	5.91	6.88	9.34	11.82
"288"	"YLR029C"	38.4	56.61	28.11	15.38	12.67	22.68	26.41
"289"	"YDL136W"	21.49	30.18	20.19	12.01	11.6	15.3	17.22
"290"	"YHL015W"	57.12	87.17	66.06	34.92	30.19	38.74	43.89
"291"	"YLR441C"	25.88	28.12	16.26	9.81	9.6	15.82	18.17
"292"	"YJR123W"	52.84	61.97	37.11	24.82	21.61	31.2	34.38
"293"	"YDR226W"	17	25.59	18.86	15.11	15.64	20.36	18.35
"294"	"YBR181C"	30.04	45.53	28.02	14.71	14.11	21.39	24.4
"295"	"YGL076C"	32.06	37.87	18.93	13.11	12.84	17.91	23.15
"296"	"YPL131W"	48.72	49.06	26.29	16.07	17.11	31.27	36.42
"297"	"YDL051W"	3.83	2.6	1.84	1.26	1.57	3.07	3.45
"298"	"YKL180W"	30.67	38.02	23.9	14.41	15.34	22.92	25.09
"299"	"YBR031W"	32.25	37.82	19.99	14.23	15.79	23.28	22.64
"300"	"YLR420W"	2.61	2.49	1.64	1.62	1.54	1.8	2.17
"301"	"YLR355C"	10.01	6.42	3.9	4.7	6.42	5.99	6.42
"302"	"YMR116C"	52.33	55.31	29.85	22	18.89	20.39	29.85
"303"	"YNL096C"	18.59	18.2	0	7.44	9.49	13.05	13.89
"304"	"YGL123W"	62.41	74.22	42.92	28.12	26.24	36.85	45.06
"305"	"YBR249C"	6.47	6.47	3.49	2.27	2.27	4.21	4.84
"306"	"YOR096W"	30.86	37.99	22.9	13.62	13.62	20.64	25.06
"307"	"YHR025W"	6.28	5.98	3.95	3.89	3.84	5.03	6.64
"308"	"YLR058C"	14.44	5.63	3.32	4.18	5.91	7.22	7.79
"309"	"YAR071W"	0.93	0.46	0.22	0.2	0.32	0.54	0.32
"310"	"YBR092C"	2.85	1.39	0.68	0.68	0.91	1.26	1.06
"311"	"YBR121C"	11.11	9.68	6.34	5.44	6.65	7.91	9.88
"312"	"YJR016C"	3.91	2.61	1.37	1.17	1.41	2.54	3
"313"	"YGR185C"	4.01	3.56	2.68	2.24	2.9	2.72	3.82
"314"	"YLR359W"	6.62	3.91	1.98	1.92	2.58	3.24	3.91
"315"	"YLR060W"	5.55	5.03	3.82	3.21	3.76	5.1	5
"316"	"YDR023W"	9.86	9.39	6.11	3.46	4.44	6.51	7.32
"317"	"YBL024W"	2.09	0.96	0.75	0.71	0.9	1.31	1.36
"318"	"YOR168W"	4.99	3.43	2.69	2.25	2.69	3.34	3.73
"319"	"YLR432W"	2.95	2.13	1.24	1.03	1.24	2.71	2.81
"320"	"YJL138C"	16.52	16.98	10.6	8.26	8.91	14.99	15.52
"321"	"YMR120C"	7.91	2.94	1.27	1.66	2.54	2.21	2.14
"322"	"YBL076C"	3.9	1.87	1.72	1.52	1.83	2.61	2.9
"323"	"YHR019C"	6.95	6.53	4.1	3.2	3.2	4.95	5.42
"324"	"YMR131C"	3.28	1.64	0.72	0.75	1.02	2.33	2.59
"325"	"YDR234W"	1.85	0.82	0.48	0.54	0.52	1	1.4
"326"	"YDR111C"	0.74	0.41	0.31	0.28	0.33	0.44	0.45
"327"	"YOR335C"	3.02	1.63	1.27	0.97	1.24	1.97	2.26
"328"	"YDR037W"	7.93	6.09	3.73	2.69	3.24	6.9	6.35
"329"	"YIL078W"	16	13	9.92	7.52	8.17	12.47	14.73
"330"	"YGR264C"	3.65	2.04	1.21	0.99	1.32	1.9	2.41
"331"	"YLR249W"	39.96	18.77	9.58	6.41	9.58	29.26	30.29
"332"	"YDR385W"	23.23	17.85	11.38	10.25	11.14	16.31	18.61
"333"	"YDL077C"	0.95	2.32	0.65	0.63	0.69	0	0.58
"334"	"YCL030C"	3.79	1.67	1.18	1.02	1.25	1.25	1.67
"335"	"YPL160W"	4.09	2.94	2.42	1.85	2.34	2.86	3.49
"336"	"YOL123W"	2.39	2.08	1.53	0.98	1.08	1.29	2.2
"337"	"YGR061C"	2.85	1.28	1.17	0.85	1	1.16	1.41
"338"	"YJR031C"	0.99	0.68	0.62	0.48	0.62	0.48	0.97
"339"	"YJL130C"	4.83	3.81	3.61	3.58	2.91	3.95	4.35
"340"	"YLL050C"	15.07	27.35	25.69	26.42	28.51	29.51	23.64
"341"	"YDR519W"	3	3.77	3.46	4.42	6.2	9.14	7.17
"342"	"YDL046W"	5.44	12.51	16.73	16.5	18.18	10.3	7.44
"343"	"YPL059W"	3.02	5.33	5.4	5.67	6.08	4.9	3.87
"344"	"YGR037C"	12.7	24.54	25.76	25.93	25.58	34.46	26.11
"345"	"YDL125C"	7.3	15.87	16.55	15.12	15.66	26.15	13.26
"346"	"YML078W"	5.96	9.54	9.35	10.09	11.27	11.35	8.03
"347"	"YKL192C"	3.72	8.09	10.38	10.16	9.95	7.34	4.88
"348"	"YER062C"	3.53	3.94	4.92	5.94	7.94	18.12	6.96
"349"	"YJL217W"	3.56	8.07	11.1	12.4	11.49	6.93	5.59
