R0	R10	R20	R30	R40	R60	R90	fit.cluster
YJL034W	9.74	23.49	30.78	28.92	36.6	59.05	51.77	6
YMR250W	0.68	5.1	10.13	11.88	9.85	2.93	1.53	1
YOL049W	1.84	3.35	3.59	3.37	3.08	2.7	2.68	4
YMR002W	3.61	7.96	9.74	10.51	10.8	7.75	5.59	1
YPL106C	9.45	12.82	14.94	13.28	15.25	21.42	21.12	1
YMR196W	0.93	3.29	7.77	8.04	7.5	2.51	1.34	4
YOR042W	1.76	2.87	3.5	3.01	3.31	2.51	2.33	4
YJR010W	0.54	0.95	1.29	1.38	1.74	1.84	0.91	4
YGR136W	1.8	3.49	3.74	3.1	3.26	3.69	2.61	4
YAL005C	9.78	22.31	29.24	18.63	19.56	23.1	20.39	2
YDR168W	2.23	2.82	4.13	4.13	4.33	3.57	2.94	4
YMR092C	1.59	2.42	3.35	3.1	3.44	2.54	2.27	4
YLR028C	2.44	2.83	3.34	3.7	4.11	3.89	3.6	4
YLL024C	22.55	55.91	57.09	38.45	42.96	49.01	49.7	6
YBL058W	2.78	5.97	6.48	6.95	7.14	5.12	3.31	1
YCL057W	1.45	2.37	3.19	3.56	4.12	3.21	2.19	4
YDR001C	2.97	8.35	11.98	12.75	12.84	6.46	4.57	1
YJR045C	6.13	14.37	18.57	16.17	16.62	12.6	11.2	1
YDR099W	4.84	8.78	9.28	9.41	10.66	9.21	6.89	1
YKL010C	1.2	1.03	1.2	1.23	1.33	1.14	1.33	4
YGL006W	1.5	2.78	3.42	3.35	3.4	2.11	1.69	4
YGL062W	0.95	1.05	1.52	2.02	2.15	1.48	1.28	4
YPL085W	1.57	0.83	1.45	1.39	1.48	1.39	1.34	4
YJR063W	2.57	1.52	0.97	1.21	1.31	2.55	2.55	4
YPL239W	2.41	2.18	1.64	1.26	1.61	2.44	2.98	4
YBL003C	19.58	30.72	24.1	14.33	12.74	20.98	24.44	2
YPR187W	4.43	4.4	2.75	2.51	2.46	3.48	3.34	4
YKL009W	5.6	2.63	1.34	1.85	1.8	4.87	4.77	4
YLL045C	30.6	37.67	22.87	13.5	13.14	25.03	28.75	2
YBR088C	4.22	3.24	2.58	1.9	3.54	3.59	3.88	4
YLR017W	2.63	1.85	1.32	1.26	1.74	2.84	3.05	4
YLR172C	1.78	1.57	0.96	0.8	0.86	1.45	1.86	4
YAL038W	74.36	93.48	71.33	63.85	66.1	102.29	70.84	6
YHR068W	7.01	6.86	5.46	4.28	5.06	7.36	7.15	1
YLR244C	3.46	2.54	1.94	1.7	2.12	3.56	3.32	4
YJR105W	4.98	6.57	4.77	4.64	5.01	5.33	5.22	1
YGL232W	1.84	2	1.66	1.46	1.46	1.55	1.66	4
YKR043C	3.58	3.46	2.25	1.67	2.1	3.61	3.95	4
YOR184W	3.44	3.69	2.82	2.56	2.86	3.28	3.28	4
YER043C	18.8	15.81	11.65	12.57	14.65	20.71	19.33	2
YBR248C	1.34	0.84	0.66	0.63	0.79	0.82	1.19	4
YNR043W	2.33	1.84	1.5	1.45	1.84	2.5	2.29	4
YDR165W	2.92	1.43	0.76	0.91	1.2	2.25	2.42	4
YCR053W	5.55	4.51	3.49	3.16	4.06	4.38	4.9	4
YPL212C	1.71	1.04	0.75	0.69	0.89	1	1.49	4
YML056C	5.95	3.69	1.96	1.31	2.09	5.26	5.29	4
YLL018C	6.41	6.06	4.96	4.53	5.2	6.36	6.36	1
YHR170W	3.25	1.1	0.59	0.59	0.94	2.46	2.41	4
YGR094W	3.93	2.36	1.89	1.81	2.17	3.11	3.42	4
YER165W	4.84	4.07	3.11	2.76	3.67	6.08	4.52	4
YDR378C	1.89	2.97	2.3	2.22	1.76	2.14	2.19	4
YER057C	3.08	4.3	3.51	3.44	4.06	4.42	3.39	4
YNL259C	2.89	4.33	4.7	4.24	4.24	5.04	3.79	4
YOL143C	5.3	9.42	7.92	6.3	6.57	5.88	4.71	1
YPL041C	0.75	0.77	0.8	0.91	1	1	0.91	4
YGR181W	2.82	5.15	3.85	3.8	3.7	3.04	3.11	4
YGL242C	2.8	4.62	5.02	4.31	4.05	3.4	3.22	4
YOR202W	1.44	1.5	1.32	1.19	1.29	1.45	1.07	4
YBR011C	9.78	13.36	11.88	10.56	12.64	13.36	11.72	1
YJL184W	1.13	1.21	1.12	1.08	1.1	1.37	1.52	4
YMR074C	2.67	4.71	4.52	4.34	4.37	4.16	3.2	4
YAL044C	5.07	7.52	6.5	6.78	7.32	7.42	6.33	1
YLR351C	2.48	2.93	2.62	2.73	2.91	3.61	3.61	4
YGR267C	3.07	3.94	3.43	2.77	2.95	3.16	2.99	4
YDL078C	2.97	5.07	5.55	5.67	4.54	4.35	3.49	4
YER152C	1.44	1.41	1.44	1.95	2.07	2.41	2.08	4
YDL086W	3.25	4.35	4.47	5.24	6.07	5.43	4.26	1
YBL091C	2.99	4	4.29	3.63	3.71	3.76	3.12	4
YOL058W	2.9	3.11	2.92	2.92	2.82	3.35	3.2	4
YER089C	2.12	2.58	2.56	3.05	2.69	2.41	2.82	4
YPL028W	6.41	8.06	7.95	7.06	6.97	7.06	7.68	1
YDL042C	1.16	1.03	1.02	1.03	1.08	0.94	1.08	4
YDR167W	1.55	1.93	1.71	1.51	1.56	1.76	1.61	4
YPR074C	9.45	11.64	10.56	10.64	11.09	11.32	9.32	1
YPL262W	2.03	2.82	2.59	2.34	2.34	2.57	2.63	4
YDL185W	5.11	3.82	4.04	5.33	5.79	5.37	5.33	1
YAL051W	1.33	1.33	1.41	1.32	1.23	1.21	1.08	4
YER091C	2.85	4.62	4.14	4.56	5.53	3.73	2.91	4
YHR108W	1.7	1.67	1.62	1.33	1.69	1.63	1.59	4
YDR207C	0.5	0.51	0.52	0.48	0.51	0.46	0.45	4
YDR027C	1.1	1.09	1.32	0.82	1.11	0.82	0.72	4
YGR204W	4.33	3.9	3.9	4.33	5.36	4.94	4.54	4
YDL040C	2.44	2.21	2.37	2.08	2.42	2.27	2.24	4
YLR398C	1.01	0.97	1.04	0.97	0.95	0.87	0.9	4
YNL267W	1.06	1.14	1.05	0.99	1.21	0.8	0.98	4
YMR080C	1.27	0.78	0.71	0.86	0.9	1.19	1.12	4
YJR138W	0.8	0.68	0.72	0.74	0.65	0.57	0.73	4
YBR034C	3.05	1.43	0.91	1.22	1.56	3.22	2.23	4
YOR294W	1.93	0.52	0.37	0.43	0.66	1.43	1.66	4
YPR110C	5.24	2.93	1.8	1.31	2.04	4.44	4.17	4
YOR310C	9.72	3.89	1.95	1.56	2.81	5.25	7.22	4
YEL046C	3.9	2.78	1.76	1.79	2.06	3.04	2.68	4
YJR007W	5.73	4.08	3.68	3.6	4.29	5.98	4.35	4
YLR196W	3.05	0.91	0.55	0.61	1.13	2.28	2.53	4
YNL141W	2.79	0.56	0.25	0.28	0.36	1.79	2.09	4
YDR120C	2.56	0.92	0.54	0.67	0.84	1.31	2.08	4
YMR049C	2.39	0.53	0.36	0.33	0.55	1.24	1.68	4
YDL167C	0.87	0.28	0.18	0.22	0.35	0.62	0.71	4
YOR243C	1.61	0.72	0.42	0.48	0.72	1.13	1.37	4
YMR205C	4.74	3.21	2.5	3.13	3.47	5.37	3.47	4
YDR101C	2.56	0.77	0.43	0.59	0.77	1.82	2.05	4
YKL176C	1.07	0.67	0.59	0.69	0.72	0.83	0.99	4
YMR108W	2.56	1.97	1.25	1.1	1.59	2.51	2.54	4
YCL037C	1.23	0.36	0.26	0.27	0.44	0.66	0.73	4
YMR247C	1.5	1.03	1.03	1.05	1.02	1.15	1.51	4
YOR210W	5.99	6.5	4.38	3.58	3.53	5.03	5.21	1
YJR047C	7.92	10.81	8.25	7.04	7.18	6.99	7.7	1
YDR050C	30.67	49.14	34.27	33.8	34.27	43.37	30.67	6
YDR071C	5.98	10.19	9.71	8	7.78	8.93	6.45	1
YER156C	2.9	1.97	1.28	1.28	1.73	3.33	2.7	4
YOL086C	42.69	64.71	46.39	50.77	50.77	69.35	43.89	6
YKL060C	153.36	206.61	139.18	141.12	154.43	213.9	141.12	3
YHR013C	1.72	2.4	1.87	1.61	1.62	1.72	1.71	4
YKL040C	1.5	2.28	1.57	1.71	1.7	1.96	1.95	4
YDL236W	2.1	2.52	2.14	1.77	2.31	3.39	2.7	4
YBR118W	25.3	36.28	25.48	20.55	20.27	29.26	29.88	2
YLR059C	0.94	0.83	0.68	0.69	0.8	1.05	1.02	4
YPR016C	3.82	2.7	1.63	1.77	1.91	2.68	2.41	4
YOR323C	3.7	3.86	3.41	3.34	3.7	4.37	3.97	4
YOR128C	2.68	1.6	1.64	1.91	2.14	1.84	2.06	4
YHR018C	1.94	2.38	2.41	2.73	3.2	2.16	2.33	4
YAR073W	1.62	1.21	0.81	0.61	0.83	1.86	1.51	4
YGL245W	8.98	8.56	7.82	7.19	8.09	9.36	8.92	1
YIL015W	1.5	1.19	1.24	1.43	1.74	1.4	1.29	4
YGL202W	4.71	5.61	5.05	5.27	5.12	5.38	5.41	1
YLR027C	5.79	6.66	5.41	5.56	6.56	6.94	6.38	1
YBR263W	2.53	2.36	2.06	1.8	2	2.75	2.6	4
YML126C	7.31	7.36	5.54	5.62	6.73	7.52	9	1
YGR054W	1.73	1.07	1.06	1.56	1.53	1.57	1.49	4
YDR341C	4.79	3.25	1.87	1.44	1.78	3.08	3.68	4
YFL022C	3.38	3.4	3.04	2.63	3.77	4.33	4.39	4
YER069W	0.74	0.49	0.59	0.65	0	0.64	0.93	4
YGL027C	1.26	1.11	1.25	1.2	1.39	1.27	1.26	4
YDR443C	0.91	0.77	0.82	0.78	0.98	0.69	0.78	4
YOL081W	1.74	1.66	1.73	1.72	1.6	1.7	1.13	4
YMR194W	17.39	18.77	11.32	8.88	8.52	10.41	9.72	1
YOL039W	36.82	48.24	32.72	20.57	17.66	23.63	28.29	2
YDL081C	27.31	37.05	20.7	13.37	12.57	15.26	19.99	2
YLR264W	21.78	27.95	19.36	13.31	12.16	13.04	16.5	2
YER131W	17.49	26.69	16.78	9.44	7.88	13.26	13.82	2
YBL087C	33.07	41.56	27.42	16.53	14.9	21.51	26.49	2
YOL040C	55.49	74.25	47.32	28.33	27.75	43.84	41.19	6
YDR382W	84.12	113.33	69.76	46.99	40.35	52.14	66.46	6
YGR118W	49.25	70.13	43.77	27.51	27.51	37.84	38.91	6
YLR287C-A	30.97	48.94	35.58	28.11	27.34	35.82	25.33	2
YDL075W	41.32	49.48	29.42	18.24	16.1	21.54	27.64	2
YBL092W	28.78	41.56	26.49	17	13.52	19.52	23.87	2
YLR061W	30.84	24.37	17.84	13.24	16.08	22.89	22.58	2
YOL127W	23.7	33.29	20.21	13.52	9.97	16.88	17.96	2
YLR325C	30.55	37.61	19.88	14.06	15.6	20.72	20.72	2
YOR234C	24.11	25.13	15.91	11.09	10.64	16.35	18.27	2
YJL136C	36.43	39.05	24.37	15.86	16.19	20.35	24.71	2
YKR057W	37.68	44.81	26.83	18.07	16.98	21.49	27.97	2
YPL143W	29.58	36.41	21.65	15.85	15.1	20.06	22.89	2
YDR064W	27.31	27.5	16.7	16.13	14.24	0	13.38	2
YKL056C	29.46	33.84	20.26	15.35	13.84	23.27	26.73	2
YGL103W	32.85	36.2	27.25	21.38	18.74	18.74	27.63	2
YNL301C	14.3	17.36	10.61	7.15	6.58	8.44	9.84	1
YIL133C	22.3	23.4	12.46	8.69	10.05	16.1	16.55	2
YBL002W	10.55	15.77	11.79	7.89	7.51	11.95	14.02	1
YCR031C	36.79	44.98	26.19	18.78	18.78	23.94	25.3	2
YHR010W	37.3	45.6	24.61	18.65	17.89	24.61	28.27	2
YGL030W	29.71	38.12	22.2	15.17	13.95	20.15	21.45	2
