R0	R10	R20	R30	R40	R60	R90	fit.cluster
YBR116C	0	0	0	0	0	0	0	4
YBR117C	0.35	0.34	0.35	0.57	0.65	0.35	0.31	4
YBR119W	1.26	1.39	1.26	1.29	1.18	1.16	1.51	4
YBR120C	1.61	2.79	3.02	2.74	1.48	1.5	1.33	4
YBR122C	1.57	2.76	2.78	2.32	2.04	1.68	1.42	4
YBR123C	0.77	0.78	0.77	0.79	0.8	0.64	0.77	4
YBR124W	0	0	0	0	0	0	0	4
YBR125C	0.84	0.92	0.84	0.84	0.97	0.88	0.82	4
YBR128C	0.77	0.9	0.82	0.84	0.59	0.76	0.81	4
YBR129C	0.98	1.49	1.46	1.38	1.45	1.26	1.15	4
YBR131W	0.44	0.25	0.29	0.31	0.39	0.36	0.43	4
YBR132C	0.55	1.27	1.41	1.36	1.06	0.69	0.23	4
YBR133C	1.37	1.06	1.1	1.12	1.34	0.92	1.38	4
YBR134W	0	0	0	0	0	0	0	4
YBR137W	1.28	2.62	2.99	3.51	3.92	2.97	2.3	4
YBR138C	0.37	0.42	0.38	0.5	0.46	0.21	0.4	4
YBR139W	0	0	0	0	0	0	0	4
YBR141C	0.65	0.39	0.31	0.45	0.49	0.68	0.66	4
YBR142W	1.77	0.69	0.62	0.59	0.75	1.06	1.32	4
YBR143C	9.46	7.27	4.73	4.18	5.21	7.96	7.85	1
YBR144C	0	0	0	0	0	0	0	4
YBR146W	1.55	2.3	2.5	2.55	2.29	1.67	1.21	4
YBR147W	0	0	0	0	0	0	0	4
YBR148W	0.65	0.6	0.57	0.74	0.6	0.59	0.62	4
YBR150C	0.63	0.74	0.76	0.77	0.71	0.53	0.54	4
YBR151W	2.05	3.28	3.44	3.74	3.59	3.02	2.4	4
YBR152W	0	0	0	0	0	0	0	4
YBR153W	0.91	0.81	0.68	0.68	0.8	1.11	0.89	4
YBR154C	4.79	3.63	2.3	2.5	2.59	3.84	3.84	4
YBR155W	1.26	0.46	0.46	0.48	0.62	1.06	1.18	4
YBR156C	0.84	0.66	0.58	0.54	0.66	0.62	0.74	4
YBR157C	0.71	0.92	0.78	0.88	0.96	0.71	0.86	4
YBR158W	2.81	1.88	1.77	2.29	2.7	3.06	2.33	4
YBR159W	4.56	5.17	4.44	4.28	4.66	4.96	4.75	4
YBR160W	1.53	1.96	2.16	1.81	2.13	1.92	1.87	4
YBR161W	0.61	0.62	0.72	0.59	0.61	0.59	0.61	4
YBR162W-A	0	0	0	0	0	0	0	4
YBR163W	0.89	0.68	0.61	0.61	0.73	0.87	0.89	4
YBR164C	2.04	2.88	2.56	1.98	2	2.28	2	4
YBR165W	1.21	0	0	0	0	0	0	4
YBR166C	1.04	0.99	0.94	0.89	1.09	1.56	1.15	4
YBR167C	0.84	0	0	0	0	0	0	4
YBR168W	0.46	0.63	0.75	0.67	0.86	0.65	0.58	4
YBR170C	0.84	1.57	2.27	1.99	2.4	1.9	1.32	4
YBR171W	2.68	3.51	3.87	3.46	4.06	4.97	3.76	4
YBR172C	1	0.58	0.47	0.55	0.68	0.75	0.78	4
YBR173C	2.51	5.7	7.57	5.9	6.96	7.36	4.03	1
YBR174C	0	0	0	0	0	0	0	4
YBR175W	0.98	1.41	1.52	1.4	1.49	1.55	1.08	4
YBR176W	0.61	0.81	0.76	0.68	0.82	0.81	0.88	4
YBR177C	2.05	3.52	3.5	3.06	3.2	2.08	2.29	4
YBR178W	0	0	0	0	0	0	0	4
YBR179C	0.84	0.97	1.25	1.03	1.33	0.91	1.03	4
YBR180W	0.35	0	0.29	0.33	0.35	0.38	0.15	4
YBR182C	0	0	0	0	0	0	0	4
YBR183W	1.58	5.59	5.91	6.69	3.02	3.79	1.72	4
YBR184W	0	0	0	0	0	0	0	4
YBR185C	2.17	3.95	4.29	4.17	3.25	2.71	2.48	4
YBR186W	0	0	0	0	0	0	0	4
YBR187W	3.99	3.19	2.11	1.83	2.2	2.7	3.15	4
YBR188C	0.98	1	0.86	0.83	0.94	0.98	0.94	4
YBR190W	0.81	0.83	0.71	0.55	0.47	0.59	0.53	4
YBR192W	0.96	0.95	1.04	1	1.1	0.92	0.93	4
YBR193C	0.65	0.74	0.77	0.77	0.7	0.8	0.74	4
YBR194W	0.61	0.76	0.82	0.88	0.83	0.84	0.75	4
YBR195C	0.67	0.57	0.56	0.63	0.6	0.79	0.78	4
YBR197C	0.6	0.5	0.48	0.53	0.49	0.68	0.64	4
YBR198C	1.06	0.74	0.72	0.79	1.08	0.87	1.05	4
YBR200W	0.73	0.66	0.66	0.66	0.84	0.73	0.77	4
YBR201W	1.07	0	0	0	0	0	0	4
YBR202W	0.76	0.42	0.43	0.4	0.59	0.4	0.41	4
YBR204C	0.6	1.17	1.35	1.25	1.38	1	0.77	4
YBR205W	1.35	1.54	1.45	1.39	1.5	1.7	1.45	4
YBR206W	2.65	3.01	2.58	2.41	3.01	2.81	2.94	4
YBR207W	1.62	2.03	1.84	1.83	2.02	1.98	2.02	4
YBR209W	0	0	0	0	0	0	0	4
YBR210W	1.6	1.96	1.52	1.54	1.67	1.67	1.45	4
YBR211C	1.26	1.48	1.43	1.21	1.02	1.2	1.3	4
YBR213W	1.14	0.93	0.86	1.05	0.63	0.85	0.82	4
YBR214W	1.44	3.71	4.14	3.78	2.91	2.39	1.85	4
YBR215W	1.59	1.22	1.37	1.22	1.18	1.22	1.58	4
YBR216C	1.06	1.01	1.11	1.03	1.33	0.91	1.1	4
YBR217W	2.05	2.01	1.88	1.7	1.37	1.76	1.85	4
YBR219C	1.16	0.95	0.86	0.84	0.9	1.11	1.21	4
YBR220C	1.23	0.95	0.7	0.82	1.09	1.19	0	4
YBR222C	0.97	1.36	1.65	2.34	0	1.7	2.44	4
YBR223C	2.97	0	0	2.73	2.22	0	0.86	4
YBR224W	0	0	0	0	0	0	0	4
YBR225W	1.05	1.14	1.21	1.2	1.28	1.07	1.11	4
YBR226C	0.9	0.86	0.89	1.14	0.6	0.53	0.55	4
YBR227C	0.54	0.54	0.56	0.5	0.45	0.47	0.55	4
YBR228W	0.9	1.03	0.86	0.91	0.99	0.78	0.93	4
YBR229C	0.95	0.83	0.95	1.21	1.34	0.89	0.99	4
YBR230C	2.16	12.39	14.94	17.89	14.73	4.03	3.03	1
YBR231C	0.67	0.99	0.92	1.14	1.25	1.12	1.03	4
YBR232C	0	0	0	0	0	0	0	4
YBR233W	0.36	0.41	0.49	0.49	0.61	0.61	0.61	4
YBR234C	3.47	5.33	5.11	5.18	5.11	4.45	3.3	4
YBR236C	1.12	1.14	1.07	1.05	1.2	1.01	1.17	4
YBR237W	0.55	0.41	0.51	0.44	0.47	0.37	0.52	4
YBR238C	0.9	0.2	0.14	0.14	0.18	1.02	0.44	4
YBR239C	0.32	0.23	0.25	0.23	0.27	0.27	0.29	4
YBR240C	0	0	0	0	0	0	0	4
YBR241C	0.68	1.16	1.5	2.45	2.21	1.67	1.13	4
YBR242W	1.64	1.2	0.82	0.95	1.01	1.31	1.65	4
YBR243C	1.16	1.32	1.15	1.26	1.43	1.42	1.68	4
YBR244W	2.44	13.22	10.89	8.2	7.75	6.34	3.93	1
YBR246W	1.66	1.31	1.18	1.2	1.4	1.74	1.48	4
YBR247C	1.21	0.32	0.25	0.27	0.39	0.65	0.9	4
YBR250W	0	0	0	0	0	0	0	4
YBR251W	0.65	1.06	0.99	1.01	0.88	0.63	0.59	4
YBR253W	0.99	1.42	1.1	1.19	1.16	1.15	1.14	4
YBR254C	1.34	1.62	1.14	1.21	1.33	1.45	1.48	4
YBR255W	0.51	0.56	0.62	0.55	0.66	0.52	0.54	4
YBR256C	2.18	5.23	5.6	4.95	4.81	3.7	3	4
YBR257W	1.02	0.91	0.88	0.88	0.93	1	0.98	4
YBR258C	0.72	0.79	0.74	0.66	0.73	0.77	0.61	4
YBR259W	0.7	0.64	0.67	0.64	0.78	0.83	0.99	4
YBR260C	0.61	0.66	0.83	0.76	1	0.87	0.62	4
YBR262C	1.99	3.17	3.04	3.21	2.7	2.8	2.08	4
YBR264C	0.97	1.21	1.12	1.02	1.01	1.14	1.09	4
YBR265W	0.97	1.03	0.95	0.97	1.14	1.16	1.08	4
YBR266C	0	0	0	0	0	0	0	4
YBR267W	1.15	0.38	0.28	0.42	0.47	1.13	1.02	4
YBR268W	1.41	2.5	2.85	2.6	2.46	2.03	1.38	4
YBR269C	0	0	0	0	0	0	0	4
YBR270C	0	0	0	0	0	0	0	4
YBR271W	0	0	0	0	0	0	0	4
YBR272C	0.8	1.01	1.06	0.94	1.01	1.03	0.96	4
YBR273C	1.45	2.41	3.02	2.53	2.58	2.39	1.97	4
YBR274W	0.97	0.86	1.02	1.01	1.19	1.19	1.14	4
YBR276C	1.2	0.8	0.84	0.79	1.07	1.2	1.27	4
YBR277C	0	0	0	0	0	0	0	4
YBR278W	0.91	1.15	1.07	0.93	0.99	1.01	1.06	4
YBR280C	0.42	0.71	0.95	1.12	0.89	0.47	0.44	4
YBR281C	1.01	0.92	1.06	0.96	0.92	0.95	0.95	4
YBR282W	2.04	3.6	3.85	3.7	3.05	2.26	1.74	4
YBR283C	4.1	3.9	3.9	4.21	4.64	4.21	3.64	4
YBR284W	0	0	0	0	0	0	0	4
YBR285W	0.84	1.4	2.64	6.41	1.92	2.16	1.27	4
YBR287W	3.35	6.2	6.51	7.08	5.67	8.18	4.24	1
YBR288C	1.1	1.18	1.09	1.01	1.1	1.03	1.03	4
YBR289W	0.88	0.81	0.9	0.82	0.93	0.79	0.87	4
YBR290W	0	0	0	0	0	0	0	4
YBR291C	2.33	1.82	1.33	1.43	1.5	1.5	1.66	4
YBR292C	0.72	0.59	0.48	0.61	0.69	0.76	0.76	4
YBR294W	0	0	0	0	0	0	0	4
YBR296C	0.9	0.39	0.33	0.47	0.62	0.86	0.34	4
YBR297W	0.29	0.71	0.82	0.61	0.37	0.26	0.27	4
YBR298C	0.36	0.68	0.7	0.5	0.36	0.23	0.28	4
YBR299W	0	0	0	0	0	0	0	4
YBR300C	0.26	0.18	0.15	0.18	0.16	0.21	0	4
YBR301W	0.42	0.4	0.42	0.44	0.47	0.59	0.53	4
YBR302C	1.73	2.43	2.35	2.24	2.38	2.45	2.24	4
YCL001W	1.56	3.54	1.99	1.44	1.44	1.04	2.07	4
YCL002C	1.29	1.18	0.98	0.9	0.92	1.14	1.12	4
YCL004W	0	0	0	0	0	0	0	4
YCL005W	0.76	0.74	0.66	0.65	0.62	0.78	0.74	4
YCL006C	0	0	0	0	0	0	0	4
YCL007C	0.67	0.87	0.72	0.64	0.6	0.75	0.62	4
YCL008C	0.71	0.73	0.78	0.81	0.85	0.78	0.62	4
YCL010C	0.99	1.03	1.09	1.12	1.16	0.89	0.96	4
YCL011C	4.42	6.56	5.36	4.3	3.93	3.77	5.11	1
YCL012W	0	0	0	0	0	0	0	4
YCL016C	0.65	0.86	0.7	0.74	0.77	0.71	0.93	4
YCL017C	1.34	1.44	1.34	1.34	1.68	1.38	1.64	4
YCL020W	0	0	0	0	0	0	0	4
YCL022C	0	0	0	0	0	0	0	4
YCL023C	0.48	0.38	0.34	0.36	0.37	0.3	0.31	4
YCL024W	0	0	0	0	0	0	0	4
YCL025C	1.81	2.48	2.64	2.6	2.56	1.97	2.1	4
YCL026C-B	0	0	0	0	0	0	0	4
YCL027W	0.73	0.72	0.84	0.85	0.77	0.65	0.91	4
YCL028W	2.26	2.68	2.56	2.27	2.57	2.52	2.59	4
YCL029C	0.74	0.45	0.46	0.48	0.51	0.61	0.62	4
YCL031C	2.48	1.94	1.62	1.46	1.49	1.84	1.85	4
YCL032W	1	1.17	1.24	1.11	1.03	0.96	1	4
YCL033C	1.49	2.78	2.84	2.9	2.7	2.37	2.4	4
YCL034W	1.46	2.85	2.95	2.95	2.45	1.6	2.06	4
YCL036W	1.88	0.68	0.79	0.96	0.81	1.22	1.6	4
YCL038C	0.8	1.09	0.99	1.59	1.54	1.74	1.41	4
YCL040W	2.72	27.88	39.7	49.21	34.08	16.23	7.68	2
YCL041C	0	0	0	0	0	0	0	4
YCL042W	0.76	4.51	6.66	5.33	6.61	3.28	1.77	4
YCL045C	1.89	1.64	1.5	1.55	1.64	1.1	1.64	4
YCL046W	0	0	0	0	0	0	0	4
YCL047C	0.71	0.78	0.66	0.64	0.75	0.89	1.11	4
YCL048W	0.91	1.15	0.84	0.95	0.69	0.84	0.76	4
YCL049C	0.53	0.71	0.75	0.9	1.13	1.55	0.95	4
YCL052C	0.78	1.17	1.49	1.29	1.25	1.06	0.96	4
YCL054W	2.01	0.54	0.36	0.54	0.64	1.11	1.49	4
YCL055W	1.1	1.43	1.67	1.68	1.88	1.8	1.67	4
YCL056C	1.67	2.57	3.12	3.03	3.36	2.79	2.1	4
YCL058C	1.81	2.06	1.54	1.9	1.57	2.09	2.13	4
YCL059C	2.71	1.3	0.46	0.38	0.51	1.68	2.33	4
YCL061C	0.9	0.64	0.56	0.64	0.65	0.64	0.65	4
YCL063W	0.6	0.33	0.34	0.31	0.39	0.33	0.4	4
YCL064C	4.83	7.9	11.17	10.28	10.35	7.12	5.32	1
YCL065W	0	0	0	0	0	0	0	4
YCL066W	0	0	0	0	0	0	0	4
YCL067C	1.62	1.62	1.81	1.91	2.12	2.41	1.51	4
YCL068C	0.25	0.26	0.3	0.26	0.33	0.24	0.21	4
YCL069W	0	0	0	0	0	0	0	4
YCL073C	0.94	1.16	1.22	1.11	1.09	0	0.85	4
YCL074W	0	0	0	0	0	0	0	4
YCL075W	0	0	0	0	0	0	0	4
YCL076W	0	0	0	0	0	0	0	4
YCR001W	0	0	0	0	0	0	0	4
YCR002C	1.72	2.21	2.05	1.72	2.11	2.18	2.14	4
YCR003W	1.24	2.03	2.4	1.95	1.75	1.38	1.12	4
YCR005C	1.55	2.54	5.36	5.32	5.25	8.77	2.02	4
YCR006C	0.46	0.35	0.39	0.28	0.41	0.43	0	4
YCR007C	0.41	0.28	0.56	0.58	0.5	0.84	0.47	4
YCR008W	1.02	0.88	1	0.94	1.16	1.14	1.07	4
YCR009C	2.7	3.53	3.98	3.34	2.85	3.49	2.89	4
YCR010C	0	0	0	0	0	0	0	4
YCR013C	26.31	54.1	54.86	59.61	58.79	74.93	42.45	6
YCR014C	0.83	0.57	0.63	0.64	0.63	0.61	0.78	4
YCR015C	0.96	0.82	0.95	1.04	0.7	1.14	0.99	4
YCR016W	2.5	1.07	0.65	0.72	0.95	1.5	1.9	4
YCR017C	3.63	4.38	4.15	4.03	3.41	2.7	3.1	4
YCR018C	1.11	0.85	1.03	0.9	0.98	0.99	0.8	4
YCR019W	0.44	0.47	0.5	0.55	0.37	0.53	0.5	4
YCR020C	1.03	1.08	0.87	0.86	1.03	1.05	0.98	4
YCR020C-A	2.81	2.75	2.53	2.89	2.25	3.48	3.76	4
YCR021C	4.03	18.01	7.02	3.3	2.87	35.04	4.38	1
YCR022C	0	0	0	0	0	0	0	4
YCR023C	1.06	0.99	0.97	0.99	1.09	1.01	1.24	4
YCR024C	0.56	0.95	1.05	0.89	1.07	0.69	0.69	4
YCR024C-A	2.54	1.77	1.64	1.46	1.67	2.13	1.9	4
YCR025C	0	0	0	0	0	0	0	4
YCR026C	1.67	1.39	1.36	1.58	1.7	1.86	1.76	4
YCR027C	0.5	0.52	0.52	0.5	0.48	0.53	0.44	4
YCR028C	1.69	1.61	0.97	1.39	1.24	1.85	0.76	4
YCR028C-A	0	0	0	0	0	0	0	4
YCR030C	1	1.32	1.62	1.77	1.68	0.88	1.07	4
YCR032W	0.8	0.8	0.79	0.73	0.76	0.75	0.65	4
YCR034W	4.01	3.37	2.21	2.05	2.45	2.93	3.56	4
YCR035C	1.8	1.28	0.99	1.13	1.3	1.75	2.07	4
YCR036W	1.4	2.61	2.96	3.11	2.96	2.88	2.32	4
YCR037C	1.4	0.95	1.33	1.5	1.59	1.26	1.59	4
YCR038C	0.19	0.22	0.21	0.22	0.22	0.16	0.2	4
YCR039C	1.83	1.86	1.75	1.97	2.11	2.36	2.6	4
YCR040W	0	0	0	0	0	0	0	4
YCR041W	0	0	0	0	0	0	0	4
YCR042C	0.75	0.61	0.58	0.57	0.71	0.46	0.65	4
YCR043C	2.21	2.43	1.79	1.77	1.9	1.77	2.15	4
YCR044C	0.85	1.05	0.98	0.97	0.97	0.84	0.75	4
YCR045C	0	0	0	0	0	0	0	4
YCR046C	0.97	1.81	2.1	2.13	2.1	1.57	1.15	4
YCR047C	1.62	1.1	1.11	1.36	1.17	2.38	2.48	4
YCR048W	0.87	0.76	0.58	0.68	0.61	0.77	0.94	4
YCR049C	0	0	0	0	0	0	0	4
YCR050C	0	0	0	0	0	0	0	4
YCR052W	1.42	1.28	1.21	1.18	1.33	1.2	1.42	4
YCR054C	0.39	0.23	0.21	0.23	0.26	0.31	0.36	4
YCR059C	1.36	1.03	0.65	0.84	0.89	1.83	1.6	4
YCR061W	0	0	0	0	0	0	0	4
YCR062W	0	0	0	0	0	0	0	4
YCR063W	0.49	0.32	0.27	0.37	0.39	0.51	0.37	4
YCR064C	0	0	0	0	0	0	0	4
YCR065W	0.77	0.46	0.53	0.6	0.73	0.51	0.79	4
YCR066W	0.95	0.95	1.22	1.05	1.19	1.08	0.92	4
YCR067C	0.99	1.05	1.13	1.21	1.19	0.9	0.86	4
YCR068W	0.26	0.19	0.27	0.35	0.37	0.29	0.32	4
YCR069W	1.11	1.55	1.52	1.55	1.61	1.42	1.25	4
YCR071C	0.94	1.47	1.46	1.46	1.46	1.23	0.92	4
YCR072C	1.27	0.38	0.24	0.46	0.47	0.93	0.96	4
YCR075C	0.69	1.11	1.11	1.07	1.12	0.77	0.8	4
YCR076C	0.98	1.89	1.91	1.71	1.89	1.78	1.46	4
YCR077C	1.41	0.92	0.97	1.1	1.19	1.38	1.25	4
YCR079W	0.81	1.19	1.37	1.22	1.34	1.13	0.98	4
YCR081W	0.72	0.76	0.77	0.76	0.74	0.8	0.72	4
YCR082W	3	5.47	6.33	6.33	7.43	6.74	4.57	1
YCR083W	0	0	0	0	0	0	0	4
YCR085W	0	0	0	0	0	0	0	4
YCR086W	0.65	0.75	0.83	0.79	0.73	0.72	0.8	4
YCR087W	1.13	0.92	0.57	0.57	0.59	0.75	0.98	4
YCR089W	0.67	0.7	0.73	0.67	0.63	0.61	0.83	4
YCR090C	2.51	3.31	2.56	2.63	2.36	2.61	2.46	4
YCR091W	0.22	0.39	0.61	0.5	0.32	0.2	0.24	4
YCR092C	0.58	0.5	0.51	0.58	0.64	0.43	0.57	4
YCR094W	0.77	0.57	0.59	0.59	0.7	0.6	0.81	4
YCR095C	0.84	0.77	0.77	0.7	0.72	0.77	0.78	4
YCR096C	1.61	1.61	1.79	1.73	2.1	2.33	2.19	4
YCR098C	0.21	0.17	0.27	0.41	0.65	0.82	0.28	4
YCR099C	0.53	0.39	0.44	0.44	0.46	0.4	0.41	4
YCR100C	0	0	0	0	0	0	0	4
YCR101C	0	0	0	0	0	0	0	4
YCR102C	0.44	2.42	2.54	1.97	2.11	2.74	3.77	4
YCR103C	0	0	0	0	0	0	0	4
YCR104W	1.96	1.9	1.82	2.05	2.11	2.23	2.13	4
YCR105W	0.28	0.27	0.35	0.46	0.42	0.4	0.36	4
YCR106W	0	0	0	0	0	0	0	4
YCR107W	0	0	0	0	0	0	0	4
YDL001W	0.82	0.61	0.58	0.57	0.62	0.58	0.7	4
YDL002C	1.61	1.53	1.42	1.22	1.3	1.3	1.38	4
YDL003W	1.21	0.74	0.59	0.51	0.82	0.55	1.24	4
YDL005C	1.25	1.02	0.99	0.8	1.07	0.69	1.05	4
YDL006W	0.89	1.12	0.89	0.89	0.83	0.89	0.89	4
YDL007W	3.78	7.3	9.37	8.33	9.24	8.33	5.35	1
YDL008W	1.65	2.26	1.89	1.88	1.97	2.46	1.83	4
YDL009C	1.01	1.49	1.54	1.19	1.19	1.02	0.95	4
YDL010W	1.31	1.9	1.95	1.69	1.55	1.21	1.31	4
YDL011C	1.03	1.27	1.22	1.18	1.07	0.91	0.81	4
YDL012C	2.09	2.3	1.67	1.55	1.73	2.21	2.4	4
YDL013W	1.31	0.87	0.98	0.98	1.05	0.94	1.28	4
YDL014W	11.29	8.68	3.97	3.05	4.62	8.27	10.76	1
YDL015C	3.92	3.76	3.3	3.68	3.76	3.95	3.76	4
YDL016C	5.74	6.59	4.89	5.5	4.99	5.46	5.39	1
YDL017W	0.37	0.3	0.27	0.27	0.33	0.39	0.36	4
YDL018C	1.26	2.13	2.23	2.04	1.96	1.18	1.29	4
YDL019C	1.2	1.59	1.88	1.63	1.61	0.77	0.84	4
YDL020C	1.11	3.17	2.98	2.86	2.65	1.64	2.4	4
YDL021W	0.32	0.83	0.69	1.52	2.09	1.23	0.86	4
YDL022W	5.77	17.85	17.97	17.24	12.71	5.65	7.1	1
YDL023C	0	0	0	0	0	0	0	4
YDL024C	0.69	0.6	0.7	1.32	1.42	1.34	1.03	4
YDL025C	0.53	1.04	1.11	1.29	1.24	0.65	0.69	4
YDL026W	0	0	0	0	0	0	0	4
YDL027C	0.89	1.65	2.29	1.46	2.12	1.81	1.46	4
YDL028C	2.2	2.5	2.76	2.42	2.72	2.2	2.2	4
YDL030W	1.43	1.55	1.74	1.46	1.62	1.36	1.49	4
YDL031W	1.93	0.75	0.62	0.67	0.73	1.33	1.4	4
YDL032W	0	0	0	0	0	0	0	4
YDL034W	0	0	0	0	0	0	0	4
YDL036C	1.32	0	1.9	1.3	1.64	0	1.05	4
YDL037C	0	0	0	0	0	0	0	4
YDL038C	1.47	0.48	0.29	0.4	0.35	1.95	0.47	4
YDL039C	2.22	0.75	0.38	0.44	0.47	3.03	0.93	4
YDL041W	0.94	0.58	0.58	0.56	0.68	0.63	0.91	4
YDL043C	0.97	0.81	0.78	0.77	0.8	0.88	0.78	4
YDL044C	1.1	1.2	1.32	1.28	1.12	1.05	1	4
YDL045C	0.86	1.24	1.21	1.15	1.11	1.23	0.93	4
YDL045W-A	0	0	0	0	0	0	0	4
YDL047W	1.34	1.13	1.11	0.96	1.32	1.8	1.19	4
YDL048C	1.23	1.18	0.8	0	0.68	3.01	0.52	4
YDL049C	0	0	0	0	0	0	0	4
YDL050C	2.35	1.55	1.2	0.87	1.27	1.91	2.25	4
YDL052C	2.05	2.49	2.82	2.63	2.8	2.32	2.51	4
YDL053C	2	2.09	1.95	1.91	2.46	2.14	2.08	4
YDL054C	1.39	1.72	2.02	2	1.79	1.89	1.63	4
YDL056W	1.14	1.43	1.37	1.1	1.15	0.93	1.12	4
YDL057W	0.67	0.63	0.84	0.83	0.95	1.18	0.87	4
YDL059C	0.62	0.89	0.93	0.96	1	0.83	0.6	4
YDL061C	18.54	24.46	15.06	9.27	9.08	15.91	13.02	2
YDL062W	0	0	0	0	0	0	0	4
YDL063C	1.67	0.42	0.38	0.35	0.4	1.15	0.92	4
YDL064W	2.77	3.14	2.79	2.5	2.45	3.18	2.75	4
YDL067C	3.72	5.99	4.45	3.49	3.74	3.69	3.23	4
YDL068W	0	0	0	0	0	0	0	4
YDL069C	1.41	1.68	1.42	1.13	1.65	1.48	1.35	4
YDL070W	4.15	4.12	5.32	4.7	4.9	6.2	4.7	1
YDL071C	0	0	0	0	0	0	0	4
YDL072C	3.87	9.53	11.57	10.57	9.93	10.65	5.95	1
YDL074C	1.84	1.61	1.41	1.01	1.31	0.98	1.37	4
YDL076C	1.21	1.77	1.6	1.51	1.27	1.34	1.32	4
YDL079C	0.93	2.23	1.36	1.27	1.15	0	0.54	4
YDL080C	1.43	1.59	1.6	1.43	1.21	1.59	1.51	4
YDL084W	6.75	7.75	6.43	5.11	5.48	5.67	6.7	1
YDL085W	0	0	0	0	0	0	0	4
YDL087C	0	0	0	0	0	0	0	4
YDL088C	1	1.05	1.01	0.82	1.08	0.91	0.8	4
YDL089W	1.37	1.73	1.62	2.14	2.15	1.15	1.43	4
YDL090C	0.76	0.8	0.84	0.78	0.85	0.7	0.73	4
YDL091C	0.84	1.24	1.35	1.37	1.37	1.12	0.81	4
YDL092W	3.89	6.02	4.59	4.22	4.34	4.05	3.91	4
YDL093W	1.38	0.88	0.93	1.12	0.91	0.86	1.19	4
YDL094C	0.98	1.05	0.9	1.07	1.11	1.25	1.13	4
YDL095W	2.62	1.8	2.14	2.84	3.43	3.01	3.24	4
YDL096C	0	0	0	0	0	0	0	4
YDL097C	2.74	5.34	5.53	5.8	6.13	4.91	3.07	1
YDL098C	0.86	1.07	1.11	1.07	1.02	1.05	1.07	4
YDL099W	1.13	1.11	1.25	1.29	1.47	1.05	1.25	4
YDL100C	5.03	7.21	8.76	7.95	9.65	9.99	7.89	1
YDL101C	0.66	0.68	0.72	0.67	0.7	0.49	0.73	4
YDL104C	0	0	0	0	0	0	0	4
YDL105W	1.03	0.76	0.75	0.8	0.75	0.59	0	4
YDL106C	0	0	0	0	0	0	0	4
YDL107W	0.66	0.97	0.88	0.99	0.73	0.66	0	4
YDL108W	0	0	0	0	0	0	0	4
YDL111C	1.87	1.3	1.06	1.11	1.43	2.12	1.71	4
YDL113C	1.38	1.81	1.6	1.72	1.39	1.13	0.97	4
YDL114W	0	0	0	0	0	0	0	4
YDL115C	0.86	1.3	1.35	1.2	1.2	1.13	0	4
YDL116W	0.97	1.43	1.1	0.93	0.88	0	0	4
YDL117W	0.55	0.39	0.45	0.42	0.47	0	0	4
YDL118W	0	0	0	0	0	0	0	4
YDL119C	0.89	1.14	1.33	1.32	1.33	0	0	4
YDL120W	1.34	2.05	1.66	1.62	0	0	0	4
YDL122W	2.3	1.58	1.64	1.45	2.03	2.32	2.19	4
YDL123W	0.94	0.99	1.05	1.14	1.2	1.55	1.04	4
YDL127W	0.68	0.48	0.55	0.69	1.13	0.9	0.81	4
YDL128W	2.1	2.38	2.59	3.23	3.56	3.39	2.25	4
YDL129W	0.56	0.17	0.12	0.22	0.13	0.25	0.29	4
YDL130W	0	0	0	0	0	0	0	4
YDL131W	0	0	0	0	0	0	0	4
YDL133W	0.95	1.19	1.36	1.24	1.34	0.93	0.91	4
YDL134C	1.62	2.45	2.54	2.1	2.42	2	1.79	4
YDL135C	2.05	2.82	2.52	2.28	2.28	2.34	2.21	4
YDL137W	9.22	17.08	18.69	17.68	19.48	23.01	18.56	2
YDL138W	1.25	0.89	1.23	1.16	1.11	0.93	0.91	4
YDL139C	0.43	0.36	0.38	0.39	0.41	0.35	0.44	4
YDL141W	0.81	0.58	0.65	0.66	0.72	0.66	0.75	4
YDL142C	1.21	2.13	2.25	1.88	1.85	1.72	1.47	4
YDL144C	1.98	2.86	3.28	3.22	3.19	3.7	2.06	4
YDL146W	0.55	0.85	0.97	0.86	0.69	0.79	0.62	4
YDL147W	4.45	7.38	8.02	8.54	7.91	7.91	5.63	1
YDL148C	1.68	0.37	0.25	0.2	0.44	0.67	1.04	4
YDL149W	0.6	0.64	0.75	0.75	0.83	0.58	0.51	4
YDL150W	0.99	0.44	0.33	0.35	0.48	0.65	0.74	4
YDL151C	0	0	0	0	0	0	0	4
YDL152W	0.87	0.29	0.23	0.2	0.28	0.42	0.56	4
YDL154W	0.59	0.45	0.55	0.48	0.35	0.42	0.45	4
YDL155W	1.01	0.99	0.88	0.86	0.92	0.7	1.01	4
YDL156W	0.44	0.31	0.34	0.35	0.32	0.28	0.4	4
YDL157C	4.15	5.99	4.35	3.76	4.51	5.55	5.55	1
YDL158C	1.35	1.58	1.45	1.32	1.34	1.46	1.43	4
YDL159W	0.55	0.55	0.47	0.46	0.54	0.58	0.55	4
YDL161W	0	0	0	0	0	0	0	4
YDL162C	0	0	0	0	0	0	0	4
YDL163W	0	0	0	0	0	0	0	4
YDL164C	0.9	0.7	0.69	0.69	0.8	0.76	0.86	4
YDL165W	1.69	2.25	1.96	1.84	2.18	2.25	2.08	4
