"sodiumchloride$YORF"	"P0"	"P30"	"P60"	"P90"	"P120"	"P240"
"66"	"YCR052W"	2474.93209	2908.767943	2664.153363	2482.770632	2367.860888	2119.341073
"67"	"YCR053W"	26000.37041	24827.67811	26821.86501	26893.94287	27132.4958	26576.52469
"68"	"YCR057C"	16650.55818	14435.79098	14767.35138	14359.46632	14429.5901	13218.09142
"69"	"YCR060W"	1655.885285	1888.248177	1644.80331	1540.574126	1472.496609	1258.797111
"70"	"YCR087C-A"	3432.581433	3822.942825	3529.535077	3189.101519	3019.189568	3099.933517
"71"	"YCR093W"	4297.641365	3708.156035	4482.557882	4346.315129	4145.685215	4013.884451
"72"	"YDL040C"	7597.549342	7542.173991	7930.438964	7826.544826	7690.013886	7971.866537
"73"	"YDL058W"	2325.226499	2459.771362	2539.058224	2621.782873	2581.492259	2551.117631
"74"	"YDL060W"	1390.900226	1206.329656	1353.780325	1283.114267	1253.734819	1206.414916
"75"	"YDL061C"	5413.932878	5346.004144	5082.044223	5132.524264	5161.420312	5077.074888
"76"	"YDL063C"	2595.30427	2331.876117	2292.649216	2343.386093	2219.052464	2398.781012
"77"	"YDL064W"	2595.30427	2069.651188	2696.774802	2790.186371	2571.613618	2215.216001
"78"	"YDL065C"	5347.390686	4497.8631	4625.083096	5098.421485	4409.512354	3220.764961
"79"	"YDL078C"	3302.381076	3332.25685	3467.441976	3504.301895	3493.031742	3700.89234
"80"	"YDL082W"	133101.1188	177312.0784	134303.7189	157048.4863	101540.8401	132203.2568
"81"	"YDL084W"	51687.41119	49058.48589	49459.92501	49394.27623	50129.2188	50706.28144
"82"	"YDL092W"	7995.645699	8200.604627	8261.549579	8396.770483	8413.845713	7811.150842
"83"	"YDL095W"	41519.73472	38365.30783	40697.71441	40014.32028	41203.44657	39630.43809
"84"	"YDL099W"	5215.074324	5333.655138	5777.929145	5561.492626	5232.793335	4705.749797
"85"	"YDL100C"	17332.20464	16493.55506	17287.92345	17015.22534	16465.33158	15502.47926
"86"	"YDL112W"	861.1434607	810.2343383	812.1030029	802.3575566	789.51751	807.6033841
"87"	"YDL121C"	3258.69488	3263.738957	3047.378171	2879.110294	2795.282156	2319.532437
"88"	"YDL122W"	8965.919913	8790.093375	9105.07631	8925.529007	8501.877013	8952.554345
"89"	"YDL130W"	22448.48709	20085.68377	19288.11754	20384.96953	20828.36597	21448.06008
"90"	"YDL141W"	1972.867337	2233.7544	2273.118494	1955.899039	2005.414236	1712.279431
"91"	"YDL143W"	5534.976502	5734.658534	5633.759445	5464.627944	5268.775161	5345.210953
"92"	"YDL171C"	18915.44259	19647.12295	18341.57154	18564.69756	19654.20283	22256.00803
"93"	"YDL192W"	19342.62189	16270.27329	17798.69798	16367.16521	17115.44956	18239.93647
"94"	"YDL201W"	2630	2742.870327	2742.529402	2310.741744	2430.395956	2265.173991
"95"	"YDL205C"	8480.520214	8005.684622	8356.466646	6444.785259	6554.193351	8151.729664
"96"	"YDL213C"	8965.919913	8452.101403	8111.086336	7971.607266	7897.130332	6991.720347
"97"	"YDL229W"	170038.6345	148884.5483	152475.7537	151566.3144	156262.7643	150394.2513
"98"	"YDR033W"	182461.9225	195777.2562	178858.0446	197089.5611	225034.4211	253580.3423
"99"	"YDR060W"	15024.36161	16021.02909	14152.75118	14284.21278	13869.3519	13622.72712
"100"	"YDR071C"	8681.521714	9238.508147	9193.200134	9223.50467	8945.270924	9514.866393
"101"	"YDR083W"	2779.050022	2733.417053	2553.264932	2542.68103	2619.640553	2409.582221
"102"	"YDR087C"	6964.269049	5927.044748	6215.402353	6326.214553	6019.213327	6712.238268
"103"	"YDR089W"	172.1478324	155.904854	150.7686304	141.929448	135.4595908	146.1120017
"104"	"YDR091C"	6278.43555	5751.529166	6048.954527	6175.628167	6207.292037	6202.697017
"105"	"YDR097C"	5325.266696	4876.972457	5304.672014	5569.500762	5434.34253	5175.422942
"106"	"YDR101C"	45117.53069	44621.38768	42944.03075	40312.05114	40502.04339	37740.09686
"107"	"YDR120C"	15545.46074	14915.50667	14607.89799	14578.76813	13920.54315	13852.01162
"108"	"YDR152W"	10293.73198	6409.341097	8751.659992	9911.232929	8702.653884	7804.777275
"109"	"YDR165W"	5909.607347	5302.358151	5308.493643	5142.105088	5064.742985	4534.427879
"110"	"YDR170C"	3671.414453	3562.74378	3649.934129	3622.743685	3732.602321	3645.561469
"111"	"YDR190C"	11620.56742	12025.0514	11823.25802	11420.6346	11254.80528	11034.16214
"112"	"YDR194C"	10293.73198	9531.000037	10171.49944	9452.934663	7940.563836	10116.14616
"113"	"YDR211W"	33849.16986	32607.78837	31947.41166	31834.39263	31380.40621	31288.90619
"114"	"YDR214W"	13939.2416	14596.15149	14230.85064	12887.00228	12996.79406	11320.31189
"115"	"YDR233C"	37104.80191	38112.76013	37558.66248	36835.88562	38209.29905	37723.08372
"116"	"YDR234W"	7351.961801	6967.214758	7526.390856	7234.522134	7317.765116	8141.791555
"117"	"YDR264C"	4071.946074	3998.089378	4235.866332	3907.096441	3968.783197	3773.75734
"118"	"YDR292C"	1997.652247	1964.324049	1878.256659	2034.882861	1776.164845	1842.814524
"119"	"YDR299W"	15422.35445	15719.08088	14554.019	13268.55705	13035.76485	12645.57509
"120"	"YDR300C"	10429.60478	10252.66456	10101.40155	9644.622582	9163.147284	8838.552263
"121"	"YDR303C"	1753.188162	1883.168107	1953.230226	1713.185897	1663.899963	1695.128623
"122"	"YDR345C"	37205.71654	32665.8723	32537.1828	36764.51199	34498.51269	34734.39871
"123"	"YDR346C"	45224.74275	44333.50083	42568.97392	39390.51334	38922.12504	35696.75239
"124"	"YDR361C"	4590.281414	4610.571162	4549.813858	4445.352768	4234.060457	4385.017823
"125"	"YDR365C"	655.8032162	638.8292439	631.8305559	589.1772856	618.3619729	663.9164452
"126"	"YDR395W"	16290.42639	17126.03004	17624.66615	16079.07236	16365.84264	16098.79918
"127"	"YDR399W"	36501.10171	36790.57756	35250.98736	33393.73104	32729.47371	32238.81793
"128"	"YDR408C"	3910.193747	3937.040932	3488.47019	3669.094138	3641.859823	3149.023496
"129"	"YDR412W"	2948.573282	2797.375658	3183.448662	3054.65543	2872.321262	2743.355507
"130"	"YDR449C"	7523.610749	8891.205641	6716.496778	7643.84409	7079.037776	5875.353588
"131"	"YDR454C"	20507.28269	19502.29945	19442.3469	19937.0249	19598.18238	18936.37701
"132"	"YDR457W"	357.9774132	372.2515964	340.117026	405.8576741	346.8365785	352.6593179
"133"	"YDR465C"	1603.793112	1408.653394	1498.401879	1351.249324	1340.108948	1175.514109
"134"	"YDR481C"	3060.232559	2481.679216	2838.340362	2744.513895	2830.263865	2632.118722
"135"	"YDR483W"	13025.29661	11817.35639	12183.35691	12799.25208	13136.97588	13807.47444
"136"	"YDR493W"	279.4032574	342.2865829	311.3442545	280.4190406	237.5859877	227.1902635
"137"	"YDR500C"	19673.22572	19067.14901	17616.37031	16278.185	16875.31865	15017.01287
"138"	"YDR519W"	5402.824813	5554.136441	5705.709647	5812.131576	5798.706975	5490.549873
"139"	"YDR527W"	688.3516602	794.0575604	1041.719198	775.9119776	808.2918506	569.5569386
"140"	"YEL001C"	7108.890555	7283.027893	7553.313387	7812.024209	7860.286871	8045.02564
"141"	"YEL003W"	1655.885285	1679.166934	1708.427512	1649.831505	1680.73785	1601.309076
"142"	"YEL015W"	2343.073302	2537.30978	2578.424104	2557.311075	2482.589426	2262.846959
"143"	"YEL031W"	1872.926488	1847.339953	1896.841588	1905.533654	1857.686773	1796.816966
"144"	"YEL032W"	35099.97731	33034.97641	32167.74559	29135.53567	32526.98242	30077.40704
"145"	"YEL042W"	8681.521714	7168.803126	8038.493226	7757.676712	7667.191911	7335.641633
"146"	"YEL046C"	106018.1917	101011.6064	102995.0147	103140.9493	100876.1679	97264.35536
"147"	"YEL054C"	68483.79893	65425.52086	61100.79953	61770.99836	61965.17637	63500.5321
"148"	"YER002W"	2864.127232	2642.707291	2728.770607	2627.06513	2466.520581	2436.464661
"149"	"YER006W"	7133.083532	6982.44724	6620.151031	6458.864906	6291.725668	6045.349935
"150"	"YER007C-A"	4215.134277	4065.191672	4087.948554	4274.990488	3961.808962	3888.658391
"151"	"YER023W"	43518.85645	41989.4182	43300.51465	41721.42355	43087.24344	40465.26414
"152"	"YER036C"	17635.79701	17222.76977	16540.50555	16607.75961	16467.76089	17646.65299
"153"	"YER042W"	3071.341699	3040.785365	2748.380917	2678.630415	2481.59309	2190.296276
"154"	"YER049W"	8914.000141	8683.444682	8517.258673	8011.33094	7956.342852	7971.90816
"155"	"YER073W"	23316.87153	22099.5461	23714.49445	23255.25169	23166.59759	23581.29267
"156"	"YER082C"	5795.776334	6088.110763	4038.238045	5043.586492	4750.066945	4627.549422
"157"	"YER086W"	11874.83906	11267.96264	11589.46385	11791.93323	11697.31861	12259.04331
"158"	"YER089C"	12618.89407	13900.76476	12642.08716	13122.60915	13352.83855	12923.31679
"159"	"YER091C"	263886.2349	246630.1392	236964.0482	245020.4965	235516.3021	208317.1618
"160"	"YER099C"	8121.336004	8066.991302	8873.397741	7867.35667	7914.922885	7525.284557
"161"	"YER102W"	14388.30966	13553.74526	13417.13528	13357.40604	13717.11572	13828.31381
"162"	"YER110C"	38300.98543	34437.92443	34886.2718	34184.28002	33410.70085	34079.87741
"163"	"YER112W"	3443.374934	3574.397686	3212.47847	3480.605682	3786.255299	3646.934278
"164"	"YER114C"	688.3516602	1396.988296	617.6847303	541.3336308	397.8290824	466.2868481
"165"	"YER120W"	3497.215661	3487.76642	3608.785082	3541.478141	3560.130103	3351.803728
"166"	"YER126C"	8655.808529	7447.319503	6712.633213	6203.779703	5947.941678	6554.104785
"167"	"YER127W"	1431.411266	1799.803062	1855.752082	2147.495216	1728.497458	2343.901342
"168"	"YER131W"	503125.4583	502288.5284	437210.7838	378433.0187	339185.2942	302936.1533
"169"	"YER151C"	2205.345518	2142.621832	2196.056881	2186.182952	2317.725778	2141.484051
"170"	"YER155C"	1232.71254	1221.798223	1315.657982	1402.849796	1339.999209	1304.853996
