"sodiumchloride$YORF"	"P0"	"P30"	"P60"	"P90"	"P120"	"P240"
"282"	"YHR188C"	1681.776763	1580.337076	1583.485341	1600.431666	1641.694037	1693.357516
"283"	"YHR196W"	20005.56015	19796.48151	17456.69673	20495.22592	19513.71824	20968.62329
"284"	"YHR197W"	7820.703709	6389.835699	5674.354017	6042.268143	5585.430976	6197.635955
"285"	"YHR201C"	3170.875939	2836.85592	3160.033305	2941.187074	2944.012683	2861.238912
"286"	"YHR205W"	3850.062764	3881.269028	3856.980319	3671.386619	3645.864165	3718.090468
"287"	"YHR208W"	87301.77443	86750.52683	86559.05746	92420.61761	88273.15379	91900.71728
"288"	"YHR215W"	3291.473224	2883.33692	2098.368004	2120.093535	2105.88269	1678.738469
"289"	"YHR216W"	7870.564691	8799.706378	7255.489067	7594.204342	7267.807477	8364.127494
"290"	"YIL009W"	6441.958021	6803.37735	6097.193768	6653.346239	6388.32118	6568.542219
"291"	"YIL015W"	672.1270088	602.5299068	648.8989853	589.9089284	678.9240677	664.779991
"292"	"YIL035C"	7181.545814	8059.115257	7731.793333	7418.811262	7503.986752	6958.406618
"293"	"YIL039W"	1069.225892	1264.849062	983.7515189	1058.542325	1082.909003	1134.384641
"294"	"YIL044C"	5347.390686	5395.796441	5725.087773	5622.439118	5610.243905	5649.793148
"295"	"YIL051C"	168102.0218	166192.1463	153824.9985	150366.4745	147683.4086	142068.9405
"296"	"YIL052C"	21012.83814	21351.67078	17759.27952	18267.19497	18492.04938	19861.34808
"297"	"YIL069C"	6162.434602	5896.9245	5553.066462	5700.627709	5725.399173	5892.590841
"298"	"YIL094C"	19079.39238	18161.35451	19489.20068	20262.60571	20215.60139	18508.89288
"299"	"YIL115C"	1225.722176	1325.619169	1306.026231	1124.391389	1063.241959	1087.133067
"300"	"YIL118W"	5909.607347	5719.061616	6226.65839	6062.044679	5918.896376	6377.150727
"301"	"YIL126W"	1985.269522	1983.877711	2966.930331	3162.490207	3326.206856	3016.915665
"302"	"YIL130W"	395.6283435	577.3875954	499.3785036	438.7100192	475.9311412	416.3366587
"303"	"YIL133C"	43307.05407	42115.61002	41773.30819	41213.24661	40911.3843	40505.3573
"304"	"YIL145C"	2402.318293	1862.822561	2022.78801	2111.845666	1804.309567	1901.988374
"305"	"YIR004W"	8965.919913	8979.253826	9380.753267	8880.977473	8690.274564	8893.84894
"306"	"YIR026C"	7572.878254	7657.103006	6415.498523	7486.763437	6073.48414	5591.042978
"307"	"YJL001W"	7254.42956	6670.975862	6319.47785	5387.055757	5221.63378	5407.333501
"308"	"YJL002C"	11889.01519	10945.51012	12059.39978	12117.94805	12370.92757	11229.31691
"309"	"YJL033W"	7895.531974	6362.630087	8009.485153	6112.548925	7145.144649	7007.984741
"310"	"YJL034W"	336941.8927	331735.4622	324340.2395	315579.2809	308504.6094	287557.6996
"311"	"YJL041W"	2396.410458	2219.387723	2390.007061	2347.475177	2364.455066	2161.792297
"312"	"YJL050W"	12503.51456	12116.71445	11663.74495	11567.62096	10792.80052	10475.78553
"313"	"YJL061W"	9470.962692	12959.18874	17225.29387	13326.987	17742.79483	11511.64746
"314"	"YJL074C"	2664.580961	3244.292368	1842.782002	2471.797593	2833.82126	2692.7996
"315"	"YJL076W"	1590.703824	1618.796899	1732.152094	1819.616976	1807.661368	1729.448645
"316"	"YJL087C"	3111.27159	2610.337575	3141.411792	3050.835899	2858.700065	2821.401981
"317"	"YJL109C"	18231.66612	17284.07003	17622.98336	17774.11948	17115.37354	16370.33149
"318"	"YJL115W"	6231.95475	6841.649666	6492.201239	7414.985906	7222.959868	6949.276468
"319"	"YJL121C"	3313.279871	3241.131739	2775.208528	2855.583426	2816.721401	3001.530782
"320"	"YJL123C"	2156.935194	1989.2546	2404.43319	2365.243526	2243.508931	2116.012621
"321"	"YJL130C"	11006.25315	10518.91929	10846.99795	12648.25404	12724.15883	11316.464
"322"	"YJL136C"	15299.55192	14566.71075	14234.90465	14502.86932	14706.17358	14669.56382
"323"	"YJL145W"	6535.982337	6535.75258	6357.185131	6747.506443	6654.220005	6573.175124
"324"	"YJL148W"	3362.213572	3388.320829	3020.388327	3070.655587	3181.406371	3075.526455
"325"	"YJL173C"	4276.968159	4016.23952	4281.862343	4388.704732	4268.785433	4595.824711
"326"	"YJL176C"	3148.825924	3071.334959	3437.794541	2923.634918	3229.592296	3063.408937
"327"	"YJL177W"	21097.46753	20673.50966	20608.19543	20532.39631	19640.62358	18661.09117
"328"	"YJL183W"	3475.704567	3830.289265	3529.422035	3370.139798	3659.263177	3125.955986
"329"	"YJL186W"	11395.98539	8632.840669	8180.08525	8567.76537	8126.084499	7055.362776
"330"	"YJL191W"	3367.639559	3350.116892	2876.132351	2862.032491	2836.369878	3067.489839
"331"	"YJL200C"	4674.982815	4695.367089	5106.668579	5361.513707	5319.813841	5599.519452
"332"	"YJL217W"	720.5172912	658.8145323	640.8396838	552.0127116	569.7845109	461.8991574
"333"	"YJR003C"	3280.556272	3131.123359	2844.681356	2787.812102	3038.151219	2348.71783
"334"	"YJR007W"	17077.81868	16191.32409	17196.53294	17404.96953	17257.55627	17100.42819
"335"	"YJR017C"	4401.469188	4549.360928	4170.347711	4217.277489	4470.438194	4602.779625
"336"	"YJR032W"	3225.833379	2610.838846	2828.98648	2733.598543	2321.981006	2553.663428
"337"	"YJR048W"	7327.540918	7314.574842	7506.365046	6418.208437	6587.431841	5495.176595
"338"	"YJR051W"	432.3971638	439.5702028	432.0552662	444.9082233	460.5041657	395.7182714
"339"	"YJR063W"	8450.956611	8395.196136	7429.781055	7551.574683	7160.099425	7459.597513
"340"	"YJR068W"	4607.515517	4141.816294	4302.052738	4358.389833	3904.632948	4751.499612
"341"	"YJR069C"	3486.464288	3455.802036	3292.529527	3204.440676	3128.087084	3001.296911
"342"	"YJR070C"	39859.04074	37330.96244	36392.22791	35908.86263	34909.751	36217.96268
"343"	"YJR072C"	15207.64991	16768.99126	16535.67151	15137.22918	13905.03104	12868.15165
"344"	"YJR075W"	7157.301963	6059.40753	7105.457742	6904.214869	7434.080479	7875.934358
"345"	"YJR105W"	22172.76952	21492.51835	19507.78365	19736.31031	19911.60043	20161.80422
"346"	"YJR131W"	8260.294776	6680.042553	7684.581942	7843.485442	8072.235939	6927.589903
"347"	"YJR139C"	48916.39216	47054.25591	46319.97824	46836.5019	50036.09271	51086.84213
"348"	"YJR143C"	1267.516655	1091.836899	1157.065721	1184.800198	1307.23202	1355.835718
"349"	"YJR145C"	572.5565101	556.9985039	509.1139132	509.0044347	503.3162638	534.8610306
"350"	"YKL006W"	45332.03362	44179.04941	43748.50345	43005.56917	43130.39746	44392.19031
"351"	"YKL008C"	2835.839687	2697.085256	2763.726378	2989.982276	2977.438826	3095.405094
"352"	"YKL009W"	18166.95254	17661.08313	15500.41729	15435.28601	14765.56391	15237.42429
"353"	"YKL014C"	5886.786301	6148.350539	5864.30072	5572.704632	5444.195421	5051.465475
"354"	"YKL024C"	1498.298948	1437.230246	1430.491741	1468.345177	1471.483207	1453.896468
"355"	"YKL027W"	1169.430224	1351.052028	1243.412179	1191.537334	1085.207585	1018.139137
"356"	"YKL029C"	10456.84551	10104.60587	9913.268771	10108.90104	9661.771774	9306.297292
"357"	"YKL056C"	27826.59029	27840.20979	25026.58552	24327.42868	23632.27387	22229.30599
"358"	"YKL059C"	1126.761005	1959.804954	1164.415169	1285.896282	450.5671371	1330.06077
"359"	"YKL060C"	1018216.061	1033721.786	966283.3942	997061.4598	993916.1138	1132697.999
"360"	"YKL081W"	102130.3066	98204.62432	97515.84071	98862.87013	98951.3402	99439.91037
"361"	"YKL120W"	5347.390686	4411.104138	4708.280171	4331.18089	4101.377494	3704.124362
"362"	"YKL122C"	3400.149501	3449.117769	3601.453079	3599.994788	3704.729305	3719.233511
"363"	"YKL127W"	9822.554269	10162.42712	10257.32064	9778.545037	9629.224762	8536.701042
"364"	"YKL144C"	752.325536	921.0242509	889.2431846	588.5335465	423.3251671	772.2740371
"365"	"YKL154W"	8247.632	8022.569746	8479.135536	8077.170638	8386.11242	7754.066945
"366"	"YKL173W"	299.5191021	277.1921137	292.9961758	296.7749116	318.1581096	267.4868304
"367"	"YKL179C"	2653.066587	2805.289035	2944.553411	2915.046575	3033.94083	2746.398268
"368"	"YKL181W"	11676.92473	11305.47499	11161.80287	10929.90976	10625.06946	10027.33881
"369"	"YKL182W"	91807.92524	88081.33758	85654.66678	85991.3351	86713.50591	83921.79065
"370"	"YKL191W"	3486.464288	3675.442077	3077.031545	2890.705227	2783.714456	2740.138246
"371"	"YKL192C"	60512.33947	66581.12043	59949.03847	63730.38941	64719.30189	67589.79977
"372"	"YKL204W"	3236.79653	3202.230158	3486.117056	3383.800765	3485.439183	3232.511585
"373"	"YKL212W"	48039.71575	48299.30665	50448.31164	50644.64363	50745.81137	48187.22423
"374"	"YKL214C"	1308.967217	1501.705501	1115.218541	1359.609099	1174.557311	1204.559936
"375"	"YKR024C"	1458.258755	933.757127	1120.57342	1327.811514	588.8139454	1121.87173
"376"	"YKR025W"	1590.703824	1502.369474	1315.747617	1284.724497	1358.9536	1161.734573
"377"	"YKR026C"	8965.919913	7755.111292	9019.67789	8978.098375	8750.865643	8799.886036
"378"	"YKR043C"	11452.0035	10735.33056	11199.61847	11373.91902	11316.48631	10976.30496
"379"	"YKR059W"	106018.1917	101614.3034	99927.86562	100753.1139	99245.05064	100266.6666
"380"	"YKR071C"	1047.450039	1063.44654	1009.924222	994.5655401	975.5914167	1000.725413
"381"	"YKR072C"	3750.4889	3772.331054	3779.828501	3491.412346	3200.012973	3493.46655
"382"	"YKR074W"	1225.722176	1260.222745	1259.000343	1218.845551	1219.705458	1159.865455
"383"	"YKR080W"	16196.71611	15891.56762	16607.56266	16381.08471	16467.91119	16171.00589
"384"	"YKR081C"	32362.508	29329.25577	33113.66378	32084.16865	31494.62871	28819.09905
"385"	"YKR082W"	3060.232559	2837.164032	2643.513303	3460.493314	3226.807044	3338.415283
"386"	"YKR092C"	12937.8747	13106.90939	14623.37313	10376.93079	10513.56313	11323.14416
"387"	"YKR094C"	28196.41589	26060.69528	24915.14959	24612.70777	24913.55211	23982.86383
"388"	"YLL011W"	6624.614176	6090.353306	5245.440991	6305.046956	5756.595145	6181.297092
"389"	"YLL021W"	274.3178526	264.2375658	280.3058646	263.345356	273.162338	243.3428381
"390"	"YLL034C"	4485.082266	4271.745675	4260.127072	4000.536332	4147.42896	4209.244018
"391"	"YLL045C"	80188.87096	78122.774	76243.82821	75645.03657	72924.28388	75724.03438
"392"	"YLR002C"	11747.49006	11004.81865	10457.61028	10651.38667	10624.34675	10881.59699
"393"	"YLR017W"	4824.359039	4575.630608	4805.3045	4924.940668	4769.826087	4605.122135
"394"	"YLR022C"	5062.010543	5611.608858	5227.664533	5477.124506	5206.386594	5103.284832
"395"	"YLR056W"	36200.40475	29045.64228	28176.66936	28036.48719	27393.05288	26459.71948
"396"	"YLR061W"	60394.9954	55301.59725	57193.45605	57708.44083	58915.50419	61499.70536
"397"	"YLR068W"	1458.258755	1195.146371	1177.484858	1278.788016	1074.464319	995.0263902
"398"	"YLR074C"	5626.322559	5207.974774	4957.281334	4895.086815	4769.400938	5041.52205
"399"	"YLR086W"	572.5565101	753.3091046	697.1463314	578.7853204	551.4072532	466.5389
"400"	"YLR089C"	9956.477576	10382.10193	11755.39202	11002.97802	11646.89685	10328.7528
"401"	"YLR126C"	1511.585725	797.125316	1119.163279	1068.617154	371.6403446	929.6046646
"402"	"YLR129W"	9622.726661	8805.604395	9115.204835	8586.107569	8636.401447	8384.510957
"403"	"YLR143W"	2265.485518	2441.520237	2467.048325	2296.839266	2224.763218	1900.076451
"404"	"YLR172C"	13479.86873	13897.6685	13819.66208	13562.50312	13217.62502	12233.9471
"405"	"YLR175W"	33648.75389	31598.81553	30124.0879	30465.83681	29793.63908	29266.61028
"406"	"YLR179C"	6231.95475	6072.682719	5748.655992	5438.125698	5341.580689	5278.165222
"407"	"YLR192C"	17876.62581	17070.14992	17787.34423	17410.81176	17400.59632	16303.87503
"408"	"YLR196W"	43837.15966	41942.22833	43780.22356	41671.66548	44889.90551	41405.56831
"409"	"YLR197W"	13520.5432	12504.11694	12570.60118	12229.76597	11806.74813	11883.86082
"410"	"YLR200W"	783.7988873	800.0454641	790.0181725	762.9975304	762.3819823	699.8136994
"411"	"YLR209C"	1629.891555	1632.835171	1694.433241	1556.965232	1672.159802	1587.177703
"412"	"YLR212C"	7202.676928	6783.003868	7320.741813	7013.650381	7033.755172	6530.334527
"413"	"YLR214W"	891.5894029	761.4531117	639.2900556	545.1621806	507.2314145	389.0019031
"414"	"YLR215C"	4845.817038	6276.725877	5238.399645	4341.19969	3964.924267	3787.036231
"415"	"YLR216C"	18621.44064	19782.3874	20219.70584	19503.33112	19042.13194	16993.49585
"416"	"YLR222C"	8070.986999	7539.880478	7936.815034	7481.777448	7289.106356	6940.623272
"417"	"YLR244C"	19590.41208	18320.80976	19209.60504	18842.97973	18390.13722	17749.13343
"418"	"YLR249W"	870577.6794	799104.1938	758034.793	778524.2612	775629.217	812171.5572
"419"	"YLR274W"	10330.85284	11370.3408	11373.52519	10715.84832	9711.964673	9312.977607
"420"	"YLR285W"	7278.774766	7981.262453	7145.311391	7577.950201	7211.924214	8427.214673
"421"	"YLR291C"	6652.563309	6730.277367	6255.935319	6537.83996	6104.691924	6288.553778
"422"	"YLR301W"	15437.72615	15000.28433	17182.76808	16737.38832	15507.80072	15373.95153
"423"	"YLR304C"	96654.98837	100486.5262	98852.06959	101089.9676	117357.0666	130640.9004
"424"	"YLR309C"	2349.014632	2567.338936	2481.52187	2350.399359	2496.736055	2294.503377
"425"	"YLR319C"	2606.882407	2318.352007	2668.455187	2636.54262	3021.651844	2508.824384
"426"	"YLR330W"	172.1478324	172.6097621	162.9628616	161.3376521	163.7824097	164.9420765
"427"	"YLR333C"	162333.6387	161714.6927	154257.7141	150794.9395	151919.8029	155425.7509
"428"	"YLR335W"	2959.786543	2951.231686	2913.995286	2833.678613	2755.404282	2802.712658
"429"	"YLR336C"	3060.232559	2846.474747	2580.338649	3026.740965	2665.72923	3192.905854
"430"	"YLR347C"	51705.2244	52017.27258	50798.98342	50206.66654	49505.34293	52732.73652
"431"	"YLR355C"	882840.6689	833088.2983	867291.4008	847012.0443	844630.1898	790283.5899
"432"	"YLR367W"	19739.55451	18583.07749	18204.41024	18280.49461	18596.25664	19153.26247
"433"	"YLR370C"	1923.060261	1754.406297	2130.239422	1592.084173	1915.927534	1685.384504
"434"	"YLR378C"	24762.90719	21455.48759	23851.58203	25287.28366	25264.78155	25930.54047
"435"	"YLR380W"	9596.179297	10073.80505	9244.633778	8767.661491	9715.246408	9327.872711
"436"	"YLR384C"	10538.69968	10669.17207	10131.33	10037.45904	9392.137889	9684.083439
"437"	"YLR388W"	6488.917408	6521.894096	5654.24666	6199.463686	6020.446174	5907.681992
"438"	"YLR398C"	5773.092599	6182.804768	6908.819134	6367.627575	7272.388666	6153.826447
"439"	"YLR401C"	3632.073559	3499.547078	3959.818959	4322.955485	4143.365973	3796.996922
"440"	"YLR413W"	4276.968159	3942.835764	3421.931507	3588.039436	3484.251295	3712.141415
"441"	"YLR419W"	194.7116977	191.5148858	165.2213066	182.1346978	154.9489993	171.8033255
"442"	"YLR432W"	26271.84743	26994.96183	25074.20009	25653.6702	27069.57744	31136.58546
"443"	"YLR441C"	92449.72517	88366.3402	87634.49637	88397.42373	88144.6124	90448.22179
"444"	"YLR448W"	38423.28842	36632.28292	36299.00649	35321.9927	36247.1819	35066.12166
"445"	"YLR449W"	14148.25755	15181.12017	13446.22926	12754.27236	12076.00534	11119.79726
"446"	"YLR452C"	5978.234368	6034.866963	5410.348205	6101.562488	5606.645809	6064.546003
"447"	"YML008C"	53824.75282	54922.43553	52671.64652	51115.48917	49816.22443	46814.93129
"448"	"YML010W"	2343.073302	2485.701026	2573.091146	2455.42503	2470.137312	2307.430063
"449"	"YML013W"	12618.89407	13133.41776	12549.02916	13851.88482	12911.62346	12232.69575
"450"	"YML022W"	11200.59399	10945.54245	8482.786565	8574.316844	8482.273967	9159.036312
"451"	"YML024W"	30922.32837	29814.21136	27523.28691	27460.90035	27536.02843	28986.64451
"452"	"YML026C"	112075.6792	111953.4049	100982.7213	94834.26361	90995.74365	98630.74373
"453"	"YML031W"	3029.183932	3543.289003	3284.444988	3216.387008	2981.037082	2627.016321
"454"	"YML032C"	1083.681248	1318.39013	886.454925	1168.183597	1052.523187	1140.675808
"455"	"YML056C"	2970.989127	2663.4825	2575.077105	2523.044789	2361.6914	2185.760845
"456"	"YML086C"	6185.581127	5903.907963	6314.769277	6210.56703	6268.457911	6326.780211
"457"	"YML093W"	1471.635869	1387.108477	1312.413209	1282.248814	1295.774099	1248.826473
"458"	"YML094W"	2903.612241	2881.907706	2890.46627	2837.352526	2772.604646	2687.417678
"459"	"YML103C"	11676.92473	13715.27518	13002.06982	11165.2973	11231.57338	9687.225415
"460"	"YML123C"	334706.083	239462.559	202132.7492	232705.6275	260320.7698	237245.4955
"461"	"YML124C"	12331.06249	11494.28436	12389.65026	13258.5018	13927.72106	12218.68254
"462"	"YML125C"	29034.03018	27783.40661	27733.06892	26151.06109	25480.91462	24817.21515
"463"	"YML126C"	34807.39941	34531.80406	34207.30755	34837.07533	34353.90767	33851.56528
"464"	"YMR004W"	2205.345518	2251.279764	2978.985853	2506.088835	2566.949041	2220.290235
"465"	"YMR012W"	16951.06359	15812.82442	17238.84295	17047.75295	17403.33712	17103.83637
"466"	"YMR016C"	314.3846601	340.3877433	311.4715498	292.7527626	319.5703745	281.4906743
"467"	"YMR024W"	299.5191021	316.7760028	337.5316102	364.2106103	324.1523624	321.4077532
"468"	"YMR049C"	2676.082832	2679.162808	2479.571278	2383.121522	2400.240898	2380.425276
"469"	"YMR074C"	2548.860755	2478.15676	2485.490992	2321.279751	2449.029813	2449.733403
"470"	"YMR076C"	7721.276914	6463.791537	7313.122385	8062.553555	8812.939111	8566.540954
"471"	"YMR079W"	84293.64517	79519.69986	86619.98867	87534.01264	82947.57734	83917.89384
"472"	"YMR080C"	6093.156634	6142.363554	6477.322129	6302.027066	6282.571019	6286.34835
"473"	"YMR083W"	11648.73551	11340.08529	11556.47361	11501.67767	11888.21324	11264.73143
"474"	"YMR089C"	11466.02132	42095.38436	31180.73373	40542.80904	15569.31857	21030.58434
"475"	"YMR091C"	3507.958726	3577.54086	2339.215285	2784.28915	2868.482972	3858.759566
"476"	"YMR108W"	31880.19319	30153.799	29633.35511	29541.83993	28485.6303	28705.17932
"477"	"YMR116C"	333111.9029	321159.4484	296756.9521	286104.7623	285717.6479	308202.2466
"478"	"YMR120C"	60864.7948	58537.8297	61286.8402	57292.0813	54845.93378	49904.67386
"479"	"YMR121C"	720.5172912	677.8581614	684.4476378	710.7190454	736.1707279	699.6819672
"480"	"YMR125W"	11256.31321	11058.70101	11417.61637	11212.98408	11398.04149	10739.97049
"481"	"YMR128W"	1997.652247	1845.987957	1962.942047	1944.972757	1915.536224	1723.960379
"482"	"YMR129W"	3410.968758	3250.62027	3740.364062	3546.148096	3875.866342	3340.229036
"483"	"YMR142C"	54164.6726	48557.31309	41292.52624	42031.44812	45112.71348	65028.24742
"484"	"YMR143W"	33822.82884	30355.64283	30187.05098	31374.60924	31022.53075	32025.7357
"485"	"YMR146C"	2404.75317	2387.183839	2228.536401	2168.103872	2105.130161	2167.264895
"486"	"YMR186W"	132053.4152	127627.1091	132012.8533	130438.8464	123742.6116	116957.9479
"487"	"YMR189W"	12045.29794	11068.04305	11926.81768	12545.7674	12035.5589	11912.10608
"488"	"YMR194W"	31591.88376	32714.1249	30880.42358	29798.30904	29825.15899	29185.19554
"489"	"YMR208W"	3303.601076	3240.870271	3232.661183	3414.100407	3290.174262	3212.978827
"490"	"YMR214W"	8260.294776	8292.352729	8520.920298	8314.357326	8163.735817	7721.545484
"491"	"YMR215W"	16446.98189	18151.16179	17510.39111	16591.05807	17390.61568	16938.41618
"492"	"YMR220W"	79.67154603	71.20432525	69.0954744	65.15450998	69.13191714	71.4618892
"493"	"YMR229C"	8862.173908	8196.445645	7900.073496	7661.449886	7484.635032	7418.951686
"494"	"YMR235C"	52245.58194	49154.41301	49976.09602	52465.3004	52076.35491	55160.58016
"495"	"YMR241W"	2926.114486	2681.639048	2742.387361	2645.863327	2647.890718	2705.220325
"496"	"YMR243C"	8197.041147	12902.58912	10026.59502	11656.59688	10377.0537	10383.73882
"497"	"YMR260C"	35104.47267	36377.28279	32934.55702	32994.25583	33424.95994	31814.87602
"498"	"YMR276W"	3930.301472	3895.861328	3781.105868	3967.686546	3780.059141	3932.344783
"499"	"YMR285C"	3573.309141	4537.19856	4272.087459	4160.902963	4012.0843	3704.75952
"500"	"YMR296C"	22379.45875	23742.8013	22835.66905	21927.4837	22184.21112	23353.41232
"501"	"YMR308C"	15514.65574	15152.81015	15106.58132	14940.33251	14361.57331	14469.30737
"502"	"YMR309C"	78886.65802	76317.95691	78167.35649	78731.13179	78902.43004	75446.70152
"503"	"YMR318C"	21692.81341	22409.42707	22803.95596	23213.90639	23388.96014	24320.95177
"504"	"YNL001W"	1720.427389	1578.297115	2012.472657	1549.014795	1960.48276	1617.310059
"505"	"YNL002C"	7721.276914	7573.062874	7235.061856	6829.589909	6596.438999	6362.628936
"506"	"YNL010W"	12618.89407	11759.7547	11155.3782	11513.85804	11648.02174	11948.30618
"507"	"YNL030W"	680598.9956	671664.6813	642427.5624	613119.9487	609034.3722	662374.8246
"508"	"YNL059C"	2169.063186	1583.427148	858.3399264	1700.905486	1753.478324	1370.594472
"509"	"YNL061W"	18696.96206	18715.64345	18088.60426	16863.80801	16643.30592	15896.3134
"510"	"YNL062C"	2578.775535	2449.239629	2361.578277	2356.272523	2331.509873	2245.76295
"511"	"YNL064C"	118525.3957	115408.9766	115829.3106	109906.138	103481.8725	99274.24628
"512"	"YNL067W"	76022.19368	58599.12629	68351.97795	71690.85887	73674.12122	71391.79692
"513"	"YNL087W"	2630	2369.994707	2362.691084	2451.464179	2405.956363	2121.262865
"514"	"YNL088W"	5727.807926	5489.647522	5652.295315	5795.805263	5805.579097	5662.873086
"515"	"YNL096C"	43518.85645	41277.27759	38113.83261	37919.5085	37171.06688	38617.69956
"516"	"YNL097C"	3247.750348	2323.409857	2144.035001	2847.734541	2158.901765	2719.816881
"517"	"YNL102W"	1054.721202	882.1046152	1081.274473	1269.71708	1420.88479	1377.663849
"518"	"YNL110C"	4276.968159	3968.37236	3278.210604	3307.951454	3704.435601	3922.431073
"519"	"YNL113W"	8681.521714	8388.686788	7482.08625	7630.711321	7288.756208	7306.452583
"520"	"YNL118C"	8527.59785	9796.651924	7454.586272	7158.587985	7701.061881	10307.87334
"521"	"YNL121C"	45289.10782	46131.88675	46399.4782	47611.00834	48100.74185	50102.22432
"522"	"YNL123W"	3148.825924	3283.329304	3195.466676	3053.16904	3150.726239	3061.922594
"523"	"YNL141W"	20675.37706	21594.57958	19819.7973	18056.10857	17721.8716	16440.89329
"524"	"YNL154C"	6162.434602	6131.744864	6452.403012	6122.794545	6437.839012	6217.235109
"525"	"YNL162W"	13642.32568	13196.60581	12823.95295	12814.56779	12907.97817	12898.50192
"526"	"YNL163C"	7770.941037	7269.672717	7219.076681	7526.912861	6708.516544	7176.715559
"527"	"YNL168C"	2548.860755	2596.794797	2476.220179	2392.794132	2360.258141	2024.65551
"528"	"YNL175C"	3830.083377	3720.028728	3626.697361	3423.606354	3224.579	3239.725413
"529"	"YNL197C"	5727.807926	5427.392772	5949.454379	6195.832124	5995.120959	5206.406693
"530"	"YNL201C"	7012.373832	10459.83271	9004.600255	7470.282035	6712.303567	5541.307001
"531"	"YNL209W"	103902.0396	94120.51945	92364.88522	93821.27133	95016.53077	92815.08815
"532"	"YNL212W"	3497.215661	3782.147636	3743.835026	3549.193083	3611.580609	3513.692177
"533"	"YNL216W"	4387.614707	4635.008457	4707.074412	4386.786829	4107.179112	3682.29519
"534"	"YNL220W"	56792.61238	56022.94448	56525.86781	54976.40798	53109.66304	51612.20039
"535"	"YNL247W"	22968.29285	22617.99143	22104.3889	23001.03846	23170.63237	23916.72388
"536"	"YNL255C"	96654.98837	108226.0836	96461.43978	90222.25127	87398.63532	54998.17476
"537"	"YNL256W"	4589.084601	4881.433066	4531.87773	4333.509668	4255.562662	3726.412551
"538"	"YNL281W"	8527.59785	8742.295328	7979.51876	7832.580546	7379.485245	6824.628257
"539"	"YNL308C"	1784.365878	1744.506537	1663.241182	1639.386838	1592.123415	1515.31044
"540"	"YNL310C"	1524.843187	1834.772683	1624.848924	1731.823711	1912.858516	1676.91044
"541"	"YNL313C"	8070.986999	7194.954602	7808.663811	8083.63657	8785.589151	9212.19802
"542"	"YNR016C"	20205.78692	19151.34642	18688.20093	17932.2163	17412.23152	15401.54648
"543"	"YNR021W"	34906.33689	33210.52761	37583.7483	36008.5302	34950.96029	33158.69962
"544"	"YNR038W"	12734.34652	12975.61681	13048.87669	12957.09749	12454.4535	11671.96207
"545"	"YNR043W"	13671.92803	14001.53651	12495.68603	12170.3084	11589.11355	11564.73719
"546"	"YNR046W"	4802.930574	4524.214873	3538.095669	3519.984821	3220.414985	3166.311998
"547"	"YNR051C"	11676.92473	11896.22778	12151.48931	11510.03124	10821.43618	10593.55514
"548"	"YNR053C"	67680.27947	69646.6361	66779.2508	64563.24961	63505.74402	62576.11616
"549"	"YOL004W"	1662.367647	1641.88912	1697.540736	1527.847538	1607.72166	1440.670029
"550"	"YOL005C"	4276.968159	3344.943347	3987.703355	4028.418171	3885.118458	3722.439099
"551"	"YOL010W"	10006.51422	9769.70612	9352.016892	9522.111007	8534.76481	8815.646337
"552"	"YOL021C"	606.198294	655.7067833	642.6193677	600.3887637	604.2023706	605.5575737
"553"	"YOL022C"	124.5101174	122.9875304	119.1338181	111.2854783	117.7597532	105.6251596
"554"	"YOL027C"	7388.640295	7631.773148	7811.601639	7651.467255	7862.731333	7768.685982
"555"	"YOL038W"	16761.48064	17149.882	18661.37222	18242.89534	17518.0374	16252.71782
"556"	"YOL041C"	5909.607347	6191.680363	6241.384323	5720.725437	5533.877982	5262.109667
"557"	"YOL045W"	2217.406213	2708.515979	2028.019421	1921.276271	2073.116991	2100.62201
"558"	"YOL052C"	7060.581089	8455.682157	5943.768869	5687.647961	6496.450323	6092.631416
"559"	"YOL059W"	8965.919913	8653.022288	7258.945303	6909.09745	6491.868924	6908.822812
"560"	"YOL061W"	3307.831603	3370.212878	3266.12969	3026.433847	3032.814352	2672.272956
"561"	"YOL064C"	7327.540918	6806.197582	7173.698348	7393.244722	7536.862436	8333.754994
"562"	"YOL077C"	13200.68654	12832.48339	11698.94341	12215.7369	11621.59705	10856.33621
"563"	"YOL093W"	4092.307504	3303.23392	3132.055717	3233.470622	2865.08887	2758.333596
"564"	"YOL097C"	12125.8482	12599.7574	12623.94901	12334.18631	12400.177	11789.12287
"565"	"YOL098C"	8121.336004	7188.444733	8606.774242	8334.790021	8251.882102	6954.583196
"566"	"YOL121C"	29034.03018	26591.89893	25173.08705	25433.34776	25573.70317	26920.93298
"567"	"YOL142W"	6047.10638	6409.544038	4740.928691	5001.129745	6534.132594	6376.182889
"568"	"YOL145C"	12879.69488	13788.67962	14664.97827	14720.67866	14922.3543	13722.96891
"569"	"YOL149W"	2881.06604	3266.460896	3168.255541	3084.817846	3474.962094	2808.488847
"570"	"YOR001W"	2156.935194	2059.255167	2097.789607	2074.850031	1896.100402	1784.645544
"571"	"YOR004W"	6964.269049	7756.519909	6982.56408	6775.969603	7382.882339	7566.684257
"572"	"YOR007C"	9424.176737	9638.178235	9032.686772	9159.233443	8874.995316	8143.174711
