ENSGID	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000184371	7.266081045	7.202367764	7.137660027	7.001920822	6.910916197	7.426872902	7.770823567	8.012653178	7.459480657	7.333991032	7.209047741	6.960819746	7.787283906	7.787955825	7.700453933	7.667640724
ENSG00000163918	12.76777593	12.81281575	12.85815494	12.94873164	13.5055778	12.69106904	12.75819454	12.73451571	12.65810449	12.69806713	12.73823311	12.82100059	12.39741467	12.4349509	12.64532331	12.80260052
ENSG00000196177	7.819140202	7.806466884	7.793929337	7.770707092	7.281139795	7.557424775	7.772019855	7.926195117	7.826705915	7.815440739	7.804017212	7.780708732	7.350701193	7.635777301	7.765874973	7.847226076
ENSG00000225177	10.11391759	10.02690747	9.9396799	9.763273133	11.17636301	10.8293134	10.45288657	10.1671995	10.26811303	10.30311101	10.33894329	10.41436012	10.68697991	10.70601212	10.58738398	10.48255521
ENSG00000106125	5.893491446	5.802661654	5.71138401	5.527004253	4.777490685	5.557826864	5.603857192	5.67509429	5.968987686	5.912496664	5.856816155	5.746575606	5.937531846	5.698335418	5.539283859	5.414396379
ENSG00000204116	6.274828791	6.297724912	6.320685589	6.36688376	7.013173028	6.801725462	6.606820186	6.463773369	6.211183859	6.318388877	6.425620358	6.640687616	6.280240604	6.355410715	6.461856908	6.546040797
ENSG00000211934	5.861815736	5.748874528	5.634734616	5.400484082	5.716203959	6.013206004	5.982807422	5.965105022	6.217378138	6.162942734	6.109206799	6.003058201	6.010457861	5.99658224	5.925020184	5.872882868
ENSG00000006576	10.22069377	10.21156665	10.2028043	10.18742399	9.765506733	9.695147317	9.902272191	10.01803689	10.31037202	10.26475583	10.21955988	10.13339752	9.601373954	9.825197015	9.864048343	9.870633578
ENSG00000102606	8.844100334	8.862792792	8.881497235	8.919438591	8.495277353	8.616473846	8.713821424	8.783786272	9.112942935	9.071422881	9.030340944	8.95085308	9.21440958	9.066390748	8.910073486	8.791619931
ENSG00000180902	7.921189048	7.724143594	7.525887386	7.126997576	7.351897961	7.490634333	7.43534737	7.421995965	7.959123879	7.999746857	8.040323034	8.119084194	8.504157639	8.008075178	7.74145154	7.566083248
ENSG00000136108	11.11014941	11.11843979	11.12768706	11.15317463	11.22752211	10.71523494	10.60245783	10.52404332	11.1350077	11.18622178	11.23686921	11.33737636	10.63538597	10.54224899	10.7212934	10.83706199
ENSG00000134313	7.821144368	7.812310947	7.804229249	7.79119353	7.723049355	7.652341616	7.757213333	7.82997052	7.645297829	7.641166103	7.636238869	7.625117103	7.854854099	7.904428927	7.752804569	7.618162132
ENSG00000243335	5.55853059	5.617509973	5.676468027	5.79414419	4.779032915	5.147761427	5.365347418	5.512745887	5.296450894	5.354502268	5.410990058	5.515952916	4.967235733	5.671601704	5.569600519	5.616550348
ENSG00000175471	7.683237089	7.679522471	7.677104745	7.677030009	7.961458951	7.946511481	7.91908208	7.888673466	7.596717343	7.572178523	7.547513957	7.496699598	7.920784561	8.031131693	7.931256422	7.837991652
ENSG00000104218	7.250081299	7.403542589	7.556949922	7.863825514	8.141904706	7.671764643	7.758650093	7.744523103	7.359478099	7.347315804	7.335153508	7.310828917	7.449732058	7.510669609	7.5435857	7.564222864
ENSG00000011376	10.30221572	10.28097688	10.26036089	10.21934557	9.872738329	9.61240621	9.760485898	9.925107963	10.22086388	10.28003814	10.33971397	10.46387702	9.39745198	9.779939002	9.978431283	10.10950882
ENSG00000141519	5.718764865	5.791604509	5.865248151	6.016117263	5.686632211	5.925269246	6.034290723	6.104341999	5.500066804	5.514251175	5.527586601	5.548832589	5.475645874	5.687792132	5.917074905	6.088818455
ENSG00000079462	11.39255688	11.17763527	10.96082923	10.51640281	10.42262767	10.28777353	10.45266911	10.60993852	11.21927788	11.11723319	11.015162	10.81048711	10.3104625	10.51735966	10.80192335	11.02685792
ENSG00000173715	6.684337368	6.741854122	6.799546367	6.916531152	6.079071244	6.647463423	7.217602983	7.645207652	6.575025679	6.420034273	6.264352835	5.949875134	5.935177816	6.214707209	6.473857561	6.665719086
ENSG00000173372	4.641716709	4.655931008	4.67020677	4.698566457	4.636194875	4.621629819	4.807366556	4.918162867	5.432366444	5.183722432	4.934940771	4.437102469	4.242360426	4.54756604	4.793206461	4.970700274
ENSG00000213186	7.564834929	7.638535864	7.712663632	7.863164419	7.907306618	7.274527287	7.273921728	7.184069228	7.469742071	7.574974954	7.679933481	7.889335689	7.12265442	7.12165852	7.327157243	7.404219263
ENSG00000196557	4.966878067	4.922904812	4.878741696	4.788276643	5.973161872	5.325711878	5.115098514	4.98840387	4.911887923	4.932974982	4.952937283	4.983999186	5.027031367	5.316580369	5.270678903	5.198869862
ENSG00000158966	5.718927634	5.778168117	5.837369829	5.955322656	5.869629754	5.892606729	5.912366478	5.92790863	5.814528571	5.825308598	5.835424453	5.851834657	5.604686205	5.723350454	5.9658748	6.12994417
ENSG00000041802	10.54795713	10.50847868	10.46904172	10.39031601	10.95727836	10.85409982	10.76613971	10.70250166	10.50956664	10.50110979	10.49285818	10.47872369	10.70362086	10.86399604	10.66756919	10.47865286
ENSG00000040633	11.40717786	11.58764335	11.76782921	12.12703083	11.87235081	11.64614574	11.38915529	11.19403401	11.49610255	11.6046873	11.71328816	11.930449	11.73006269	11.72853187	11.72853187	11.72853187
ENSG00000130529	5.637271934	5.699573072	5.762033372	5.886848844	5.381777081	5.781573732	5.862788682	5.969399417	5.535094774	5.520267976	5.503968583	5.463630124	5.166040645	5.408084773	5.370674986	5.318025416
ENSG00000166681	15.34534336	15.32969392	15.31471018	15.2877152	15.30148672	15.07867995	14.99761311	14.95010243	15.23819206	15.22584186	15.21327057	15.18912025	15.00126412	15.07960676	15.00201664	14.92851067
ENSG00000137275	9.262745998	9.355076771	9.447757902	9.634756136	9.470417712	9.326709365	9.377398177	9.430895873	9.478100677	9.486679896	9.49536188	9.514112187	9.329666511	9.514272252	9.564159407	9.588475048
ENSG00000169446	11.79279486	11.76310336	11.73333243	11.67396478	11.26724324	11.66803333	11.76685239	11.88382419	11.83776146	11.78891953	11.74031146	11.6442603	11.92606276	11.9697183	11.97610523	11.97656662
ENSG00000077380	11.46063788	11.47389899	11.48712887	11.51348443	11.1114902	11.2552956	11.37982746	11.47019675	11.60401781	11.52019197	11.43617002	11.26770922	11.62988723	11.46719468	11.4503357	11.45018215
ENSG00000108651	9.635911787	9.685498423	9.73528523	9.834730281	9.835114698	9.888550953	9.855101593	9.828444587	9.553287544	9.594866245	9.636143216	9.719723415	9.90908632	9.927507351	9.767793665	9.63982858
ENSG00000084652	12.57852337	12.61617759	12.6543611	12.73287434	13.09086945	12.93345064	12.68794468	12.49387022	12.47151053	12.4399981	12.40845774	12.34566368	12.91919926	12.77457397	12.57815339	12.42403657
ENSG00000070214	7.84662838	7.714126272	7.581949305	7.316865611	6.835398541	7.253401912	7.531986715	7.736060328	7.520436981	7.553162891	7.585979364	7.650443745	6.979074742	7.003022449	7.422586885	7.722034593
ENSG00000074317	8.78348605	8.57170674	8.357118814	7.912126477	8.281517208	8.681530186	8.723103565	8.76724684	8.852779947	8.900745095	8.948496661	9.040982232	9.163297313	9.02875947	8.968460971	8.935537026
ENSG00000229919	10.88620828	10.78086427	10.6762871	10.46645655	10.22871026	10.48168447	10.52012583	10.53063127	10.89089695	10.82175359	10.75241845	10.61157513	10.38585295	10.47204333	10.59843133	10.69835243
ENSG00000168772	7.301849716	7.30422318	7.306605156	7.311466395	6.394248902	6.559172318	6.821712659	7.020877735	6.94252167	7.010307251	7.077198991	7.207783757	6.15182084	6.620483696	6.954552808	7.189420894
ENSG00000108604	9.010183793	9.072127368	9.134079114	9.259187227	8.753576446	8.788163524	8.805386211	8.814427694	8.854790819	8.840610566	8.824633537	8.781181262	8.798485183	8.908637355	8.805965123	8.705378515
ENSG00000152684	12.14748624	12.29059288	12.43369052	12.71978901	13.10869446	12.77346822	12.43614702	12.18268928	12.38828585	12.5059104	12.62374453	12.8612192	13.10077204	12.90500637	12.61707881	12.39334667
