	P0	P10	P20	P30	P40	P60	P90	P120	R0	R10	R20	R30	R40	R60	R90
YDR097C			71	90	78		167	91	0.92	0.49	0.46	0.37	0.45	0.52	0.74
YMR128W	22		18		58				1.69	0.36	0.44	0.38	0.43	0.79	1.02
YMR012W	2				23	15			1.69	1.43	1.72	1.43	1.75	1.48	1.15
YIL151C	44				39			22	0.95	0.78	0.76	0.88	0.71	0.71	0.72
YGR140W			21	88	22	34		16	1.04		1.06	0.99	0.67	0.97	0.86
YCL014W	26	24		48	64	7			0.54	0.29	0.27	0.28	0.37	0.24	0.54
YPL009C	9	77	11	22		78	76		2.29	1.7	2.49	1.96	2.05	2.38	2.24
YOR291W			15	33	13	17			1.26	1.01	1.2	1.23	1.26	0.93	0.88
YDL112W		6				9			1.75	1.41	1.45	1.18	1.48	1.03	1.28
YBR218C	606	235	314	412	717	427	102	682	2.02	1.57	1.86	1.95	2.18	1.64	1.65
YER176W	6	13	72	106	31	56		53	1.35	0.73		0.78	1.02	0.86	1.02
YCR073C			44			11			0.77	0.58	0.49	0.66	0.67	0.8	0.72
YDR093W		15		48		8			1.29	1.31	1.11	0.96	0.99	0.99	1.01
YOR336W		11		11	18		4		2.16	1.84	2.02	1.84	2.57	2.12	2.02
YKR086W			23		12	42		35	0.67	0.75	0.78	0.85	0.74	0.72	0.75
YER164W			11		14		17		1.69	0.98	0.96	0.83		0.85	1.28
YER166W		7	43		77	13		22	1.21	0.88	0.95	0.92	1.18	0.95	1.03
YML072C	32	76			89	121			2.72	2.42	3.12	2.66	2.43	1.3	1.82
YOR124C			46			28			2.23	2.79	3.92	3.18	4.08	2.04	2.5
YAL002W	91	44				13	61	10	0.6	0.66	0.68	0.66	0.68	0.63	0.62
YLR071C	32				39		48		1.07	0.8	0.86	0.89	0.97	0.78	0.9
YER093C			206			185			1.08	1.18	1.12	1.17	1.13	0.97	1.03
YLR247C	14			20				10	0.8	0.71	1.13	1	1.01	0.77	0.72
YBL066C	32	67			4	71			0.87	1.04	1.21	0.68	0.97	0.9	0.74
YDL195W	56	99	50	18	163	66	77	233	2.1	1.45	1.64	2.21	2.09	1.96	
YKL014C		64	31				36		1.21	0.6	0.78	0.53	0.72	0.66	0.92
YBR081C		22	16	35	38	32	60	26	1.01	1	0.99	0.93	1.04	0.85	0.86
YIL159W			3		66	38	70	27	0.62	0.32	0.44	0.34	0.39	0.39	0.5
YMR273C	22		5		39				0.92	0.88	0.99	0.97	0.98	0.86	0.84
YLL048C	13	15	42	15	31				3.92	2.4	2.57	2.59	3.21	3.06	3.56
YPR010C	82	44	9	104	66	51	181	141	3.36	1.22	0.9	0.76	1.01	2.12	2.31
YOR304W		6			14	4	6		0.92	0.7	0.79	0.71	0.77	0.75	0.79
YBL079W	34	9	48	11	24	11	48		1.43	0.9	1.02	0.79	1.03	0.87	1.18
YJR033C	20	25	26	66	55				0.79	0.73	0.88	0.9	1.05	0.69	0.85
YCR084C	154	149	235	152	222	132	202	226	1.64	1.23	1.17	1.38	1.45	1.24	1.71
YPL167C	7	21	19	28	40	14			0.99	0.83	1.02	0.87	0.71	0.9	0.68
YGL122C	160	193	205	182	299	112	211	267	2.05	2.31	2.42	2.23	2.49	2.47	1.91
YFL008W	51	52	93	87		38	47	35	0.72	0.4	0.45	0.39	0.46	0.31	0.5
YLL021W		11			14				0.97	0.57	0.46	0.39	0.52	0.44	
YER132C	154	184	99	256	276	203			0.74	0.43	0.43	0.52	0.59	0.63	0.61
YMR259C			28	29	38	62	60		1.05	0.39	0.4	0.38	0.47	0.6	0.86
YDL140C	13	87		25	109	105	99	166	2.64		3.12		2.64		
YLR305C	17	8				26	16	19	1.04	0.89	0.83	0.72	0.8	0.77	0.7
YDR293C		12	21	4		31	9		0.97	1.08	1.22	1.28	1.51	1.45	1.12
YLR383W			18		10			21	0.8	0.47	0.49	0.36	0.49	0.44	0.77
YOR188W			34			39	40		1.19	0.74	0.72	0.68	0.8	0.86	1.19
YJR140C		5	17			10			0.66	0.38	0.56	0.49	0.48	0.5	0.64
YKL182W	243	386	150	492	1227	713	1198	1335	6.28	4.2	5.21	2.95	4.66	6.07	7.42
YDR334W			13			17			0.85	0.94	1.18	1.01	0.98	0.61	0.75
YFL007W		29		46	41	24		11	0.89	0.76	0.99	1.14	1.14	0.9	0.76
YNL250W	6				17		15		0.75	0.68	0.83	0.75	0.88		0.78
YLR342W	11	18			19				6.79	4.01	4.36	4.61	5.79	7.7	
YNR016C			25	15		18			4.87	5.12	5.76	4.18	4.48	4.27	2.49
YGR032W			22			16			1.2	0.93	0.95	1.24	1.54	2.18	2.02
YHR165C	32	40		2			41	47	1.47	1.21	1.21	1.3	1.36	1.36	1.2
YBR140C	10	27			26		24		1.82	2.43	2.25	2.1	2.2	1.89	1.68
YDR150W		6	28	22	8			14	1.03	1.09	1.05	0.77	0.9	0.63	0.73
YIL129C	32	45	56	46		3		22	1.92	1.69	1.23	1.46	1.29	1.34	1.77
YLR430W	23	50		37	23	11			0.89	0.63	0.72	0.52	0.74	0.63	0.66
YBL004W			15	17	8			7	2.17	1.34	1.13	1.93	1.22	1.89	1.59
YDR170C	17		19		17	13	29		1.79	1.88	2.01	1.78	1.75	1.51	1.58
YNL262W	16	11	12	49	33	11	42	12	2.24	1.88	1.7	1.54	1.83	1.7	2.02
YPL082C		14				9	29		1.14	0.83	1.03	0.87	0.75	0.99	0.74
YCL019W		20		6				32	4.35	3.53	3.25	3.53	6.2	8.01	8.82
YLR087C	4		24	27	14		28	16	1.74	1.26	1.42	1.81	1.54	1.58	1.38
YOR191W	6	10			39				0.83	0.59	0.55	0.57	0.63	0.59	
YLR454W	9	19	21	43	18	16			1.1	1.13	1.1	1.05	1.16	0.81	0.92
YOR326W			77	30			118	97	2.15	1.63	1.76	1.44	1.57	1.24	1.9
YDR457W	4				11	10	7		1.31	1.17	1.28	0.97	1.2	1.23	0.8
YIL149C	11		27		29		2		1.85	1.13	1.26	0.82	1.02	0.85	
YOR290C		17		21	53	11		7	0.83	0.75	0.83	0.69	0.74	0.54	0.81
YKL203C		13			15	20	34		1.01	0.88	1.1	0.89	1.14	0.9	0.75
YKR095W	25	22	16	26	34	30	66	65	1.37	0.99	1.16	1.05	0.88	0.72	1.04
YLL040C	6	9		25	12	14			1.55	1.65	1.75	1.71	1.71	1.6	1.39
YCR093W	16		45	11	33			11	1.15	1.22	1.29	1.19	1.06	0.96	0.92
YIR006C	74	138	223	139	192	148	44	89	1.47	1.16	1.3	1.3	1.31	1.16	1.29
YHR099W	63	72	90	128	66	72	64	75	2.01	1.89	2.25	2.1	1.94	1.47	1.77
YKR054C	14	11	10	26	17		19	13	2.03	2.16	2.25	2.13	1.84	1.74	1.79
YLR106C	15	20	25	26	36	5	35	17	1.24	1.16	1.38	1.44	1.39	1.48	1.01
YPL242C				3					1.26	1.5	1.77	1.49	1.39	0.94	1.26
YLR070C					49				0.93	0.97	1.27	1.69	1.37	1.04	0.98
YPL266W			32						1.6	0.93	0.42	0.46	0.48	1.17	1.51
YML097C					70				1.27	0.97	0.96	0.94	1.07	1.21	1.44
YGL166W					53				0.8	0.99	0.91	1.1	0.86	1.67	1.29
YDR477W					8				1.07	1.26	1.49	1.42	1.56	0.78	1.07
YLR114C				54					1.24	0.88	0.98	1.05	1.09	0.99	1.3
YEL025C					5				1.22	0.85	1.2	1.09	1.11	0.99	0.9
YBR007C					77				0.71	0.57	0.61	0.61	0.73	0.79	0.87
YLL019C			29						0.57	0.59	0.8	0.87	0.88	0.69	0.75
YNL201C					32				0.86	0.52	0.56	0.55	0.63	0.85	0.83
YML017W		60							1.13	0.65	1.16	0.73	0.94	1.04	
YBL086C				95					0.33	0.43	0.49	0.44	0.34	0.2	0.24
YGL035C				43					1.06	1.33	1.67	1.45	1.45	0.79	0.75
YAL054C						24			0.65	0.78	0.77	1.16	0.85	0.67	0.6
YPR002W						75			0.47	0.48	0.57	0.85	0.79	0.44	0.42
YNL172W		7							1.02	0.74	0.76	0.89	1	0.82	0.93
YJL057C				22					0.66	1.8	1.8	2.24	2.04	1.22	1.11
YHR034C						29			0.51	0.54	0.52	0.64	0.54	0.54	0.46
YGL008C						80			21.63	12.95	9.75	8.66	10.37	18.83	21.63
YGR257C					10				1.34	1.86	1.97	1.93	1.73	1.91	1.39
YPL222W						64			0.5	0.7	0.73	0.79	0.74	0.74	0.46
YNR030W			66						1.73	2.3	2.16	2.47	2.47	2.29	2.49
YHR158C						8			0.87	0.8	0.52	0.79	0.86	0.63	0.87
YDR369C			38						0.26	0.28	0.35	0.33	0.36	0.29	0.31
YDR141C						5			1.07	0.96	0.91	0.9	0.85	0.82	
YPL072W		28							0.47	0.63	0.61	0.62	0.57	0.43	0.47
YDL035C		49							1.12	1.26	1.35	1.26	1.17	1.92	0.8
YPL064C					31				1.14	1.36	1.29	1.25	1.18	1.23	1.44
YBL106C				30					0.52	0.3	0.4	0.44	0.49	0.41	0.47
YEL032W			7						1.91	1.64	1.44	1.54	1.77	1.3	1.21
YKL020C					44				0.66	0.48	0.6	0.6	0.6	0.53	0.54
YBR235W						35			0.61	0.52	0.6	0.65	0.68	0.61	0.73
YDR062W					29				3.43	2.67	2.55	2.36	2.88	2.85	
YLR064W		53							1.88	3.01	2.55	2.31	2.31	2.23	2.23
YKL066W			673						3.49	4.48	4.97	2.77	5	4.01	2.95
YDR311W					7				0.76	0.63	0.62	0.63	0.7	0.59	0.64
YBR212W				80	352	89	233	98	0.84	1.08	1.32	1.37	1.44	1.06	0.96
YIR007W				65	20			26	0.44	0.47	0.67	0.8	0.81	0.58	0.63
YML129C	180				274				1.27	2.35	2.8	2.56	1.7	1.61	1.21
YBR084W				59	3	37			4.11	2.01	1.28	0.95	1.32	2.89	4.03
YDR128W	72					4			0.81	0.62	0.67	0.65	0.74	0.63	0.84
YOL138C	6	16	22						0.9	0.95	0.89	0.95	0.9	0.7	0.93
YBR275C					17	12	9	30	0.67	0.47	0.63	0.58	0.52	0.62	0.61
YJR096W					138	100	106	231	1.12	3.29	7.36	8.39	9.25	6.63	2.71
YKL128C	182			19					1.67	1.93	1.63	1.67	1.76	2.56	1.81
YNL212W	15							52	1.4	2.27	2.46	2.19	2.6	1.85	1.95
YNL186W	38				80				2.69	1.05	0.81	0.97	1.5	2.1	2.19
YHR009C					56		30		1.15	1.31	1.19	1.25	1.34	1.56	1.1
YOR109W				70		5			1.39	1.08	1.24	1.3	1.64	1.17	1.21
YJL005W	11				21				1.1	1.39	1.49	1.46	1.38	0.92	1.07
YAL029C				25	36		13	13	1.53	1.52	1.44	1.27	1.3	1.29	1.38
YGL173C				52		81	131	152	3.82	3	3.4	3.85	4.24	3.67	3.54
YKR056W			153	28					1.42	0.38	0.23	0.36	0.5	0.88	1.18
YOL009C			90	142					0.85	1.16	1.21	1.05	1.17	0.99	1.17
YDL132W		10					24		1.15	1.44	2.13	1.86	2.25	1.49	1.47
YMR086W				16	86			20	0.8	1.01	1.3	1.18	1.47	0.84	1.05
YPR186C		63						50	0.79	0.51	0.51	0.51	0.53	0.49	0.7
YMR109W				36	24				0.83	0.66	0.73	0.65	0.81	0.56	0.71
YGR099W		21					39	17	0.51	0.45	0.43	0.33	0.46	0.36	0.57
YOR386W			89	36				29	0.59	1.05	1.23	1.72	1	0.85	
YKL080W	48					122		27	5.35	5.46	4.5	4.56	5.24	6.49	5.93
YEL043W			11	36	24				1.33	0.89	1.02	1.08	1.13	0.99	0.87
YIL092W		17					39	76	0.59	0.37	0.35	0.32	0.35	0.36	0.52
YMR170C					40		19	145	0.46	0.76	1.75	4.17	4	1.55	0.88
YKL197C			29	5	30				0.74	0.66	0.71	0.82	0.91	0.77	0.75
YOL059W		32		138					2.49	1.64		1.75	2.12	3.96	2.12
YNL163C	25				92				1	0.5	0.43	0.51	0.6	0.71	0.91
YOL111C			156					191	1.46	1.93	1.71	1.52	1.52	1.61	1.74
YFR016C				11	73	47		27	0.63	0.56	0.7	0.6	0.81	0.42	
YPL048W	7							111	4.39	5.08	5.26	4.97	5.63	5.22	4.74
YGR008C					1701	1214	1939	1934	8.26	54.4	55.16	75.35	48.02	40.38	21.05
YGL156W	37	29	12	29					0.57	0.47	0.8	1.74	1.99	1.63	1.47
YML103C			15				27		1.32	0.85	0.87	0.91	0.96	0.99	0.89
YLR129W				22	19				2.16			0.95	0.65		1.56
YJL123C			29	9					2.23	1.85	1.99	1.92	2.3	1.72	2.1
YOR165W			8	24					1.92	1.28	1.46	1.44	1.67	1.74	1.97
YBR079C	11							4	3.04	1.43	1.37	1.19	1.52	2.01	2.17
YMR020W						24	60		2.49	3.26	4.19	5.02	3.88	8.79	4.52
YLR309C					64		105		1.26	0.86	0.9	0.83	1.05	0.69	1.06
YER105C				49	13	69		35	0.95	0.63	0.69	0.74	0.84	0.74	0.91
YGL163C		5						26	0.66	0.66	0.7	0.85	0.82	0.79	0.67
YDL160C					76			132	1.15	0.85	1.1	1.13	1.25	1.24	1.17
YOL056W	184	35	92						1.23	1.4	1.11	1.1	0.99	1.41	1.2
YGL159W			122					21	0.87	0.91	0.79	0.8	0.84	0.84	0.79
YHL021C					69	106	49	139	2.03	21.76	33.45	20.59	12.94	4.1	3.96
YIL115C	4						23		3.36	2.36	2.09	2.16	2.57	2.19	2.4
YEL055C	5						18		1.46	0.78	0.67	0.57	0.65	0.86	1.06
YDR516C				21	61		70	130	3.57	31.66	32.78	17.32	9.74	4.48	
YOR273C		34					45		4.88	21.49	20.76	15.09	12.96	11.36	8.2
YDR497C			64				43		4.65	4.37	5.65	8.44	9.24	6.14	6.81
YGL164C		14					92		0.74	0.61	0.67	0.63	0.69	0.58	0.79
YMR185W		22		12					0.9	0.27	0.17	0.3	0.38	0.72	0.97
YJL042W	8					16			1.66	2.13	2.59	2.66	2.46	1.96	1.96
YLL034C			14	39				45	1.41	0.5	0.47	0.45	0.53	0.83	1.07
YLR310C				27			3		1.25	1.15	1.14	0.91	0.83	0.78	0.87
YJR066W				16	13		14	12	0.78	0.78	1.34	1.1	1.89	1.03	0.95
YBR279W	5				25				1.44	1.3	1.64	1.52	1.51	1.33	1.6
YGR148C	195	80	584	211					53.06	69.04	40.21	23.91	20.67	28.04	37.26
YMR305C						42		25	9.1	7.92	5.26	6.57	9.75	21.05	22.72
YMR315W						69	400	1143	4.55	34.17	53.25	57.08	59.91	50.38	22.86
YJL207C			13				3		2.16	2.55	2.18	1.8	1.61	1.8	1.55
YGL133W			48		11				1.65	1.37	1.52	1.73	1.83	1.39	1.58
YFR019W				23	59	24	21	25	0.65	0.86	0.83	0.65	0.54	0.54	0.62
YKL135C				8	92				1.24	1.23	1.13	1.34	1.45	1.28	1.23
YKL210W					39	108	271	303	3.06	3.42	5.29	6.51	6.56	6.56	5.01
YDR495C						3		14	0.5	0.39	0.41	0.41	0.49	0.37	0.48
YOR230W					42	98	199	371	10.2	19.84	19.56	15.03	14.22	16.22	13.27
YER021W				74			25		2.86	4.11	5.27	4.78	5.53	5.38	3.75
YPL040C	29			95					1.22	1.02	1.34	1.27	1.27	0.95	1.02
YLR105C	58			64					0.87	0.85	0.73	0.77	0.86	1.11	1.04
YMR258C	76				98				1.5	2.32	2.18	1.93	2.28	1.13	1.51
YMR129W					92			9	1.07	0.62	0.6	0.61	0.65	0.73	0.85
YJL112W	35						28		1.05	1.11	1.38	1.28	1.09	0.98	1.25
YLR293C	196					187		117	10.67	12.96	9.29	7.81	9.1	13.51	9.96
YLR175W					143	13		120	6.79	2.86	1.43	1.5	2.24	4.54	5.52
YIL077C			80		204				1.07	2.06	2.84	2.26	1.73	1.96	1.27
YNL102W				3			6	39	1.41	0.88	0.72	0.58	0.9	0.92	0.87
YDR085C			20				18		1.24	3.02	5.29	6.52	5.56	3.57	1.48
YBR073W			81	35					1.42	0.82	0.95	1.02	1.25	1.14	1.36
YNL243W					54			131	1.64	1.65	1.75	2.4	1.65	1.45	1.9
YBR199W				12	112				1.65	2.55	2.73	2.36	2	1.6	1.74
YNR059W						12	111		0.74	0.78	0.75		0.8	1.08	0.98
YDL223C							4	11	1.06	1.03	1.42	2.33	2.44	1.2	0.9
YMR231W				36	10				0.7	0.65	0.66	0.62	0.66	0.57	0.64
YBR126C					140	113	59	266	1.98	9.87	14.45	14.15	10.73	5.04	
YHR066W		86		30					1.87	0.49	0.35	0.47	0.69	1.12	1.55
YER025W					13	51		317	4.46	3.26	2.09	1.91	2.54	4.16	4.16
YNL321W	79				95				0.7	0.71	0.87	0.96	0.85	0.53	0.65
YGL137W	9				47				2.17	1.8	1.97	2.23	2.6	2.33	2.88
YDL240W					14			38	1.44	1.45	1.43	1.33	1.35	1.05	1.18
YML010W		22	28					52	1.62	1.28	1.28	1.2	1.32	1.2	1.86
YGL195W				16			8	2	2.29	1.34	1.46	1.15	1.55	1.61	1.8
YMR229C					13		9		3.16	0.93	0.51	0.16	0.74	1.72	1.84
YGL037C					616	466	1358	1976	6.67	62.61	86.13	72.43	58.83	27.83	13.44
YBR002C					13			73	1.17	1.04	1.2	1.05	1.03	1.5	1.44
YMR137C	143		13						0.41	0.34	0.41	0.4	0.38	0.36	0.44
YGR159C				10	37				8.47	4.8	3.39	3.28	4.09	7.79	7.79
YDL143W					54	27			4.21	4.83	5.47	4.87	5.87	6.88	4.7
YFR015C				130	146		62		2.66	22.06	23	13.3	7.03	1.49	2.02
YML091C				13				9	0.9	3.58		1.06		0.42	
YBR033W			6		20				1.28	0.92	0.88	1.02	1.09	1.04	1.11
YJL109C			10		10				1.68	0.48	0.41	0.45	0.5	1.16	1.15
YDR107C	76					18			0.77	0.73	0.72	0.71	0.83	0.63	0.74
YGR163W				232		81	137		0.71	0.84	0.79	0.75	0.6	0.92	0.81
YML131W				73	223	192	754	570	0.87	10.93	13.84	12.22	6.5	9.07	6.07
YOR157C					28	57		77	2.92	6.38	7.18	7.28	7.85	6.89	4.74
YPR008W			10					33	1.59	1.56	1.66	1.45	1.73	1.38	1.23
YAL048C					130	82	190		0.69	0.67	0.72	0.68	0.65	0.76	0.76
YMR112C	294	82	662						1.25	1.49	1.45	1.42	1.44	1.68	1.44
YNL074C	19	12	323						0.66	0.78	0.99	0.92	0.88	0.74	0.71
YKL209C	13			33					1.88	1.16	1.15	1.25	1.53	1.18	1.24
YGR088W				64	88	25	79		0.3	2.85	6.16	7.13	6.25	1	0.51
YNL112W				269	164	60		185	6.23	1.8	0.87	1.13	1.13	5.94	5.1
YKL078W			25	69	6				0.83	0.1	0.18	0.14	0.15	0.42	0.56
YNL220W					23	58	177	305	7.3	4.95	2.84	2.84	3.5	5.02	3.36
YEL060C					87	56	83		1.66	5.38	8.74	10.4	12.45	9.5	5.13
YGL026C	81							35	5.73	6.19	6.82	8.05	7.89	8.57	7.41
YHR204W	20			134					0.61	0.38	0.27	0.32	0.37	0.37	0.48
YLR422W						5	25		0.84	0.84	0.92	0.88	0.82	0.64	0.76
YKR009C			60	35				31	1.21	1.48	1.79	2.31	1.47	2.04	1.44
YPL127C				194				479	1.68	2.05	2.52	2.24	2.61	2.06	2.37
YOL055C	121					42			1.34	1.3	1.61	1.57	2.12	2.55	2.66
YOL130W					39		27	11	1.05	0.51	0.45	0.53	0.61	1.14	1.01
YPL116W	35					7			0.7	0.8	1.08	0.85	0.78	0.31	0.78
YBR067C						71	839		6.63	9.92	8.94	7.78	8.88	10.12	8.51
YGR244C						40	152	115	1.35	3.63	5.81	7.16	7.06	4.66	3.58
YBR049C	17						59		1.26	1	1.07	0.91	1.14	0.68	1.16
YLR148W						32	80		0.7	0.58	0.74	0.72	0.74	0.57	0.72
YLR382C		9					14		0.72	0.92	1.19	1.16	0.95	0.69	0.64
YJR065C						56		262	2.88	4.14	4.92	4.52	4.99	3.97	3.2
YDR249C			188	63					0.59	0.43	0.44	0.48	0.54	0.6	0.6
YLR067C	2	10							0.92	0.66	0.68	0.69	0.79	0.66	0.78
YNL054W				16	68			94	1.72	1.52	1.64	1.65	1.78	1.71	1.77
YOR061W						42		203	3.37	3.39	3.17	3.06	3.49	3.54	2.59
YHR164C	28		16						1.89	2.05	2.29	1.89	1.94	1.81	1.76
YAL024C					27		8		1.09	1.2	1.4	1.24	1.05	0.69	1.02
YOL021C			7					34	1.38	0.68	0.77	0.75	0.94	1.26	1.32
YNL313C					49		29	68	1.31	0.43	0.28	0.34	0.49	0.76	1.05
YEL031W				42		22			5.13	8.21	5.85	6.06	4.43	5.53	4.62
YOL060C				235	40			41	1.13	1.6	1.65	1.65	1.68	1.16	1.41
YER014W				51	15	70	29		1.21	1.37	1.6	2.06	2.1	1.96	1.53
YCL050C					58	43		720	2.98	4.91	5.48	3.93	4.3	5.41	4.04
YBR169C	19	21							0.78	2.06	4.19	3.8	4.27	4.04	2.4
YLR189C				9	15				0.77	0.69	0.68	0.69	0.67	0.44	0.76
YJL159W					165	131	251	555	7.51	9.18	10.47	15.98	16.77	20.65	7.94
YOR320C	6			9					1.27	1.3	1.19	1.03	1.16	0.91	1.37
YOL087C				27			53		1.07	1.81	1.85	1.53	1.84	1.12	1.05
YNL084C					27			36	1.96	3.18	2.91	2.19	2.26	1.65	1.67
YGL111W	33			71					1.22	0.58	0.34	0.4	0.51	0.89	1.01
YKL215C						11		52	0.65	0.54	0.63	0.76	0.82	0.65	0.63
YER022W		52						14	1.6	1.6	1.95	1.49	1.64	1.3	1.61
YOR001W					30		16		1.51	0.56	0.42	0.42	0.57	1	1.13
YCR033W		37		16					1.53	1.44	1.38	1.27	1.54	1.32	1.34
YER172C					18		5		0.93	0.75	0.7	0.76	0.82	0.75	0.63
YDR406W					15			17	0.76	1.27	1.21	1.64	1.03	0.79	0.69
YHR023W		6					9		0.81	0.63	0.65	0.55	0.65	0.39	0.59
YDR486C					186			450	1.03	1.52	1.76	1.63	1.54	1.62	1.13
YLR330W			22	31	43				3.93	4.27	4.7	3.9	4.09	3.19	3.74
YDR337W					55			76	1.09	1.66	1.97	1.71	1.56	1.01	0.89
YNL273W						6		22	0.85	0.84	0.86	0.75	0.78	0.47	0.69
YNR008W				44	25	13			0.57	0.5	0.68	0.7	0.67	0.53	0.59
YDR217C			7	13				16	0.85		0.8	0.69			0.56
YBR245C					20			12	1.22	1.02	1.32	1.15	1.21	0.9	1.13
YGL158W	35				140				0.19	0.15	0.17	0.3	0.23	0.18	0.14
YGL201C					16	41	29		0.79	0.66	0.77	0.79	0.77		0.62
YGR282C					213	212		257	27.3	37.04	29.26	39.97	38.88	53.11	46.55
YMR089C		10	35						1.84	2.3	3.23	3.41	4.29	2.95	2.43
YIL002C				48			19		0.8	0.64	0.72	0.65	0.76	0.6	0.6
YGR184C	10	37							4.23	5.2	4.28	6.82	7.46	3.97	2.39
YNL197C			59		160				0.91	0.66	0.68	0.64	0.7	0.52	0.73
YIL083C				338	110				1.31	0.98	0.79	0.81	1.13	1.86	1.61
YER133W							66	249	4.98	5.68	6.94	5.33	6.13	5.72	5.76
YNL271C					40	18	14		1.12	1.37	0.96	1.01	1.08	0.96	0.99
YJL083W			18	60					0.22	0.15	0.17	0.19	0.22	0.21	0.23
YML049C					18	55			0.91	0.96	1.11	0.89	0.9	0.71	0.71
YNL087W				55	52	36	19		1.52	0.82	0.56	0.29	0.4	0.61	1
YOR278W	106							135	1.16	1.49	1.46	1.47	1.24	1.39	1.32
YJR060W					50	65		256	1.2	0.96	1.03	1.07	1.37	0.67	1.25
YML081W				78	21			52	1.27	0.92	0.95	0.76	0.75	0.84	
YDL029W					93		89	267	3.73	5.98	7.31	6.15	7.42	6.41	5.14
YGR234W				120		69	173	313	21.66	26.48	13.61	8.44	7.15	12.1	14.29
YCR004C					380	680		491	3.83	9.76	13.25	13.81	17.97	12.62	7.61
YKL193C							28	72	1.68	3.76	4.38	3.81	3.81	2.89	2.3
YER120W				131			66		3.83	5.12	4.52	4.16	4.75	4.81	4.56
YDR019C					140	113		61	2.37	1.85	2.15	2.56		2.42	2.9
YHR113W			41	35					1.94	3.02	3.59	4.39	4.36	3.1	2.03
YGL099W	60							39	1.28	0.5	0.4	0.38	0.52	0.8	1.09
YOR368W					189	255		14	1.45	1.65	1.44	1.3	0.94	1.24	1.35
YGR250C				21		40			0.79	1.66	1.5	1.07	1.2	2.16	1.1
YKR084C			18				43		1.1	1.13	1.16	1.09	1.18	1.21	1.16
YGL014W	58						100		1.36	0.68	0.71	0.72	0.85	0.91	1.11
YDR098C					267	240	54		1.52	2.02	1.82	1.68	1.97	2.88	2.56
YGR170W		23	57						0.73	0.47	0.64	0.6	0.77	0.54	0.75
YKL211C							38	175	1.79	1.59	1.31	1.2	1.56	1.83	1.95
YLR110C					23452			42811	34.5	65.28	56.05	58.43	46.48	43.67	39.91
YGR070W					26	54			0.77	1.18	0.97	1.01	0.91	0.51	0.69
YKL096W					636	646	537	377	6.05	26.5	42.45	66.15	64.79	22.75	21.23
YKR006C						32		52	1.79	2.79	2.91	2.77	2.97	1.89	1.72
YNR031C				55	23				1.22	1.51	1.21	1.3	1.75	1.34	1.48
YJL200C							27	196	1.41	0.58	0.32	0.38	0.45	0.72	0.97
YDL103C					63		124	147	1.19	1.68	1.68	1.93	1.59	1.42	1.45
YNL059C	21				18				0.98	0.72	0.74	0.73	0.89	0.65	1.04
YPL058C					61	23		23	1.59	1.89	1.86	1.95	1.47	1.67	0.92
YJR126C	91		46	142					2.04	2.12	2.39	2.34	2	1.54	1.77
YKL114C	20						21		2.87	3.17	3.32	3.32	2.87	4.8	4.67
YNL327W					161		278	386	6.19	4.62	5.03	6.19	6.06	5.5	4.03
YPR011C					156	40			0.68	0.89	0.84	0.87	0.73	0.68	0.65
YPL176C						27	53		1.33	1.37	1.43	1.39	1.29	0.89	1.27
YML016C	36		79	42					3.27	3.63	3.55	3.71	3.46	3.36	3.65
YIL126W			99		35				1.45	1.41	1.52	1.05	1.33	1	1.03
YOR033C					15			10	0.79	0.59	0.72	0.62	0.65	0.56	0.6
YGR271W					25		12		0.68	0.51	0.63	0.66	0.6	0.51	0.58
YBR145W					185	57		154	2.69	3.05	2.16	2.69	2.97	4.26	2.68
YDR038C	49				34				2	1.44	1.7	1.84	1.98	2.11	2.11
YGR272C					62	111	228	26	2.4	0.72	0.45	0.5	0.65	1.2	1.51
YGL087C					970	292	414	972	1.3	2.53	2.83	2.55	2.83	2.73	1.78
YBR072W					199		196		0.82	5.05	14.37	6.08	6.7	5.64	2.67
YDL033C					58	38			0.79	1.01		0.81	0.96	1.04	0.64
YDR480W					98			259	0.63	0.77	0.79	0.7	0.6	0.68	0.83
YGR246C				266	353	150	326		1.51	1.15	1.27	1.08	1.18	1.18	1.44
YHR043C						80		139	0.81	1.45	1.81	2.26	2.28	2.18	1.54
YMR100W				44		21			0.95	1.27	1.4	1.26	1.2	1.33	0.96
YBR058C					137	31	56	140	0.72	0.63	0.61	0.7	0.73	0.74	0.77
YLR460C					387	245	194	306	0.63	4.42	4.54	3.61	3.9	4.15	5.91
YHR186C				6		6	15		0.75	0.61	0.55	0.67	0.73	0.74	0.84
YMR111C						16		34	0.61	0.52	0.64	0.66	0.71	0.51	0.72
YFR049W			123				137		1.14	2.66	3.09	2.55	2.53	1.62	1.23
YBR059C					20		15	7	0.86	0.88	1.05	1.07	1.07	0.65	0.88
YKR071C							64	133	2.57	6.16	4.8	4.27	5.59	5.37	5.63
YGL092W				10	12				1.3	1.19	1	1	1.09	0.89	1.09
YHR070W						40		36	1.39	0.58	0.49	0.65	0.75	1.57	1.35
YHR028C			33	52					1.39	1.74	2.35	2.65	2.58	1.76	1.65
YGL206C	3							3	1.83	1.57	2.27	2.11	1.74	1.4	1.58
YDR524C			67		147				0.71	0.41	0.39	0.46	0.5	0.61	0.62
YPR022C					41	22			1.01	0.68	0.69	0.68	0.71	0.71	0.7
