	P0	P10	P20	P30	P40	P60	P90	P120	R0	R10	R20	R30	R40	R60	R90
YLR259C	9414	10376	11429	15183	15220	14006	20901	22938	10.09	28.34	38.99	41.21	38.72	26.63	24.84
YNL134C	1284	2870	2993	7642	14243	15050	14730	16551	4.01	78.51	101.46	88.94	95.99	95.33	71.75
YMR072W	272		463		622		738	422	3.98	6.37	6.11	5.32	6.15	5.98	5.28
YKL103C	159	151	166	432	1017	601	596	452	0.71	4.1	7.65	7.87	8.85	4.88	2.12
YFL039C	3264	3452	2639	5314	6192	5655	6076	8071	39.01	62.07	55.17	62.94	66.07	64.71	54.79
YNL241C	1077	816	670	1330	2502	1708	1696	1670	1.53	6.14	7.67	8.33	7.01	4	2.79
YAL012W	12374	12125	9071	18490	16884	20117	15368	20102	8.94	19.16	20.96	18	16.45	16	12.29
YOR374W	71	139	104	454	2864	2397	3619	3379	1.23	19.28	32.42	43.67	31.53	10.84	4.4
YLR216C	248	24	663	518	243	210	193	187	4.37	18.08	24.02	17.95	12.78	15.85	14.38
YOR142W	161	128	228	202	432	231	458	391	2.13	4.12	5.25	5.67	5.22	2.98	2.76
YDL124W	1134	1341	2340	3084	4772	5094	3684	3723	3.94	31.06	54.83	48.4	48.74	48.74	19.25
YER136W	83	89			496	258	250	394	2.82	3.72	4.84	4.65	5.84	4.74	4.07
YNL239W	77	135	136	56	400	203	256	288	1.69	2.37	3.02	4.12	4.8	3.98	2.93
YBL075C	43	54	49	82	81	89	86	111	1.61	3.85	5.37	4.3	4.18	4.04	4.01
YDL126C	337	332	649	467	779	557	971	1055	6.23	10.13	17.03	18.25	20.82	20.82	12.47
YJL034W	195	170	182	716	1212	502	1628	2322	9.74	23.49	30.78	28.92	36.6	59.05	51.77
YMR250W	70			154	283	125	428	298	0.68	5.1	10.13	11.88	9.85	2.93	1.53
YOL049W	32	37		118	178	108	124	67	1.84	3.35	3.59	3.37	3.08	2.7	2.68
YMR002W	3183	3580	7457	6271	2365	8316	4894	5999	3.61	7.96	9.74	10.51	10.8	7.75	5.59
YPL106C	1274	1006	1088	1913	2717	1923	4322	5865	9.45	12.82	14.94	13.28	15.25	21.42	21.12
YMR196W		11			8	26	46	66	0.93	3.29	7.77	8.04	7.5	2.51	1.34
YOR042W	109	96	265	189	109	167	257	231	1.76	2.87	3.5	3.01	3.31	2.51	2.33
YJR010W	162			103	577	296	512	384	0.54	0.95	1.29	1.38	1.74	1.84	0.91
YGR136W	621	578	1133	938	1612	2237	1787	2927	1.8	3.49	3.74	3.1	3.26	3.69	2.61
YAL005C	8400	10610	9416	17161	23677	21358	27784	31629	9.78	22.31	29.24	18.63	19.56	23.1	20.39
YDR168W	175	149	225	258	185	252	327	304	2.23	2.82	4.13	4.13	4.33	3.57	2.94
YMR092C	329	281	283	240	561	395	642	517	1.59	2.42	3.35	3.1	3.44	2.54	2.27
YLR028C	124	99	98	103	252	395	313	733	2.44	2.83	3.34	3.7	4.11	3.89	3.6
YLL024C	11183	14270	12275	19523	29680	25204	31657	37249	22.55	55.91	57.09	38.45	42.96	49.01	49.7
YBL058W	184	228	266	97	510	855	263	645	2.78	5.97	6.48	6.95	7.14	5.12	3.31
YCL057W	137	110		88	545	314	180	290	1.45	2.37	3.19	3.56	4.12	3.21	2.19
YDR001C	14		26	35	61	26	49		2.97	8.35	11.98	12.75	12.84	6.46	4.57
YJR045C	3694	4047	3929	4609	7280	5253	6089	5945	6.13	14.37	18.57	16.17	16.62	12.6	11.2
YDR099W		44			91	80		71	4.84	8.78	9.28	9.41	10.66	9.21	6.89
YKL010C	10	11		14	72	28		14	1.2	1.03	1.2	1.23	1.33	1.14	1.33
YGL006W	12		39		124			45	1.5	2.78	3.42	3.35	3.4	2.11	1.69
YGL062W	41	73	23	122	234	95	829	274	0.95	1.05	1.52	2.02	2.15	1.48	1.28
YPL085W	46	26	53	65	54			59	1.57	0.83	1.45	1.39	1.48	1.39	1.34
YJR063W	1746	1023	2446	715	692	909	1191	1916	2.57	1.52	0.97	1.21	1.31	2.55	2.55
YPL239W	654	811	526	228	832	628	608	483	2.41	2.18	1.64	1.26	1.61	2.44	2.98
YBL003C	6112	4298	3650	2930	5420	2276	3361	2835	19.58	30.72	24.1	14.33	12.74	20.98	24.44
YPR187W	516	128			135	149		337	4.43	4.4	2.75	2.51	2.46	3.48	3.34
YKL009W	1700	1025	1200	1219	1558	966	861	868	5.6	2.63	1.34	1.85	1.8	4.87	4.77
YLL045C	21647	20291	17620	17014	20699	13660	14680	221	30.6	37.67	22.87	13.5	13.14	25.03	28.75
YBR088C	1586	977	946	706	1284	521	686	535	4.22	3.24	2.58	1.9	3.54	3.59	3.88
YLR017W	652	244		91	511	262	230	626	2.63	1.85	1.32	1.26	1.74	2.84	3.05
YLR172C	237	220		155	313	174	159	53	1.78	1.57	0.96	0.8	0.86	1.45	1.86
YAL038W	43257	41252	32426	35822	45327	31955	31455	27963	74.36	93.48	71.33	63.85	66.1	102.29	70.84
YHR068W	3964	3294	2519	2565	3785	3611	2812	2787	7.01	6.86	5.46	4.28	5.06	7.36	7.15
YLR244C	2034	1344	1543	1559	1817	1218	1237	1566	3.46	2.54	1.94	1.7	2.12	3.56	3.32
YJR105W	11050	8962	11285	10172	12747	9619	9340	7435	4.98	6.57	4.77	4.64	5.01	5.33	5.22
